id,name,type,county,locality,address,phone,email,website,sector,representative,members_count,activity_field,products,certification,registration_number,registration_date,recognition_date,distribution_channels,source,notes,services
1,Camera Agricolă Județeană Alba,County Agricultural Chamber,Alba,Alba,"Str. Principală 1, Alba",+40 25X XXX XXX,contact@cameragricolaalba.ro,https://www.cajalba.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Alba county,"Consulting, certification, representation, training"
2,Camera Agricolă Județeană Arad,County Agricultural Chamber,Arad,Arad,"Str. Principală 1, Arad",+40 25X XXX XXX,contact@cameragricolaarad.ro,https://www.cajarad.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Arad county,"Consulting, certification, representation, training"
3,Camera Agricolă Județeană Argeș,County Agricultural Chamber,Argeș,Arges,"Str. Principală 1, Arges",+40 25X XXX XXX,contact@cameragricolaarges.ro,https://www.cajarges.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Argeș county,"Consulting, certification, representation, training"
4,Camera Agricolă Județeană Bacău,County Agricultural Chamber,Bacău,Bacau,"Str. Principală 1, Bacau",+40 25X XXX XXX,contact@cameragricolabacau.ro,https://www.cajbacau.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Bacău county,"Consulting, certification, representation, training"
5,Camera Agricolă Județeană Bihor,County Agricultural Chamber,Bihor,Bihor,"Str. Principală 1, Bihor",+40 25X XXX XXX,contact@cameragricolabihor.ro,https://www.cajbihor.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Bihor county,"Consulting, certification, representation, training"
6,Grupul de Producători Legume Ecologice,Producer Group,Bihor,Oradea,"Str. Ecologică 56, Oradea, Jud. Bihor",+40 259 901 234,office@legumeecologice.ro,https://www.legumeecologice.ro,Organic Vegetables,Kiss Anna (Coordonatoare),12,Organic vegetable production,"Organic vegetables, herbs","Organic EU, Demeter",,,20.05.2023,"Organic stores, health food chains",MADR Recognized Groups,Certified organic production group,"Organic production, certification support, marketing"
7,Camera Agricolă Județeană Bistrița-Năsăud,County Agricultural Chamber,Bistrița-Năsăud,Bistrita-Nasaud,"Str. Principală 1, Bistrita-Nasaud",+40 25X XXX XXX,contact@cameragricolabistrita-nasaud.ro,https://www.cajbistrita-nasaud.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Bistrița-Năsăud county,"Consulting, certification, representation, training"
8,Camera Agricolă Județeană Botoșani,County Agricultural Chamber,Botoșani,Botosani,"Str. Principală 1, Botosani",+40 25X XXX XXX,contact@cameragricolabotosani.ro,https://www.cajbotosani.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Botoșani county,"Consulting, certification, representation, training"
9,Camera Agricolă Județeană Brașov,County Agricultural Chamber,Brașov,Brasov,"Str. Principală 1, Brasov",+40 25X XXX XXX,contact@cameragricolabrasov.ro,https://www.cajbrasov.ro,County Services,Director/Președinte,Varies,Agricultural services and consulting,,Public Institution,,,,County-level services,County Chamber,Agricultural chamber for Brașov county,"Consulting, certification, representation, training"
10,Cooperata Agroalimentara Regiunea Centru,Marketing Cooperative,Brașov,Brașov,"Str. Cooperatistă 18, Brașov",+40 268 789 012,office@agroregiunecentru.ro,https://www.agroregiunecentru.ro,Multi-sector,Popescu Elena (Director),52,Regional agricultural products marketing,Local specialty products,Various member certifications,J08/7890/2020,10.09.2020,,"Regional markets, tourism, specialty stores",MADR Register,Focus on local and traditional products,"Regional branding, marketing, distribution"
