company_name,address,phone,contact_name,makes,siret,url
BIOLAND BIHOR SRL,"JUD. BIHOR, SAT PALEU COM. PALEU,  FERMA PALEU NR.TOP 1312/17",0720491444,,,J05/1056/1992,
RAYTON COMPROD SRL,"JUD. BIHOR, COM. CURTUIŞENI, CURTUIŞENI, NR.FERMA 2",,,,J05/1919/1991,
SERE VITAN BARZESTI S.R.L.,"JUD. ILFOV, SAT GLINA COM. GLINA, STR. PARCULUI,FN,ACTIVGLINA,FERMA.ZOOT., NR.NR.CAD.765",0742181005,,,J23/1301/2004,
EPINEX SRL,"JUD. TIMIŞ, SAT GIULVĂZ COM. GIULVĂZ, FERMA GIULVAZ",0256416357,,,J2004000439354,
AGRICOLA BERCENI BOLOCAN I.CRISTEA SOCIETATE IN COMANDITA,"JUD. ILFOV, COM. BERCENI",4680858,,,J23/850/2003,
AGROPOL POPESTI-LEORDENI SA,"JUD. ILFOV, ORŞ. POPEŞTI-LEORDENI,  , FERMA NR.6 (FOST 8) INCINTA 2 TARLA 34",0722247737,,,J23/2021/2002,
FERMA MARIA S.R.L.,"JUD. SATU MARE, SAT CULCIU MIC COM. CULCIU, CULCIU MIC, NR.66",0722354102,,,J30/1190/2019,
SC AGROZOOTEHNICA AUREL VLAICU SATU MARE,"JUD. SATU MARE, MUN. SATU MARE, STR. AUREL VLAICU, NR.125",712514,,,J30/417/1991,
AGRICOL TIPS S.R.L.,"JUD. SUCEAVA, SAT SIMINICEA COM. SIMINICEA, SIMINICEA, NR.34",0230523149,,,J33/953/1991,
AGRICOLA DUMBRAVENI S.A.,"JUD. SIBIU, ORŞ. DUMBRĂVENI, STR. CUZA VODĂ, NR.3",0269865437,,,J32/431/1991,
FERMA CHIRIAC S.R.L.,"JUD. BACĂU, SAT RADOMIREŞTI COM. LETEA VECHE, RADOMIREŞTI",0234512132,,,J04/856/1991,
