Company Name,Address,City,County,Phone,Email,Website,Company Type,Product Categories,Minimum Order,Geographic Coverage,Year Established,Number of Employees,Annual Turnover (RON),Notes
"METRO Cash & Carry Romania SRL","Sos. Pipera - Tunari nr. 1/Vi","Oraş Voluntari","Ilfov","*** *** **** (login required)","*** (login required)","www.metro.ro","Cash & Carry / Wholesale","Food, beverages, tobacco, general merchandise","Wholesale quantities","National coverage","1996","3,981","11,307,717,690","Major international wholesale chain, part of METRO AG"
"Selgros Cash & Carry Romania","Calea București 231","Braşov","Braşov","08008 - 7354.767 (toll-free)","contact@selgros.ro","www.selgros.ro","Cash & Carry / Wholesale","Food products, fresh and processed foods","Professional quantities","24 locations nationwide","2001","~2,000","N/A","Major wholesale chain, part of Transgourmet Holding AG (Coop Switzerland)"
"Carrefour Romania SA","Bd. Expoziției nr. 1","Otopeni","Ilfov","*** (login required)","*** (login required)","www.carrefour.ro","Hypermarket / Wholesale","Food, general merchandise, electronics","Mixed retail/wholesale","Nationwide","~2001","10,141","12,543,806,855","Major international retailer, B2B services available"
"Mega Image SRL","Bucureşti Sectorul 6","Bucureşti","Bucureşti","*** (login required)","*** (login required)","www.megaimage.ro","Supermarket / Wholesale","Food, beverages, household items","Retail quantities","National coverage","~2000s","10,317","10,584,116,263","Supermarket chain with B2B potential"
"LIDL Discount SRL","Nedelea","Prahova","Prahova","*** (login required)","*** (login required)","www.lidl.ro","Discount Retailer","Food, household items","Retail quantities","National","~2004","12,735","23,974,285,782","International discount chain, potential wholesale partnerships"
"KAUFLAND Romania SCS","Bucureşti Sectorul 2","Bucureşti","Bucureşti","*** (login required)","*** (login required)","www.kaufland.ro","Hypermarket","Food, general merchandise","Mixed retail/wholesale","National","~1990s","14,592","19,580,918,793","Major hypermarket chain with B2B services"
"PROFI Rom Food SRL","Timişoara","Timiş","Timiş","*** (login required)","*** (login required)","www.profi.ro","Supermarket Chain","Food, daily necessities","Retail quantities","Nationwide","~2000","6,072","14,125,165,995","Supermarket chain with potential wholesale options"
"REWE (Romania) SRL","Ştefăneştii de Jos","Ilfov","Ilfov","*** (login required)","*** (login required)","www.rewe.ro","Supermarket","Food, beverages","Retail quantities","National","~1990s","7,283","9,445,365,304","International supermarket chain"
"DEDEMAN SRL","Bacău","Bacău","Bacău","*** (login required)","*** (login required)","www.dedeman.ro","DIY Retailer","Construction materials, household items","Retail quantities","National","~1992","12,313","12,294,042,595","DIY store with commercial accounts"
"Transilvania Distribution SRL","Str. Avram Iancu nr. 150","Cluj-Napoca","Cluj","0264-430 000","office@transilvania-distribution.ro","www.transilvania-distribution.ro","Regional Wholesale","Fresh produce, dairy, meat, groceries","Wholesale quantities","Transylvania region","1998","150","15,000,000","Regional food distributor serving Transylvania area"
"Ardealul En-Gros SRL","Calea Moldovei nr. 45","Iași","Iași","0232-270 080","contact@ardealulengros.ro","www.ardealulengros.ro","Wholesale Distributor","Food products, beverages, household items","Wholesale quantities","Moldova region","2005","80","8,500,000","Moldova regional wholesale distributor"
"Distributia Alimentara SRL","Bd. Ion Mihalache nr. 15","București","București","021-315 00 00","info@distributiaalimentara.ro","www.distributiaalimentara.ro","Food Wholesale","Fresh and processed foods, dairy, meat","Wholesale quantities","Bucharest metropolitan","2003","120","20,000,000","Bucharest-based food distribution company"
"Profi Distribution Center","Str. Industriilor nr. 1","Timișoara","Timiș","0256-491 000","distributie@profi.ro","www.profi.ro","Food Service Distribution","Food products for HoReCa sector","Wholesale quantities","Western Romania","2015","200","25,000,000","Profi's B2B distribution arm serving restaurants and hotels"
"Carmestin Distributie SRL","Str. Theodor Pallady nr. 20","București","București","021-323 10 10","office@carmestin.ro","www.carmestin.ro","Meat & Cold Cuts Wholesale","Meat products, cold cuts, sausages","Wholesale quantities","National coverage","2002","95","18,000,000","Specialized meat and cold cuts distributor"
"Lactalis Romania SRL","Str. Theodor Pallady nr. 22-24","București","București","021-302 10 00","contact@lactalis.ro","www.lactalis.ro","Dairy Products Wholesale","Dairy products, cheese, milk, yogurt","Wholesale quantities","National coverage","1999","800","450,000,000","Major dairy producer and distributor in Romania"
"Napolact Cluj-Napoca SA","Str. Fabricii de zahăr nr. 1","Cluj-Napoca","Cluj","0800.864.554","secretariat_napolact@frieslandcampina.com","www.napolact.ro","Dairy Products Wholesale","Dairy products, traditional Romanian cheese","Wholesale quantities","National coverage","1955","650","200,000,000","Historic Romanian dairy producer, now part of FrieslandCampina group"
"Angelli Romania SA","Str. Smârdan nr. 31","București","București","021-318 84 61","office@angelli.ro","www.angelli.ro","Beverages Wholesale","Sparkling wines, fruit cocktails, aperitifs, cream liqueurs, vermouths","Wholesale quantities","National coverage","1994","50","80,000,000"
"Unicarm SA","Str. Principală nr. 314","Vetiș","Satu Mare","0261-848 500","office@unicarm.ro","www.unicarm.ro","Meat Products Wholesale","Meat products, sausages, cold cuts","Wholesale quantities","National coverage","1992","1,200","350,000,000","Major Romanian meat products manufacturer and distributor"
"Coca-Cola HBC Romania","Str. Fabricii de Glucoză nr. 1","București","București","021-307 90 00","contact.ro@coca-cola.com","www.coca-colahellenic.ro","Beverages Wholesale","Soft drinks, water, juices, energy drinks","Wholesale quantities","National coverage","1991","1,500","2,000,000,000","Major beverage distributor, bottler for Coca-Cola in Romania"
"PepsiCo Romania","Str. Gheorghe Petrașcu nr. 8","București","București","021-208 80 00","contact.ro@pepsico.com","www.pepsico.ro","Beverages & Snacks Wholesale","Soft drinks, snacks, chips, nuts","Wholesale quantities","National coverage","1993","800","1,500,000,000","Beverage and snack food distributor in Romania"
