seap_winner,fd_company,email,category,county
ACVILA,ACVILA,munteanu_ionela2003@yahoo.com,horeca,
AGRA'S,Agra's SA,,logistics,Bucuresti
AGRICOVER,AGRICOVER SA,,logistics,Arges
AMB GLOBAL KRON CONSULT,Amb Global Kron Consult,,logistics,Brasov
ANDROMI COM S.R.L.,ANDROMI COM SRL,,supermarket,Bihor
Annabella Fabrica de Conserve Râureni,ANNABELLA FABRICA DE CONSERVE RAURENI S.A.,office@raureni.ro,horeca,
APOLLO SRL,APOLLO,apostolgheorghe50@gmail.com,horeca,
AR LINIA TEA,AR LINIA TEA SRL,,logistics,Bihor
BEST ACHIZITII,BEST ACHIZITII SRL,,agriculture,Brasov
BRADET,BRADET,gpaunroman@gmail.com,horeca,
C&M ARTIC IMPORT EXPORT SRL,C&M ARTIC IMPORT-EXPORT SRL,,agriculture,Brasov
Coca-Cola HBC România S.R.L.,COCA COLA HBC ROMANIA S.R.L.,recrutare@cchellenic.com,logistics,
COMIGA PROD IMPEX S.R.L.,Comiga Prod Impex SRL,,logistics,Bucuresti
COMSORADI SRL,COMSORADI SRL,,meat,Bucuresti
CONSERVFRUCT S.R.L.,CONSERVFRUCT SRL,comercial@conservfruct.ro,logistics,
CONTRACT COM S.R.L.,CONTRACT COM SRL,contract_com@yahoo.ro,logistics,
Cristim 2 Prodcom,Cristim 2 Prodcom,,supermarket,Bucuresti
CRIS-TIM COMPANIE DE FAMILIE,Cris-Tim Companie de Familie S.R.L,,logistics,Bucuresti
CRIS-TIM FAMILY HOLDING,Cris-Tim Family Holding SRL,,logistics,Bucuresti
CRISTIN NL IMPEX SRL,Cristin NL Impex S.R.L,,meat,Bucuresti
CRIZANTEMA,CRIZANTEMA,toma_f_marian@yahoo.com,horeca,
DACIA S.A.,Dacia SA,cazare@pensiunea-dacia.ro,supermarket,Alba
DIANA S.R.L.,DIANA SRL,recrutare@diana.com.ro,logistics,
DIRECT HOME SERVICES DISTRIBUTION S.R.L.,Direct Home Services Distribution SRL,,distributor,Bucuresti
DISTRIBUTIE PE GUSTATE,Distributie pe Gustate,gabriela.iliescu@distributieoltenia.ro,distributor,Bucuresti
Dragon R.C.,DRAGON R.C. SRL,dragon_rc_srl@yahoo.com,horeca,
ELIT S.R.L.,Elit SRL,recrutare.elit@elitcugir.ro,supermarket,Alba
