winner_name,cui,email,phone,website,city,address,sector,wins,total_value_ron,match_source
S.C. SELGROS CASH&CARRY SRL S.R.L.,11805367,monica.balas@selgros.ro,0265203000,,Mureș > MUNICIPIUL TARGU MURES > TARGU MURES,,,27820,68632793.71,companies_prefix
METRO CASH & CARRY ROMANIA,8119423,resurseumane.arad@metro.ro,+40741222218,,,,,14969,23782141.63,companies_name
FORTUS,1094763,este@delucru.md,+37369128732,,,,,5784,3011061.32,contractors
Miralis Impex,28022254,and@alitrans.ro,0723374096,,,,,4020,803451.08,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
STEDYAN COM S.R.L.,RO 15779023,,,,,,,3994,4964988946.0,
ZAZI COMPANY,21815066,,0723524376,,,,,3897,881299.25,
OLYMEL FLAMINGO FOOD S.R.L.,RO25347278,,,,,,,3195,576679636.0,
LECONFEX,RO 2092175,contabilitate@steeleconfex.ro,0772229976,,,,,3170,673837037.0,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
PARHAN COM S.R.L.,RO 4491776,,,,,,,3040,7940504871.0,
DULCISIMO LIF SRL,31486777,,0745899545,,,,,2741,1024659.14,
ROMFULDA PROD,6906101,ramona@romfulda.ro,0740983804,,,,,2409,2489136.2,anofm
BERTIS DISTRIBUTION S.R.L.,48927835,resurseumane@eurial.com.ro,0267352363,,,,,2387,2385307.82,csv:contractors_enriched_all.csv
DRAVIOSO COM,7273547,avi@avi.ro,539600,,,,,2105,775945.05,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
PACO PROD SERV S.R.L.,8017008,feliciu_paraschiv@yahoo.com,94642189,,,,,1891,935726.18,csv:contractors_enriched_all.csv
LEGUME FRUCTE COM S.R.L.,RO 10062337,,,,,,,1883,216179336.0,
CRIS-TIM FAMILY HOLDING,13533870,cmncris2019@gmail.com,0212020216,,,,,1787,52147462.16,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
AMARIEI G. PETRU,RO23455761,,,,,,,1784,258761486.0,
S.C NISARA IMPEX S.R.L,RO8566375,,,,,,,1712,4144832132.0,
S.C. UNICARM S.R.L.,6531770,daniel.gherhes@unicarm.ro,+40747112940,,,,Transport,1566,74691844.83,companies_name
ALBALACT,1755369,,816425,,,,,1563,1459822.44,
SC PION IMPEX SRL,6697870,pionimpex3@yahoo.com,583012,,,,,1496,449742.68,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
PROVIGO TRADE S.R.L.,RO 25347260,,,,,,,1409,986681759.0,
VEL PITAR,21229091,victoria.radescu@grupobimbo.com,0753058687,,Ilfov > ORAS CHITILA > CHITILA,,,1386,1259776.57,companies_name
S.C. AMA FRUCT CP S.R.L.,28103545,,0751286653,,,,,1354,270908403.67,
ALIN & DANA COM,19075918,office@cardiotech.eu,0721345076,,,,,1339,540807.12,csv:contractors_enriched_all.csv
SC PROD-ALIMENT PRODUCTIE SI COMERT SRL,234559,adrian.grossu@tehnoworld.ro,0264366353,,,,,1334,184934.31,csv:contractors_enriched_all.csv
S.C. ROMICS S.R.L.,3286722,,0256221447,,,,,1300,14056908.82,
MIDO,12928619,midorientvs@gmail.com,0231610318,,,,,1262,1623852.53,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
BRAVON,4006324,mugur.constantinescu@yahoo.com,0744702455,,,,,1259,596369.42,csv:romania_with_email.csv
ROCADA OFFICE GRUP,30041487,pbo.2011@yahoo.com,0784237430,,,,,1249,1158060.25,dsvsa:DSVSA_MASTER.fuzzy_enriched.csv
SC ESPINOSO COMPANY SRL,7646042,,0745251131,,,,,1239,942266.76,
COSBIA IMPEX S.R.L.,7355744,,0263210272,,,,,1213,821286.44,
PRESTIGIOSA PRODCOM S.R.L.,6779601,,0723945451,,,,,1187,1466725.46,
HARMOPAN,512620,annamaria.gaspar@harmopan.ro,+40752197248,,Harghita > MUNICIPIUL ODORHEIU SECUIESC > ODORHEIU,,,1186,927549.7,companies_name
COMPANY 94 PIRNAU SRL,6922360,maria.pintea@pira.com.ro,0244584155,,,,,1154,2406047.39,fuzzy:0.48
