winner_name,wins,total_value_ron,first_win,last_win,distinct_buyers,distinct_cpvs
PARHAN COM S.R.L.,3376,11247349.02,,,87,14
STEDYAN COM S.R.L.,1859,7698922.16,,,167,39
LEGUME FRUCTE COM S.R.L.,1457,10804365.5,,,84,28
AMA FRUCT CP,1335,24044247,,,172,31
OLYMEL FLAMINGO FOOD S.R.L.,1158,16177326.16,,,137,47
MATRA S.R.L.,1151,53140411.82,,,106,22
MARATHON DISTRIBUTION GROUP,940,4764891.46,,,4,1
STEDYAN COM,904,5637283.34,,,64,29
DOIMAN COM S.R.L.,846,7748954.34,,,71,13
COMSORADI SRL,754,15839190.37,,,39,13
S.C NISARA IMPEX S.R.L,669,39685603.37,,,80,24
COREX S.R.L.,601,7800998.65,,,83,21
PRODLACTA SRL,493,3719049.5,,,16,6
GRANBIS,470,6790356.35,,,29,23
ELLMAR COM,460,6600939.59,,,37,14
ADCON,400,1812746.26,,,47,10
COMPANY 94 PIRNAU SRL,344,2405308.07,,,35,23
SPICUL 2,313,11827256.94,,,31,14
APRO-COM-IMPEX S.R.L.,310,4880141.75,,,59,13
COMIGA PROD IMPEX S.R.L.,308,6551270.6,,,18,8
S.C. AMA FRUCT CP S.R.L.,302,3836540.98,,,55,14
CARLAND S.R.L.,301,3230323.63,,,32,17
CARPATIS,289,5432236.8,,,58,18
LECONFEX S.R.L.,287,3164338.59,,,45,15
NICBAC PROD,283,3950580.38,,,23,5
GEOCOR TRADE IMP-EXP,278,3452197.49,,,55,16
SIGISMUND COM,273,5575846.54,,,29,7
BOBIX STAR S.R.L.,265,3306682.28,,,28,9
FALCONS,260,4255109.15,,,15,22
AMARIEI G. PETRU,257,7571630.81,,,64,16
NED COM,248,2132438.4,,,53,16
LECONFEX,248,4752340.31,,,29,13
EUROGRUP BOGDAN,247,16902087.79,,,29,8
BLACK SEA EUROINVESTMENT,235,2889094.61,,,32,13
ANDROMI COM,224,4872085.15,,,50,12
ROMICS,202,2164214.28,,,14,6
SUPER EXTRA PAN S.R.L.,197,636315.03,,,26,4
Matra S.R.L.,191,30895104.45,,,61,19
GEOCOR TRADE IMP-EXP S.R.L.,182,1736247.82,,,43,11
AMIA INVEST,179,1564253.19,,,16,15
SALTEMPO S.R.L.,177,2681646.6,,,36,11
VANBET SRL,177,1077164.13,,,31,12
Stedyan Com S.R.L.,173,2708423.39,,,50,21
DIACARN FOOD,168,5039421.43,,,26,9
JOLDOS PROIMPEX S.R.L.,164,1381515.91,,,21,7
SIMULTAN S.R.L.,157,34000443.4,,,33,6
PROVIGO TRADE S.R.L.,156,5439342.67,,,16,12
Leconfex S.R.L.,153,6235819.47,,,28,18
SC IRINEL SRL,151,2002766.18,,,13,4
Olymel Flamingo Food S.R.L.,142,5109338.64,,,47,22
Baby Business SRL,142,1135499.42,,,11,4
Doiman Com S.R.L.,139,4980787.54,,,33,10
S. C. MCA COMERCIAL S.R.L,139,2409102.06,,,27,13
NUTRIENT SOLUTIONS,138,5780275.61,,,16,6
LACTATE NATURA,135,661192.29,,,35,7
MEDIPLUS EXIM,135,1289077.03,,,18,7
C-AGLA-C COM SRL,133,5567674.78,,,16,14
MOPAN SUCEAVA,128,5203067.71,,,27,11
CARMANGERIA-DALIA S.R.L.,127,4683351.5,,,7,4
Annabella Fabrica de Conserve Raureni,122,1313294.93,,,8,3
Comsoradi S.R.L.,120,6122743.19,,,20,10
DAVIO PAN GRUP IMPEX,119,1596450.33,,,28,4
SC BLACK SEA EUROINVESTMENT SRL,117,943655.99,,,22,12
SC DAVIO PAN GRUP IMPEX SRL,112,777391.85,,,20,3
Cristim 2 Prodcom,111,1581997.88,,,41,7
FILVAS SERVCOM,111,2506951.82,,,18,7
UNICARM,110,2271124.97,,,3,1
CONSERVFRUCT S.R.L.,106,991722.6,,,20,7
ELCOMER ACHIZITII,104,944478.66,,,18,9
FORTUS S.R.L.,104,1358167.08,,,3,2
DRAGON.RC,103,1292704.29,,,15,4
AGROSEMCU,101,11055238.75,,,34,11
EXIMAL IMPEX,101,955160.07,,,13,6
S.C. ANM HOLDERS SRL,100,389746.33,,,10,7
Legume Fructe Com S.R.L.,100,2608939.04,,,23,13
NORDIC IMPEX S.R.L.,99,2806639.06,,,16,4
VEL PITAR,99,3594933.48,,,24,6
Amariei G. Petru,98,9506866.88,,,32,13
VICONSIT S.R.L.,98,314858.56,,,4,1
Corex S.R.L.,97,2526216.02,,,33,14
CRIS-TIM COMPANIE DE FAMILIE,96,922740.57,,,21,7
S.C. Nisara Impex S.R.L.,95,14986260.65,,,19,6
C&M ARTIC IMPORT EXPORT SRL,93,3763242.15,,,11,4
CINA CARMANGERIE S.R.L.,93,1756330.72,,,15,8
STRUNGARIU & CO RIGAMS LM,89,2767559.07,,,10,6
Andromi Com,88,2512191.27,,,20,8
S.C. apex expert S.R.L.,87,678097.67,,,8,4
Alexgold Distribution SRL,84,13343985.18,,,8,3
Geocor Trade Imp-Exp S.R.L.,83,3033084.54,,,37,14
EURICOM TRADE SRL,82,738358.3,,,20,6
KALMAN DISTRIBUTION S.R.L.,82,730682.26,,,15,10
S.C. MOPAN SUCEAVA S.A.,80,860727.24,,,14,9
BOWEL PROCESSING,79,1065865.75,,,13,6
ILVAS,78,16993475.81,,,17,8
DELTALACT S.A.,77,2930693.17,,,21,6
COPANEX S.R.L.,75,2511796.49,,,21,7
FRAHER DISTRIBUTION,73,2161034.01,,,11,8
RADICSTAR,71,1471086.67,,,11,6
Parhan Com S.R.L.,70,3796602.38,,,19,7
STRUNGARIU & CO RIGAMS LM SNC,68,355185.4,,,9,6
GRANBIS---NED COM---STEDYAN COM S.R.L.,64,129154.95,,,3,1
S.C. C&M ARTIC IMPORT EXPORT SRL S.R.L.,63,2345369.18,,,4,3
COMPRODCOOP,61,429198.64,,,17,3
IUSTART,61,177253.43,,,23,9
PICOLACT PRODCOM SRL,60,990950.98,,,9,3
SC NICBAC PROD SRL,58,965705.88,,,13,6
AGRITWINS S.R.L.,58,76200.66,,,7,4
PARHAN COM S.R.L.---PRODLACTA SRL,58,326021.57,,,2,3
Granbis,57,2390862.54,,,19,13
SELGROS CASH&CARRY SRL,57,1717192.11,,,17,7
Granbis S.R.L.,57,2201703.58,,,3,3
AMA FRUCT CP---S.C. ANM HOLDERS SRL---STEDYAN COM S.R.L.,56,268948.99,,,3,2
GREWE,55,2059357.95,,,18,4
