winner_name,cui,wins,total_value_ron,distinct_buyers
Matra S.R.L.,,191,30895104.45,61
Leconfex S.R.L.,,153,6235819.47,28
Comsoradi S.R.L.,,120,6122743.19,20
SC BLACK SEA EUROINVESTMENT SRL,,117,943655.99,22
Cristim 2 Prodcom,,111,1581997.88,41
FORTUS S.R.L.,,104,1358167.08,3
Amariei G. Petru,,98,9506866.88,32
Corex S.R.L.,,97,2526216.02,33
CRIS-TIM COMPANIE DE FAMILIE,,96,922740.57,21
S.C. C&M ARTIC IMPORT EXPORT SRL S.R.L.,,63,2345369.18,4
PICOLACT PRODCOM SRL,,60,990950.98,9
AGRITWINS S.R.L.,,58,76200.66,7
PARHAN COM S.R.L.---PRODLACTA SRL,,58,326021.57,2
FLORINA S.R.L.,,54,714872.62,2
Simultan S.R.L.,,49,19206203.32,12
CERNEA S. MIHAI-ANDREI I.I.,,46,57835.41,3
HARPEK,,46,584761.26,11
LECONFEX---PARHAN COM S.R.L.,,43,354151.07,4
Comiga Prod Impex S.R.L.,,42,2229568.59,8
AMA FRUCT CP---PARHAN COM S.R.L.---PRODLACTA SRL,,42,254721.94,1
SC PLUSTER PROTECT SRL,,40,465886.33,9
AMA FRUCT CP---CO&SI---PARHAN COM S.R.L.,,40,140097.14,2
PENTAROM,,38,385274.7,3
Viconsit S.R.L.,,36,292455.87,3
STA-CO,,36,485989.38,3
AGROSEMCU---DUNAPAN STAR,,35,607603.16,2
S.C. SALTEMPO S.R.L. S.R.L.,,34,549809.77,11
AMA FRUCT CP---S.C. ANM HOLDERS SRL---STEDYAN COM,,33,68270.17,1
Comiga Prodimpex S.R.L.,,33,1443002.33,12
SC ASOCIATIA POMICOLA ITESTI SRL,,33,1305099.61,2
LECONFEX S.R.L.---PARHAN COM S.R.L.,,33,129886.66,7
Granbis S.R.L,,32,1344707.03,8
SORION BĂLENI,,32,113549.86,7
ELDO COM S.R.L.,,32,485702.43,2
ELLY FOOD TRADIŢIONAL,,32,448186.27,9
GRUP DE PRODUCATORI PROLEG SLOBOZIA MOARA COOPERATIVA AGRICOLA,,31,451409.18,9
RO-CREDO SRL,,30,801688.38,3
GELAS MEDIA,,27,583304.18,8
Safeway International Impex SRL,,27,87308.92,7
Super Extra Pan S.R.L.,,26,357328.95,5
MIDO S.R.L.---POL FRUCT SRL,,26,168631.1,2
SC.DRAGON.RC.SRL,,26,229056.37,5
Alfa-Com-Grup S.R.L.,,25,909388.87,7
COMPANY 94 PIRNAU SRL---FALCONS---OLYMEL FLAMINGO FOOD S.R.L.,,25,226533.34,5
S.C. GARDEN CENTER GRUP S.R.L. S.R.L.,,25,1689207.4,2
Kalman Distribution S.R.L.,,24,944254.78,7
ECOPROD SRL,,23,1916539.61,2
ELCOMER ACHIZITII---POL FRUCT SRL,,23,1541930.25,1
PANIFROM PROD S.R.L.,,23,465211.38,5
AMA FRUCT CP---PARHAN COM S.R.L.,,23,125690.99,6
POMICOLA SRL,,23,285441.96,1
S.C. YOU FOREVER SRL S.R.L.,,23,23379.96,1
BOBIX STAR S.R.L.---DOIMAN COM S.R.L.---EURICOM TRADE SRL---PROVIGO TRADE S.R.L.,,23,33455.22,1
Adcon,,22,131077.25,11
EXIMAL IMPEX---LECONFEX---PARHAN COM S.R.L.,,22,317811.21,3
Apro-Com-Impex S.R.L.,,21,823575.41,9
CO&SI,,21,323880.28,6
JOLDOS PROIMPEX S.R.L.---LECONFEX---PARHAN COM S.R.L.,,21,127384.19,3
Velrom,,21,193807.94,4
Logistic Media Pop Art S.R.L.,,20,9885389.48,7
SADAGRO INTERPROD,,20,239719.6,2
S.C. Apex Expert S.R.L.,,19,865318.22,11
DINU COMIMPEX S.R.L.,,19,663129.96,3
Rultrans Industry 93 S.R.L.,,19,729051.63,2
ROMCONSTANT  IMPEX  GHEORGHE STEFANICA,,19,48906.75,2
Five Continents S.R.L.,,19,747815.62,5
PRODPAN LACHITA,,19,179832.68,4
Da Silva S.R.L.,,17,262322.85,3
OLYMEL FLAMINGO FOOD S.R.L.---STEDYAN COM,,17,298692.97,9
COMPANY 94 PIRNAU SRL---LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,,17,281714.63,6
AMA FRUCT CP---BOBIX STAR S.R.L.,,17,38617.33,1
GIGI & CO S.R.L.,,17,737128.37,2
LEGUME FRUCTE COM S.R.L.---OLYMEL FLAMINGO FOOD S.R.L.,,17,180861.65,11
MACELARIA JUPANUL,,17,93807.37,3
Legume Fructe COM S.R.L.,,16,112522.42,6
AGRA'S,,16,116634.03,2
VRANLACT DISTRIBUTION,,16,305720.93,5
EUROPEAN GROUP FOOD,,16,378510.98,9
AMA FRUCT CP---LECONFEX S.R.L.---PARHAN COM S.R.L.,,16,28048.72,2
DOIMAN COM S.R.L.---PARHAN COM S.R.L.,,16,78303.0,4
Doiman COM S.R.L.,,15,211214.55,8
Bobix Star S.R.L.,,15,854942.85,8
Vanbet S.R.L.,,15,488504.02,7
Baby Business S.R.L.,,15,588239.0,7
PARHAN COM S.R.L.---STEDYAN COM S.R.L.,,15,895800.32,6
PFA Amariei G. Petru,,15,2612254.19,12
GORDON-PROD S.R.L.,,15,453334.53,2
ADCON---LECONFEX S.R.L.---PARHAN COM S.R.L.,,15,63111.53,4
S.C. Longin S.R.L.,,15,126075.21,1
Comppil S.A.,,15,60568.13,1
MANELEMN S.R.L.,,15,427122.01,2
CO&SI---MANDY MAB TRADE SRL---PARHAN COM S.R.L.,,15,179395.72,1
VIVOPREST DISTRIBUTION S.R.L.,,15,187894.4,7
LECONFEX---OLYMEL FLAMINGO FOOD S.R.L.,,15,427179.2,4
Imdia S.R.L.,,14,32104.17,2
Oct-Trans S.R.L.,,14,248754.73,1
PAM ALY 2007 S.R.L.,,14,464873.62,2
S.C. AMA FRUCT CP S.R.L.---STEDYAN COM S.R.L.,,14,315780.93,8
Salamandra Plus,,14,402543.18,5
AMA FRUCT CP---S.C. ANM HOLDERS SRL,,14,141227.1,3
CARPATIS S.R.L.,,13,134181.23,5
S.C. Davio Pan Grup Impex S.R.L.,,13,330148.97,8
Deltalact S.A.,,13,2911395.87,8
Metrans,,13,214697.64,6
BMK GLOBAL IMPORT EXPORT SRL,,13,35064.53,1
Prosementi S.R.L.,,13,2309564.98,5
JOLDOS PROIMPEX S.R.L.---LECONFEX S.R.L.,,13,350156.59,6
BMK GLOBAL IMPORT EXPORT---GRANBIS---S.C. ANM HOLDERS SRL,,13,21436.39,1
S.C. COMPANY 94 PIRNAU SRL S.R.L.,,13,61924.22,2
DOIMAN COM S.R.L.---LEGUME FRUCTE COM S.R.L.---PARHAN COM S.R.L.---STEDYAN COM S.R.L.,,13,80692.44,3
COMSORADI SRL---COREX S.R.L.---MATRA S.R.L.,,13,953273.34,2
TRITIPAN S.R.L.,,13,182396.67,1
BOBIX STAR S.R.L.---GEOCOR TRADE IMP-EXP---PROVIGO TRADE S.R.L.---PROVISION RETAIL PROD SRL,,13,15184.23,1
ANDROMI COM---LECONFEX---SIGISMUND COM,,13,704766.21,3
Alexgold Distribution S.R.L.,,12,5164013.38,5
Rareș-Alex S.R.L.,,12,685685.82,5
S.C. Oltenia Garden S.R.L.,,12,613274.32,2
AMA FRUCT CP---DOIMAN COM S.R.L.---STEDYAN COM S.R.L.,,12,57260.7,4
PROSEMENTI S.R.L.---S M RECOSEMTRACT---SEMROM OLTENIA SA,,12,63363.76,1
SC METCHIM TORENT SRL,,12,410900.24,1
ACVILA---LECONFEX---SIGISMUND COM,,12,93287.17,1
S.C. GREENLEG DISTRIBUTION S.R.L.,,12,40039.6,2
S.C. MULTI LACT S.R.L.,,12,1411.6,1
G T P D,,12,703520.07,3
LARISCH EXIM,,12,160301.32,3
S.C.ROSARIO PAN S.R.L.,,12,773912.92,4
S.C. Irinel S.R.L.,,11,536428.57,5
