Company Name (EN),Company Name (GR),Country (EN),Country (GR),Pavilion,Stand,Street,Number,City,Postal Code,Region,Email,Phone,Website,Products (EN),Products (GR),Exhibition Code
AGRO QUEENS,AGRO QUEENS,Poland,Πολωνία,PAVILION 13,B01,Stodolna,2,Grojec,05-600,Masovian Voivodeship,sales@agroqueens.com,+48502842132,http://agroqueens.com,"Apple, Bean, Blueberry, FRESH FRUITS &amp; VEGETABLES, Fruit juices, Leek, Mushrooms, Onion, Pear, Plum, Strawberry, Tomato, Trade of fresh fruit, Trade of fresh vegetables, Zucchini","Αχλάδι, Δαμάσκηνο, Εμπορία φρέσκων λαχανικών, Εμπορία φρέσκων φρούτων, Κολοκύθι, Κρεμμύδι, Μανιτάρια, Μήλο, Μύρτιλο, Ντομάτα, Πράσο, Φασολάκι, Φράουλα, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ, Χυμοί φρούτων",49-FRE-2025
AGROEKFRASI.GR,AGROEKFRASI.GR,Greece,Ελλάδα,PAVILION 13,C24,Panagouli str.,66,Larissa,412 22,Larissa,agroekfrasi@gmail.com,+30 2410 628825,http://www.agroekfrasi.gr/,PUBLICATIONS-PRESS,ΕΚΔΟΣΕΙΣ - ΤΥΠΟΣ,49-FRE-2025
AIROCIDE - THRACEAN  ZEOLITE,AIROCIDE  - ΘΡΑΚΙΚΟΣ ΖΕΟΛΙΘΟΣ,Greece,Ελλάδα,PAVILION 13,D05,Meleti,,Komotini,69100,Rodopi,thracean.zeolite@avgiepe.gr,2531095650,www.thraceanzeolite.gr,Fertilizers,Λιπάσματα,49-FRE-2025
AIROCIDE - THRACEAN  ZEOLITE,AIROCIDE  - ΘΡΑΚΙΚΟΣ ΖΕΟΛΙΘΟΣ,Greece,Ελλάδα,PAVILION 13,D05,Eleftheriou Venizelou,54Α,Kavala,65403,Kavala,trustcellarius@gmail.com,+302511110039,www.tcgroup.gr,"AGRICULTURAL PRODUCT PROCESSING, PRESERVING, PACKAGING AND STORING MACHINERY, Fruit preservation systems, HEATING-COOLING-VENTILATION, Machinery, tools and equipment, TECHNOLOGY-IT-INNOVATION","ΘΕΡΜΑΝΣΗ-ΨΥΞΗ-ΑΕΡΙΣΜΟΣ, ΜΗΧΑΝΗΜΑΤΑ ΕΠΕΞΕΡΓΑΣΙΑΣ ΣΥΝΤΗΡΗΣΗΣ-ΣΥΣΚΕΥΑΣΙΑΣ-ΑΠΟΘΗΚΕΥΣΗΣ, Μηχανήματα, εργαλεία και εξοπλισμός, Συστήματα συντήρησης φρούτων, ΤΕΧΝΟΛΟΓΙΑ-ΠΛΗΡΟΦΟΡΙΚΗ-ΚΑΙΝΟΤΟΜΙΑ",49-FRE-2025
AIROCIDE EUROPE - TCGROUP,AIROCIDE ΕΥΡΩΠΗΣ- TCGROUP,Greece,Ελλάδα,PAVILION 13,D05,,,,,,info@tcgroup.gr,,,,,49-FRE-2025
ALFA COOL HELLAS ABEE,ALFA COOL HELLAS ABEE,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,B04,Konstantinoypoleos 67,,Acharnai,13671,Attica,info@alfacoolhellas.gr,2102321525,www.alfacoolhellas.gr,"AGRICULTURAL PRODUCT PROCESSING, PRESERVING, PACKAGING AND STORING MACHINERY, Cooling Systems, Fruit and vegetable processing machinery, Hydrocooler for Fruits &amp; Vegetables","ΜΗΧΑΝΗΜΑΤΑ ΕΠΕΞΕΡΓΑΣΙΑΣ ΣΥΝΤΗΡΗΣΗΣ-ΣΥΣΚΕΥΑΣΙΑΣ-ΑΠΟΘΗΚΕΥΣΗΣ, Μηχανήματα-επεξεργασίας φρούτων &amp;  λαχανικών, Συστήματα Ψύξης, Υδροκούλερ Φρούτων &amp; Λαχανικών",49-FRE-2025
AMERICAN MOTORS - CH. PILALIS S.A.,AMERICAN MOTORS - Χ. ΠΙΛΑΛΗΣ Α.Β.Ε.Ε.,Greece,Ελλάδα,PAVILION 15 GROUND FLOOR,A01,Protomagias str.,5,Kryoneri,145 68,Attica,info@ampilalis.com,+30 210 6220100,www.ampilalis.com,"AGRICULTURAL PRODUCT PROCESSING, PRESERVING, PACKAGING AND STORING MACHINERY, Cooling Systems","ΜΗΧΑΝΗΜΑΤΑ ΕΠΕΞΕΡΓΑΣΙΑΣ ΣΥΝΤΗΡΗΣΗΣ-ΣΥΣΚΕΥΑΣΙΑΣ-ΑΠΟΘΗΚΕΥΣΗΣ, Συστήματα Ψύξης",49-FRE-2025
ANANIAS FRUIT,ANANIAS FRUIT,Greece,Ελλάδα,PAVILION 13,C12,Marina,,Naousa,59200,Imathia,ananiasfruit@yahoo.com,6973869263,https://www.ananiasfruit.gr/,"Apricot, Cherry, FRESH FRUITS &amp; VEGETABLES, Grape, Kiwi, Lotus, Nectarine, Peach, Pear, Plum, Trade of fresh fruit, Vanilla","Ακτινίδιο, Αχλάδι, Βανίλια, Βερίκοκο, Δαμάσκηνο, Εμπορία φρέσκων φρούτων, Κεράσι, Λωτός, Νεκταρίνι, Ροδάκινο, Σταφύλι, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
ARCTIC SP. Z O.O.,ARCTIC SP. Z O.O.,Poland,Πολωνία,PAVILION 13,B01,Ul. Przemyslowa,1A,Radziejowice,96-325,Masovian Voivodeship,a.frydrych@arcticproduce.pl,+48538811406,https://www.facebook.com/arcticproduce/?locale=pl_PL,"Apple, Beetroot, Blackberry, Blueberry, Cabbage, Carrot, Cauliflower, FRESH FRUITS &amp; VEGETABLES, Onion, Tomato, Trade of fresh fruit, Zucchini","Βατόμουρο, Εμπορία φρέσκων φρούτων, Καρότο, Κολοκύθι, Κουνουπίδι, Κρεμμύδι, Λάχανο, Μήλο, Μύρτιλο, Ντομάτα, Παντζάρι, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ",49-FRE-2025
ARONIA EGGERT,ARONIA EGGERT,Poland,Πολωνία,PAVILION 13,B01,Kolonia Badkow,8A,Goszczyn,05-610,Mazovian,aronia@aroniaeggert.com,+48793003259,www.aronia.org.pl,"FRESH FRUITS &amp; VEGETABLES, Fruit juices, FRUITS &amp; VEGETABLES (ORGANIC), NURSERIES, Superfoods","Υπερτροφές, ΦΡΕΣΚΑ ΦΡΟΥΤΑ &amp; ΛΑΧΑΝΙΚΑ, ΦΡΟΥΤΑ-ΛΑΧΑΝΙΚΑ ΒΙΟΛΟΓΙΚΑ, ΦΥΤΩΡΙΑ, Χυμοί φρούτων",49-FRE-2025
