denumire,tip,birou_vamal,data_autorizatie
2T TRANS SRL,AEOC,ROANV004,09/07/2018
ADINA SRL,AEOC,ROANV004,01/10/2014
AGRESSIONE GROUP SA,AEOC,ROANV004,22/01/2025
ALKA TRADING CO SRL,AEOC,ROANV004,27/02/2024
ALPROF SA,AEOC,ROANV004,20/09/2022
AMS FREIGHT &amp; LOGISTICS SRL,AEOC,ROANV004,19/08/2020
ART GLAS SA,AEOC,ROANV004,14/02/2019
ARTFAST SRL,AEOC,ROANV004,27/02/2024
AUTO ALEX SRL,AEOC,ROANV004,22/01/2019
AUTOMOBILE-DACIA SA,AEOC,ROANV004,27/02/2024
BAUMIT ROMANIA COM SRL,AEOC,ROANV004,16/12/2024
BEKAERT SLATINA SRL,AEOC,ROANV004,13/08/2017
BEST OPTIM CONCEPT SRL,AEOC,ROANV004,03/05/2021
BLACK SEA LOGISTIC GLOBAL SRL,AEOC,ROANV004,15/03/2026
BROKER GROUP SOLUTION SRL,AEOC,ROANV004,29/11/2021
CARGO MUNTENIA INTERNATIONAL SRL,AEOC,ROANV004,19/10/2016
CITY BROKER SRL,AEOC,ROANV004,02/10/2018
COMEX 97 SA,AEOC,ROANV004,20/03/2017
COMPA SA,AEOC,ROANV004,20/04/2019
COMPANIA NATIONALA POSTA ROMANA SA,AEOC,ROANV004,21/07/2020
CONEX DISTRIBUTION SA,AEOC,ROANV004,09/07/2022
DALGECO CONFECTII TEXTILE SRL,AEOC,ROANV004,24/05/2022
DELPACK INVEST SRL,AEOC,ROANV004,11/05/2019
DELTICOM OE SRL,AEOC,ROANV004,21/04/2025
DEXION STORAGE SOLUTIONS SRL,AEOC,ROANV004,02/06/2025
DNS&#39;S PANEL SRL,AEOC,ROANV004,28/08/2023
DS SMITH PAPER ZARNESTI SRL,AEOC,ROANV004,20/04/2024
ELLA ROSE ART SRL,AEOC,ROANV004,21/07/2019
EUROGROUP CONNECTION SRL,AEOC,ROANV004,23/12/2020
EUROPE METAL TRADE SRL,AEOC,ROANV004,27/07/2020
EUROTRANSPORT LOGISTICS SA,AEOC,ROANV004,22/05/2018
G. SPEED EXTERN SRL,AEOC,ROANV004,25/01/2020
GARANTI PREST SRL,AEOC,ROANV004,11/02/2020
GEBRUDER WEISS SRL,AEOC,ROANV004,28/06/2010
GEFCONS BUSINESS SRL,AEOC,ROANV004,09/03/2024
GLOBAL CASH &amp; CARY SRL,AEOC,ROANV004,20/12/2021
GRUPO ANTOLIN SIBIU SRL,AEOC,ROANV004,22/10/2022
HARBOUR PREST SRL,AEOC,ROANV004,29/07/2019
