cui,denumire,localitate,judet,tip_resursa,nr_licenta,sursa,email
,Permise de prospecțiune,,,petrol,,,
,Acorduri de concesiune pentru explorare-dezvoltare-exploatare,,,petrol,,,
,Perimetre de dezvoltare – exploatare și exploatare petrolieră aflate în concesiunea titularilor de acorduri petroliere,,,petrol,,,
,AMROMCO ENERGY S.R.L.,,,co2,,,
,OMV Petrom,,,co2,,,
,Romgaz S.A.,,,co2,,,
,AMROMCO ENERGY,,,necunoscut,,,
,"OMV Petrom 
 Romgaz",,,necunoscut,,,
,Permise Exploatare in vigoare 9 10,,,minier,,,
,Ordinul nr. 55/11.02.2026,,,minier,,,
,Ordin al președintelui ANRMPSG nr. 769,,,minier,,,
,Ordin al președintelui ANRMPSG nr. 937/2025,,,minier,,,
,Ordinul nr. 752/2025,,,minier,,,
,Ordinul nr.764/28.08.2025,,,minier,,,
,Ordinul nr. 718/01.08.2025,,,minier,,,
,Ordinul nr. 1003/2025,,,minier,,,
,Ordinul nr. 965/2025,,,minier,,,
,Ordinul nr. 759/26.08.2025,,,minier,,,
,Ordinul nr. 750/19.08.2025,,,minier,,,
,Ordinul nr. 537/18.07.2025,,,minier,,,
,Ordinul nr. 324 din 15.11.2023,,,minier,,,
,Ordin nr 363 din 2.12.2020,,,minier,,,
,ORDIN Nr. 294 din 06 august 2019,,,minier,,,
,ORDIN,,,minier,,,
,ORDIN Nr. 194,,,minier,,,
,ORDIN Nr. 136 din 12 iulie 2018,,,minier,,,
,ORDIN Nr. 267 din 11 iulie 2017,,,minier,,,
,ORDIN Nr. 111 din 30 mai 2017,,,minier,,,
,ORDIN Nr. 86 din 13 aprilie 2016,,,minier,,,
,Raport Licențe de Exploatare / Arii Naturale Protejate (Natura 2000),,,minier,,,
,Raport Licențe de Explorare / Arii Naturale Protejate (Natura 2000),,,minier,,,
,Raport Permise de Explorare / Arii Naturale Protejate (Natura 2000),,,minier,,,
,ORDIN Nr. 245 din 04 noiembrie 2015,,,minier,,,
,ORDIN Nr. 170 din 19 august 2015,,,minier,,,
,ORDIN Nr. 42 din 03 martie 2014,,,minier,,,
,ORDIN Nr. 41 din 03 martie 2014,,,minier,,,
,ORDIN Nr. 429 din 14 decembrie 2012,,,minier,,,
,ORDIN Nr. 298 din 2 octombrie 2012,,,minier,,,
,ORDIN Nr. 183 din 2 septembrie 2009,,,minier,,,
,Localizarea perimetrelor ofertate la Runda 69,,,minier,,,
,Fisele perimetrelor ofertate,,,minier,,,
,ORDIN Nr. 150 din 10 iulie 2009,,,minier,,,
,Localizarea perimetrelor ofertate la Runda 68,,,minier,,,
,ORDIN Nr. 109 din 14 mai 2009,,,minier,,,
,ORDIN privind aprobarea Listei perimetrelor,,,minier,,,
,Lista perimetrelor oferite la runda 66/2009 pentru concesionarea activitatilor miniere de explorare,,,minier,,,
,ORDIN Nr. 48 din 03 martie 2009,,,minier,,,
,"ORDIN Nr.179 din 27 august 2009 privind Lista perimetrelor petroliere oferite pentru concesiune prin apel public de oferta, RUNDA a X-a/2009",,,petrol,,,
,"LISTA PERIMETRELOR DE EXPLORAREA, DEZVOLTARE SI EXPLOATARE OFERITE IN RUNDA A X- A",,,petrol,,,
,Anuntarea celei de a 10-a Runde de Licitatie din România in Jurnalul Oficial al Uniunii Europene,,,petrol,,,
,"Procedura de desfasurare a apelului public de oferta pentru concesionarea unor perimetre in vederea efectuarii de operatiuni petroliere de explorare, dezvoltare si exploatare",,,petrol,,,
,"RUNDA 9,",,,petrol,,,
,RUNDA 8 și,,,petrol,,,
,RUNDA 7,,,petrol,,,
,RUNDA VIII SI IX,,,petrol,,,
,RUNDA X,,,petrol,,,
,AUTOSTRADA DE CENTURĂ A MUNICIPIULUI BUCUREȘTI – JUD. ILFOV,,,minier,,,
,SECTORUL RUTIER BUZĂU – FOCȘANI,,,minier,,,
,SECTORUL RUTIER PITEȘTI – SIBIU,,,minier,,,
,SECTORUL RUTIER PLOIEȘTI – BUZĂU,,,minier,,,
,SECTORUL FEROVIAR BRASOV SIGHISOARA,,,minier,,,
,MODERNIZAREA ȘI DEZVOLTAREA PORTULUI GALAȚI,,,minier,,,
,SECTORUL RUTIER BACĂU – PAȘCANI,,,minier,,,
,SECTORUL RUTIER PAȘCANI – SUCEAVA,,,minier,,,
,SECTORUL RUTIER UNGHENI – IAȘI – TG. NEAMȚ,,,minier,,,
,SECTORUL RUTIER SIBIU – BRASOV,,,minier,,,
,SECTORUL RUTIER BRASOV – BACAU,,,minier,,,
,SECTORUL RUTIER SUCEAVA – SIRET,,,minier,,,
,SECTORUL RUTIER TG.NEAMT – TG.MURES,,,minier,,,
,SECTORUL RUTIER IERNUT – GHETANI – CP.TURZII,,,minier,,,
,SECTORUL RUTIER BUCURESTI – ALEXANDRIA – CRAIOVA,,,minier,,,
,SECTORUL RUTIER NADASELU – SUPLACU DE BARCAU,,,minier,,,
,SECTORUL RUTIER SUPLACU DE BARCAU – BORS,,,minier,,,
,SECTORUL RUTIER CRAIOVA – FILIASI – DROBETA TURNU SEVERIN,,,minier,,,
,MODERNIZAREA ȘI DEZVOLTAREA PORTURILOR OVIDIU SI MEDGIDIA,,,minier,,,
,MODERNIZAREA ȘI DEZVOLTAREA PORTULUI CALAFAT,,,minier,,,
,"MODERNIZAREA ȘI DEZVOLTAREA PORTURILOR CORABIA, TURNU-MAGURELE SI ZIMNICEA",,,minier,,,
,SECTORUL RUTIER DR. TR. SEVERIN – CARANSEBES – LUGOJ,,,minier,,,
,SECTORUL RUTIER  PLOIESTI – COMARNIC – BRASOV,,,minier,,,
,SECTORUL RUTIER PITESTI – CRAIOVA,,,minier,,,
,SECTORUL RUTIER BUZAU – FAUREI – BRAILA,,,minier,,,
,SECTORUL RUTIER TIMISOARA-MORAVITA,,,minier,,,
,SECTORUL RUTIER MACIN-TULCEA-CONSTANTA,,,minier,,,
,SECTORUL RUTIER  FOCSANI-BRAILA-GALATI-GIURGIULESTI,,,minier,,,
,"ANUNȚ cu privire la decizia nr. 91 din 25 noiembrie 2024 a Înaltei Curți de Casație și Justiție, publicată în Monitorul Oficial în 29 ianuarie 2025",,,petrol,,,
,Ordin 148 din 27.08.2024,,,petrol,,,
,"Anexa,",,,petrol,,,
,Anexa 1.1,,,petrol,,,
,Anexa 1.2,,,petrol,,,
,Anexa 1.3,,,petrol,,,
,Anexa 2.1,,,petrol,,,
,Anexa 2.2,,,petrol,,,
,Ordin 422 din 30.10.2024,,,petrol,,,
,Anexa,,,petrol,,,
,Anunț cf art. VII alin. (9) – OUG 156 din 2024,,,petrol,,,
,Anunț 389,,,petrol,,,
,Anunț 388,,,petrol,,,
,Anunț 387,,,petrol,,,
,Anunț 386,,,petrol,,,
,Anunț 385,,,petrol,,,
,Anunț 384,,,petrol,,,
,Anunț 383,,,petrol,,,
,Anunț 382,,,petrol,,,
,Anunț 381,,,petrol,,,
,Anunț 380,,,petrol,,,
,Anunț 379,,,petrol,,,
,Anunț 378,,,petrol,,,
,Anunț 377,,,petrol,,,
,Anunț 376,,,petrol,,,
,Anunț 375,,,petrol,,,
,Anunț 374,,,petrol,,,
,Anunț 373,,,petrol,,,
,Anunț 372,,,petrol,,,
,Anunt 372,,,petrol,,,
,Anunț 371,,,petrol,,,
,Anunț 370,,,petrol,,,
,Anunț 369,,,petrol,,,
,Anunț 368,,,petrol,,,
,Anunț 367,,,petrol,,,
,Anunț 366,,,petrol,,,
,Anunț 365,,,petrol,,,
,Anunț 364,,,petrol,,,
,Anunț 363,,,petrol,,,
,Anunț 362,,,petrol,,,
,Anunț 361,,,petrol,,,
,Anunț 360,,,petrol,,,
,Anunț 359,,,petrol,,,
,Anunț 358,,,petrol,,,
,Anunț 357,,,petrol,,,
,Anunț 356,,,petrol,,,
,Anunț 355,,,petrol,,,
,Anunț 354,,,petrol,,,
,Anunț 353,,,petrol,,,
,Anunț 352,,,petrol,,,
,Anunț 351,,,petrol,,,
,Anunț 350,,,petrol,,,
,Anunț 349,,,petrol,,,
,Anunț 348,,,petrol,,,
,Anunț 347,,,petrol,,,
,Anunț 346,,,petrol,,,
,Anunț 345,,,petrol,,,
,Anunț 344,,,petrol,,,
,Anunț 343,,,petrol,,,
,Anunț 342,,,petrol,,,
,Anunț 341,,,petrol,,,
,Anunț 340,,,petrol,,,
,Anunț 339,,,petrol,,,
,Anunț 338,,,petrol,,,
,Anunț 337,,,petrol,,,
,Anunț 336,,,petrol,,,
,Anunț 335,,,petrol,,,
,Anunț 334,,,petrol,,,
,Anunț 333,,,petrol,,,
,Anunț 332,,,petrol,,,
,Anunț 331,,,petrol,,,
,Anunț 330,,,petrol,,,
,Anunț 329,,,petrol,,,
,Anunț 328,,,petrol,,,
,Anunț 327,,,petrol,,,
,Anunț 326,,,petrol,,,
,Anunț 325,,,petrol,,,
,Anunț 324,,,petrol,,,
,Anunț 323,,,petrol,,,
,Anunț323,,,petrol,,,
,Anunț 322,,,petrol,,,
,Anunț 321,,,petrol,,,
,Anunț 320,,,petrol,,,
,Anunț 319,,,petrol,,,
,Anunț 318,,,petrol,,,
,Anunț 317,,,petrol,,,
,Anunț 316,,,petrol,,,
,Anunț 315,,,petrol,,,
,Anunț 314,,,petrol,,,
,Anunț 313,,,petrol,,,
,Anunț 312,,,petrol,,,
,Anunț 311,,,petrol,,,
,Anunț 310,,,petrol,,,
,Anunț 309,,,petrol,,,
,Anunț 308,,,petrol,,,
,Anunț 307,,,petrol,,,
,Anunț 306,,,petrol,,,
,Anunț 305,,,petrol,,,
,Anunț 304,,,petrol,,,
,Anunț 303,,,petrol,,,
,Anunț 302,,,petrol,,,
,Anunț 301,,,petrol,,,
,Anunț 300,,,petrol,,,
,Anunț 299,,,petrol,,,
,Anunț 298,,,petrol,,,
,Anunț 297,,,petrol,,,
,Erată anunț297,,,petrol,,,
,Anunț 296,,,petrol,,,
,Anunț 295,,,petrol,,,
,Anunț 294,,,petrol,,,
,Erată anunț 294,,,petrol,,,
,Anunț 293,,,petrol,,,
,Anunț 292,,,petrol,,,
,Anunț 291,,,petrol,,,
,Erată anunț 291,,,petrol,,,
,Anunț 290,,,petrol,,,
,Anunț 289,,,petrol,,,
,Anunț 288,,,petrol,,,
,Anunț 287,,,petrol,,,
,(Anunț 287),,,petrol,,,
,Anunț 286,,,petrol,,,
,(Anunț 286),,,petrol,,,
,Anunț 285,,,petrol,,,
,(Anunț 285),,,petrol,,,
,Anunț 284,,,petrol,,,
,(Anunț 284),,,petrol,,,
,Anunț 283,,,petrol,,,
,Anunț 282,,,petrol,,,
,(Anunț 282),,,petrol,,,
,Anunț 281,,,petrol,,,
,(Anunț 281),,,petrol,,,
,Anunț 280,,,petrol,,,
,Anunț 279,,,petrol,,,
,(Anunț 279),,,petrol,,,
,Anunț 278,,,petrol,,,
,(Anunț 278),,,petrol,,,
,Anunț 277,,,petrol,,,
,(Anunț 277),,,petrol,,,
,Anunț 276,,,petrol,,,
,(Anunț 276),,,petrol,,,
,Anunț 275,,,petrol,,,
,(Anunț 275),,,petrol,,,
,Erată anunț 275,,,petrol,,,
,Anunț 274,,,petrol,,,
,Anunț 273,,,petrol,,,
,(Anunț 273),,,petrol,,,
,Anunț 272,,,petrol,,,
