cui,denumire,judet,tip_serviciu,nr_licenta,email
27278646,"APASERV SALUBRIZARE
SRL Slănic Moldova",Bacau,apa,"Licenţă nr. 6120/21.12.2022 clasa 3
Valabilă până la data de 24.06.2027",
27429315,"COMPANIA REGIONALĂ DE
APĂ BACĂU SA",Bacau,apa,"Licenţă nr. 7482/16.12.2025 clasa 2
Valabilă până la data de 16.12.2030",
27864203,"APA SERV TROTUȘ SRL
Comănești",Bacau,apa,"Licenţă nr. 6216/03.03.2023 clasa 3
Valabilă până la data de 31.01.2028",
36045518,"SERVICIUL APĂ-CANAL
OITUZ",Bacau,apa,"Licenţă cu caracter provizoriu nr.
7305/19.08.2025 clasa 3
Valabilă până la data de 19.08.2026",
39839157,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE Asău",Bacau,apa,"Licenţă cu caracter provizoriu nr.
7205/28.05.2025 clasa 3
Ordin nr. 272/28.05.2025
Valabilă până la data de 28.05.2026",
44252778,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA SI
CANALIZARE GHIMES-
FAGET",Bacau,apa,"Licenţă cu caracter provizoriu nr.
7344/09.09.2025 clasa 3
Valabilă până la data de 09.09.2026",
26161230,NOVA APASERV SA Botoșani,Botosani,apa,"Licenţă nr. 7427/14.11.2025 clasa 2
Valabilă până la data de 14.11.2030",
37737746,"GOSPODARII CORLĂȚENI
SRL Corlățeni",Botosani,apa,"Licenţă cu caracter provizoriu nr.
7283/01.08.2025 clasa 3
Valabilă până la data de 01.08.2026",
1959768,APAVITAL SA Iași,Iasi,apa,"Licenţă nr. 7594/26.02.2026 clasa 1
Valabilă până la data de 26.02.2031",
15346437,"COMPANIA JUDEŢEANĂ
APASERV SA Piatra Neamţ",Neamt,apa,"Licenţă nr. 7185/07.05.2025 clasa 2
Valabilă până la data de 07.05.2030",
29813109,"APĂ CANAL CIPRIAN
PORUMBESCU SRL Ciprian
Porumbescu",Suceava,apa,"Licenţă cu caracter provizoriu nr.
7424/14.11.2025 clasa 3
Valabilă până la data de 14.11.2026",
35014475,"MATRIXCOMP FILIALA
DUMBRĂVENI SRL
Dumbrăveni",Suceava,apa,"Licenţă nr. 6141/16.01.2023 clasa 3
Valabilă până la data de 24.04.2026",
36504068,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE PĂLTINOASA
Păltinoasa",Suceava,apa,"Licenţă nr. 7201/26.05.2025 clasa 3
Valabilă până la data de 26.05.2030",
36742710,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA SI
CANALIZARE - COMUNA
BRODINA",Suceava,apa,"Licenţă cu caracter provizoriu nr.
7557/02.02.2026 clasa 3
Valabilă până la data de 02.02.2027",
36970742,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA SI
CANALIZARE - COMUNA
PATRAUTI",Suceava,apa,"Licenţă cu caracter provizoriu nr.
7189/09.05.2025 clasa 3
Valabilă până la data de 09.05.2026",
39283743,"SERVICIUL PUBLIC DE
ALIMENTARE CU APĂ ȘI
CANALIZARE CAPU
CÂMPULUI Capu Câmpului",Suceava,apa,"Licenţă nr. 5625/16.12.2021 clasa 3
Valabilă până la data de 16.12.2026",
39937929,"CONSILIUL LOCAL MĂLINI -
SERVICIUL APA-CANAL",Suceava,apa,"Licenţă cu caracter provizoriu nr.
7425/14.11.2025 clasa 3
Valabilă până la data de 14.11.2026",
43856547,"SERVICIUL DE
ALIMENTARE CU APĂ ȘI
CANALZIARE ORAȘUL
FRASINU",Suceava,apa,"Licenţă nr. 5647/05.01.2022 clasa 3
Valabilă până la data de 05.01.2027",
46126890,"SERVICIUL PUBLIC DE
ALIMENTARE CU APA SI
CANALIZARE VALEA
MOLDOVEI",Suceava,apa,"Licenţă cu caracter provizoriu nr.
7370/03.10.2025 clasa 3
Valabilă până la data de 03.10.2026",
713519,ACET SA SUCEAVA,Suceava,apa,"Licenţă nr. 6340/06.06.2023 clasa 2
Valabilă până la data de 28.06.2028",
17986823,AQUAVAS SA Vaslui,Vaslui,apa,"Licenţă nr. 6054/31.10.2022 clasa 2
Valabilă până la data de 14.12.2027",
