denumire,cui,localitate,judet,tip,autorizatie,telefon,sursa,email
ADM ROMANIA LOGISTICS SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 186 CT,0241630559,anr_autorizatii,
AGROTANSHOLD SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 170 CT,0749828828,anr_autorizatii,
AMA RIVER SHIPPING SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 165 CT,0734104092,anr_autorizatii,
ARM TRUST SHIPPING SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 149 CT,0769980400,anr_autorizatii,
BELOR ROMANIA SA,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 183 CT,0727123114,anr_autorizatii,
BLACK SEA SERVICES SRL,,,,REMORCAJUL DE MANEVRĂ AL NAVELOR MARITIME ÎN PORTURI,RNM 153 CT,0722163216,anr_autorizatii,
BLACK SEA TEHNIK SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 145 CT,0761131335,anr_autorizatii,
BLACK WATERS S A,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 137CT,0725354441,anr_autorizatii,
BLUE DANUBE P&L SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 199 CT,0732235692,anr_autorizatii,
CANAL SEA SERVICES SRL,,,,TRANSPORT PUBLIC DE MARFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 160 CT,0241619200,anr_autorizatii,
CARCO GRUP AGRITRADE SRL,,,,TRANSPORT PUBLIC DE MARFURI PE CAI NAVIGABILE INTERIOARE,TPMCM 189 CT,0241619988,anr_autorizatii,
COFCO INTERNATIONAL ROMANIA SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCM 190 CT,0731043550,anr_autorizatii,
COMP DE REMORCARE MARITIMĂ COREMAR S A,,,,REMORCAJUL DE MANEVRĂ AL NAVELOR MARITIME ÎN PORTURI,RNM 151 CT,0722561040,anr_autorizatii,
CRISROB DEDE SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 146 CT,0727820855,anr_autorizatii,
DANUBE BARGES SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 184 CT,0723626296,anr_autorizatii,
DANUBE SHIPPING&TRADING SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 155 CT,0751225577,anr_autorizatii,
DIAMAT SHIPPING SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 144 CT,0765663671,anr_autorizatii,
ENERGY MARITIM SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 164 CT,0731114602,anr_autorizatii,
EURO RIVER TRANSPORT SRL,,,,TRANSPORT PUBLIC DE MARFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 194 CT,0241601825,anr_autorizatii,
FAUROPING SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 185 CT,0761898422,anr_autorizatii,
FIRSTNAV SRL,,,,TRANSPORT PUBLIC DE MARFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 179 CT,0722163218,anr_autorizatii,
GEOMAR STEVADORING CO SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 141 CT,0744367607,anr_autorizatii,
GURDAS LOGISTIC STL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 140 CT,0734139503,anr_autorizatii,
GRANEX SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 201 CT,0744152616,anr_autorizatii,
HARBOUR TOWAGE SRL,,,,REMORCAJUL DE MANEVRĂ AL NAVELOR MARITIME ÎN PORTURI,RNM 150 CT,0726831864,anr_autorizatii,
ILIOI SHIPPING SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 143 CT,0721858782,anr_autorizatii,
KARINA SHIPPING AGENCY SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 168 CT,0756153243,anr_autorizatii,
LIBRA NAV SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 198 CT,0720300375,anr_autorizatii,
LINE SHIP SERVICES SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCM 191 CT,0750153249,anr_autorizatii,
LUFADORI EXTRACT SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 181 CT,0241255322,anr_autorizatii,
LVT ACTI TRANS SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 171 CT,0727223114,anr_autorizatii,
MAI TRANSPORTER DANUBE INTERANTIONAL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 182 CT,0241484490,anr_autorizatii,
MARA SEA & RIVER TRADE SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 138CT,0721070882,anr_autorizatii,
MARIA SHIPPING AGENCY SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 159CT,0742218018,anr_autorizatii,
MARIN RIVERLINE SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 147 CT,0241670452,anr_autorizatii,
MERIDIAN PROJECT & LOGISTIC SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 162 CT,0727223114,anr_autorizatii,
MIDIA MARINE TERMINAL SRL,,,,REMORCAJUL DE MANEVRĂ AL NAVELOR MARITIME ÎN PORTURI,RNM 166 CT,0241506147,anr_autorizatii,
MONDOTRANSALEX SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 142 CT,0768997361,anr_autorizatii,
MPK ACTIV SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 176 CT,0729342981,anr_autorizatii,
MULTRASHIP ROMANIA SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 169 CT,0212023523,anr_autorizatii,
MULTRASHIP ROMÂNIA SRL,,,,REMORCAJUL DE MANEVRĂ AL NAVELOR MARITIME ÎN PORTURI,RNM 188 CT,0241601616,anr_autorizatii,
NISA SHIPPING SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 180 CT,0728631884,anr_autorizatii,
PASS BUILDING TRADE,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 163 CT,0734642292,anr_autorizatii,
PHOENIX LOGISTICS SOLUTIONS SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 167 CT,0241619993,anr_autorizatii,
PHOENIX RIVER TRANS SRL,,,,TRANSPORT PUBLIC DE MARFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 161 CT,0748881789,anr_autorizatii,
PHOENIX SHIPPING AND TRADING LTD CO,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 195 CT,0241619993,anr_autorizatii,
PRONAV SHIPPING SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 156 CT,0788707254,anr_autorizatii,
PSG DUNĂREA SHIPPING SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 174 CT,0741071979,anr_autorizatii,
RIN TRANS ACTIV,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 152 CT,0769061750,anr_autorizatii,
RIVER BARGE SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 173 CT,0723626296,anr_autorizatii,
RIVER BROKERAGE SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 193 CT,0744579653,anr_autorizatii,
SANTIERUL NAVAL MIDIA SA,,,,REMORCAJUL DE MANEVRA AL NAVELOR MARITIME IN PORTURI,RNM 200 CT,0241255844,anr_autorizatii,
SEA RIVER SHIPPING SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 157 CT,0723818001,anr_autorizatii,
SERENITY SHIPPING SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 148 CT,0728180054,anr_autorizatii,
SLD CEVALIS SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CAI NAVIGABILE INTERIOARE,TPMCM 187 CT,0241484490,anr_autorizatii,
SOL MARITIME SERVICES SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 175 CT,0241663055,anr_autorizatii,
SVAD SHIPPING SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 192 CT,0374009498,anr_autorizatii,
TAURUS SHIPPING & SERVICES SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 158 CT,0728180054,anr_autorizatii,
TRANS CARGO DANUBE SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 177 CT,0741198001,anr_autorizatii,
TTI SHIPPING GRUP SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 154 CT,0722357792,anr_autorizatii,
UNITED SHIPPING AGENCY SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 178 CT,0241672929,anr_autorizatii,
WELDE CERNAVODA SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 135 CT,0241236193,anr_autorizatii,
DELTA SHIPPING AGENCY SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 196 CT,0744216845,anr_autorizatii,
DOBROGEA PLANT,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 197 CT,0758737136,anr_autorizatii,
ADADELIS PREST SRL,,,,,TPMCN 130 GL,TRANSPORT PUBLIC DE MĂRFURI PE CAI NAVIGABILE INTERIOARE,anr_autorizatii,
AGRICOM BORCEA SRL,,,,,TPMCN 135 GL,TRANSPORT PUBLIC DE PASAGERI ȘI DE MARFURI PE CAI NAVIGABILE INTERIOARE,anr_autorizatii,
AGRICOST S A,,,,,TPMCN 148 GL,TRANSPORT PUBLIC DE PASAGERI ŞI MĂRFURI PE CĂI NAVIGABILE INTERIOARE,anr_autorizatii,
AGROPEC SPEDITION SRL,,,,,TPMCN 144 GL,TRANSPORT PUBLIC DE MARFURI PE CAI NAVIGABILE INTERIOARE,anr_autorizatii,
AGROZOOTEHNICA S A FĂCĂENI,,,,,TPMCN 171 GL,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,anr_autorizatii,
AVIDA NAVIGATION SRL,,,,,TPMCN 145 GL,TRANSPORT PUBLIC DE MARFURI PE CAI NAVIGABILE INTERIOARE,anr_autorizatii,
AVRAM AJEA SRL,,,,,TPMCN 164 GL,TRANSPORT PUBLIC DE PASAGERI ȘI DE MARFURI PE CAI NAVIGABILE INTERIOARE,anr_autorizatii,
ENTECH SRL,,,,,TPMCN 175 GL,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,anr_autorizatii,
CNFR NAVROM S A GALAŢI,,,,,TPMCN 158 GL,TRANSPORT PUBLIC FLUVIAL MĂRFURI PE CĂI NAVIGABILE INTERIOARE,anr_autorizatii,
