denumire,cui,localitate,judet,website,telefon,adresa,caen,acoperire,an_infiintare,programe,sursa,email
GrowingPath Consulting SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0752215814,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; GrowingPath Consulting SRL - P; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0620 / 0; PNDR 2014-2020 / 0640 / 0; Proceduri PNDR 2020; Proceduri P,madr_consultanti,
Sov Consulting SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0371072550,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2007-2013 / M112 / 2; PNDR 2007-2013 / M123N578 / 2; PNDR 2007-2013 / M123XS28 / 1; PNDR 2007-2013 / M125 / 1; PN,madr_consultanti,
Consilia Concept SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0744546434,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; Consilia Concept SRL - Portalu; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR,madr_consultanti,
CAMYRE,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0364438039,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; CAMYRE - Portalul AFIR - infor; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0620 / 2; PNDR 2014-2020 / 0640 / 2; Proceduri PNDR 2020; Proceduri P,madr_consultanti,
SAINT VIA,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0364438039,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0620 / 2; PNDR 2014-2020 / 0640 / 2; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare P,madr_consultanti,
SC AGROFINANCE GROUP SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0722947475,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,Regional,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 0; PNDR 2014-2020 / 0410ITI / 0; PNDR 2014-2020 / 041A / 0; PNDR 2014-2020 / 041AITI / 0; PNDR,madr_consultanti,
SC EPD SMART CONSULTING SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0787863327,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; Proceduri PNDR 2020; Proceduri PS 2027; Proceduri și Formulare PNDR 20; Rezultate PNDR 2007-2013; Rezultate PNDR 2014-,madr_consultanti,
ALLINONE CONS SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0720035212,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,ALLINONE CONS SRL - Portalul A; Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 0; PNDR 2014-2020 / 041A / 0; PNDR 2014-2020 / 0420 / 0; PNDR ,madr_consultanti,
REEVE ASSET MANAGEMENT,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 0; PNDR 2014-2020 / 041A / 0; PNDR 2014-2020 / 0420 / 0; PNDR 2014-2020 / 042A / 0; Proceduri ,madr_consultanti,
RED IDEAS CONSULTING SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0743060506,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 0410 / 5; PNDR 2014-2020 / 0420 / 4; PNDR 2014-2020 / sM 5.1 Privat; Proceduri PNDR 2020; Proceduri P,madr_consultanti,
SC PRODINVEST GRUP 99 SRL,,Despre AFIR AFIR este una dintre cele mai performante instit,,https://so.afir.info/,0744660450,"Despre AFIR AFIR este una dintre cele mai performante instituții din România – din 2000 și până în prezent, Agenția a efectuat plăți de peste 21 miliarde € către fermieri, procesatori, antreprenori di",,National,2027,Achiziții privați PNDR; LEADER 2023-2027 - sM 19.1; Măsuri atipice sM 19.2; PNDR; PNDR 2014-2020 / 041A / 1; PNDR 2014-2020 / 0420 / 1; PNDR 2014-2020 / 0610 / 1; PNDR 2014-2020 / 0620 / 1; PNDR 2014-,madr_consultanti,
