denumire,judet,adresa,telefon,nr_autorizatie,data_emiterii,tip_autorizatie,descriere_autorizatie
SC AMA SECURITY SRL,ALBA,"Alba Iulia, str. Ştefan cel Mare, bl.ME9, et.3, ap.12",0358/814315,A-0718,03.03.2011,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
APA-CTTA SA,ALBA,"Alba Iulia, str. Vasile Goldiş, nr.3",0258/834087,A-3030,20.12.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ARGONA SRL,ALBA,"Blaj, Str. Eroilor, bl. 27, ap. 29",0741032448,B-1636,03.05.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
BEJAN & PARTNERS TEAM SRL,ALBA,"Cugir, str. Ghe. Țițeica, nr.12",0751/604450,B-0469,24.02.2021,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"BLUE COMPUTER DEVELOPMENT
SRL",ALBA,"Alba Iulia, str. Primăverii, nr. 20",0728267423,B-3268,28.11.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
BRAVO SRL,ALBA,"Alba-Iulia. Str. Cloșca, nr.10, bl.2, sc.E, ap.30",0745075029,B-2839,17.07.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
CLASS TECH VISION SRL,ALBA,"Câmpeni, Str. Turzii, nr. 37",0736597607,B-3457,12.02.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
CORON INVEST SRL,ALBA,"Blaj, str. Ghe. Șincai, nr.32",0740/567742,B-1185,12.11.2021,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
CRYSTAL GROUP SRL,ALBA,"Sat Drâmbar, com. Ciugud, str. Energiei, nr. 5B",0735545122,B-5400,30.07.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC DIAFAN SRL,ALBA,"Alba Iulia, str. Traian, nr.15, ap.A",0258/818764,A-2085,24.04.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ELECTRIC PARTENER SERVICE SRL,ALBA,"Sebeș, str. Tâmplarilor, nr. 2",0775366952,B-3897,22.04.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ELECTRODEP SRL,ALBA,"Vințu de Jos, str. Alexe Țurcaș, nr. 21",0744288590,B-1940,07.09.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ELECTROFUSE SRL,ALBA,"Alba Iulia, Str. Gheorghe Doja, nr. 96",0741596716,B-4567,10.01.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ELECTRO INSTAL SRL,ALBA,"Alba Iulia, B-dul Revoluţiei 1989, nr.7B, blV6, ap.9",0744/342649,A-2748,09.10.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC ELECTROMOLDO SRL,ALBA,"Alba Iulia, str. Livezii, nr.42",0744/229875,A-2590,29.08.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ELECTRO ORIEL SRL,ALBA,"Sat Vurpăr, com. Vințu de Jos, nr. 30",0799881115,B-4951,04.04.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"ELECTRO TECHNICAL SOLUTIONS
SRL",ALBA,"Ocna Mureș, str. Ștefan Augustin, nr.29",0743/041075,B-0889,04.08.2021,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
ENERGOHOLDING SRL,ALBA,"Șugag, str. Mică, nr. 9",0749597185,B-4066,10.07.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SC GEVIS PROTEAM SRL
Autorizat la:","ALBA
HUNEDOARA","Alba Iulia, str. Francisca, nr. 4B, biroul 2
Deva, B-dul 22 Decembrie, bl.41, parter",0254/211120,"B-1737
A-1805","25.05.2022
16.02.2012",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
GIDO TEST SRL,ALBA,"Alba Iulia, B-dul Ferdinand I, nr.65",0258/834233,A-2792,24.10.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
IMSAT-ALBA SA,ALBA,"Alba Iulia, str.Gheorghe Şincai, nr.8A",0258/816103,A-2795,24.10.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
INSTALATORUL SA,ALBA,"Alba Iulia, str. Regina Maria, nr. 5",0258813334,B-1819,22.07.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MEDISERVICE SOLUTIONS SRL,ALBA,"Sat Tărtăria, com. Săliștea, str. Capu Satului, nr. 10",0754555539,B-5584,26.09.2025,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MIROPA ARM SRL,ALBA,"Lancrăm, municipiul Sebeş, str. Veche, nr.18",0740/094321,A-5119,03.09.2015,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MOVLADI SRL,ALBA,"Şibot, str. Gării, nr.445",0742/989996,A-5754,04.04.2016,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
MRZ TELE-SECURITY SRL,ALBA,"Sebeș, Aleea Parc, bl.29, ap.9",0751/230600,A-9922,19.06.2020,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
RADOF SOFT SRL,ALBA,"Blaj, B-dul Republicii, nr. 14A, bloc 1, etaj PA, ap. 3",0744535160,B-0974,26.08.2021,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SC SMART TREND SRL
Autorizat la:",ALBA,"Alba Iulia, str. Iașilor, nr.74
Alba Iulia, str. Cloşca, nr.1, bl.C2, ap.37",0745/022022,"A-7154
A-2503","28.06.2017
03.08.2012",semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SMART TREND SECURITY SRL,ALBA,"Alba Iulia, Str. Iașilor, nr. 74",0742021009,B-2527,11.04.2023,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SOCIETATEA COMERCIALĂ
FILIALA PENTRU REPARAŢII ŞI
SERVICII „HIDROSERV” SEBEŞ SA",ALBA,"Sebeş, str. Alunului, nr.9A",0258/734411,A-2863,13.11.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
STARGATE CENTER SRL,ALBA,"Cugir, oraș Cugir, Str. Viitorului, nr. 1, ap. 4",0733290707,B-1891,23.08.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
STC WORLD SYSTEMS SRL,ALBA,"Sat Șeușa, comuna Ciugud, str. Crizantemei, nr.16",0749/046366,A-9986,16.07.2020,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
TEAM SECURITY VISION SRL,ALBA,"Blaj, Alexandru Borza, nr. 84",0749548444,B-1827,22.07.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
VENUSELECTRIC SRL,ALBA,"Alba Iulia, str. Timotei Cipariu, nr. 17",0756057462,A-7665,10.01.2018,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
VIDEO SERVICE ELECTRIC SRL,ALBA,"Alba Iulia, str. Timotei Cipariu, nr. 17",0756/057462,A-3961,24.02.2014,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC ANTIPYR PLUS SRL,ARAD,"Arad, Str. Căpitan Ignat, nr. 19-21/B",0257/280908,A-1518,18.11.2011,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC APA PLUS `97 SRL,ARAD,"Arad, str. Voinicilor, bl.C6, ap.4",0731/660848,A-9153,17.07.2019,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
AQUINAS KUBIK TRADE SRL,ARAD,"Nădlac, Str. Dr. Martin Luther, nr. 160",0741748337,B-1862,08.08.2022,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC BUSINESS EXPERT SRL,ARAD,"Vladimirescu, str. Crişan, nr.13",0723/533427,A-2222,21.05.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"SC CENTRALA ELECTRICĂ DE
TERMOFICARE ARAD SA
(C.E.T.ARAD)",ARAD,"Arad, Calea 6 Vânători, nr.FN",0257/213196,A-1159,19.07.2011,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
CISMAȘ IOAN DANIEL ÎI,ARAD,"Arad, str. Poetului, nr.46A, bl. A-26, sc.B, ap.1,",0756298601,B-1052,21.09.2021,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
CMV NEVAL PROTECT SRL,ARAD,"Arad, Bd. Nicolae Titulescu, bl. 303/4, sc. A, ap. 16",0742964964,B-4355,09.10.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
CMV NEVAL SECURITY SRL,ARAD,"Arad, Bd. Nicolae Titulescu, bl. 303/4, sc. A, et. 4, ap. 16",0742964964,B-4378,14.10.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
SC CONTACT PLUS SRL,ARAD,"Arad, B-dul Iuliu Maniu, nr.12-18, sc.B, ap.2",0257/289070,A-2133,03.05.2012,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
"DDD CRACIUN DANIEL SI ARIANA
SRL",ARAD,"Ineu, Str. Nicolae Bălcescu, nr. 2",0735588086,B-4216,27.08.2024,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
D&L GUARD ELITE SECURITE SRL,ARAD,"Arad, Str. Cocorilor, nr.43",0760/256120,A-9584,30.12.2019,semnalizare_instalare,Instalare/intretinere semnalizare alarmare incendiu
