cui,company_name,email,phone,county,city,address,legal_form,founding_date,is_active
17821485,CIRSTEA FOREST SRL,cst_vld@yahoo.com,0765239713,Prahova,"Sat Traisteni, Comuna Valea Doftanei","JUD. PRAHOVA, SAT TRAISTENI COM. VALEA DOFTANEI, CAL. BRASOVULUI, NR.802C",SRL,2005-07-27,Y
25314890,SELF CURIER COM SRL,office@hotel-eden.ro,0723648244,Prahova,Municipiul Ploiesti,"JUD. PRAHOVA, MUN. PLOIESTI, STR. MAGURII, NR.4, BL.33, SC.D, ET.P, AP.45",SRL,2009-03-19,N
37992293,MEDELEC EXPERT SRL,office@elsara.ro,0762257225,Prahova,"Sat Batesti, Comuna Brazi","JUD. PRAHOVA, SAT BATESTI COM. BRAZI, STR MARIN PREDA, NR.4",SRL,2017-07-18,Y
50660089,DAMIAN CONSTRUCT ALIAS S.R.L.,pironalexandra46@gmail.com,0760538006,Vrancea,"Sat Slobozia Bradului, Comuna Slobozia Bradului","JUD. VRANCEA, SAT SLOBOZIA BRADULUI COM. SLOBOZIA BRADULUI, STR PRINCIPALA, NR.47",SRL,,Y
50471942,NY BA EVENTS S.R.L.,batogdana0@gmail.com,0732381023,Vrancea,Municipiul Focsani,"JUD. VRANCEA, MUN. FOCSANI, STR. ALEXANDRU GOLESCU, NR.2",SRL,,Y
52509148,ENYGMA WEB S.R.L.,alinamicle1986@gmail.com,0751257221,Prahova,Municipiul Ploiesti,"JUD. PRAHOVA, MUN. PLOIESTI, STR. GHEORGHE GRIGORE CANTACUZINO, NR.259, CAMERA 1, BL.11, SC.B, ET.1, AP.51",SRL,,Y
22916670,LUKAS ART SRL,team-md@identi.com,0722517411,Prahova,Municipiul Ploiesti,"JUD. PRAHOVA, MUN. PLOIESTI, STR. SERGENT EROU MATEESCU GHEORGHE, NR.16, BL.9A, SC.A, ET.4, AP.18",SRL,2007-12-12,N
1445031,UNIVERSAL IMPEX SRL,barbu.laura@yahoo.com,0744570972,Vrancea,Municipiul Focsani,"JUD. VRANCEA, MUN. FOCSANI, STR. MARE A UNIRII T.102,P5451, NR.11, BL.11, SC.4, ET.PART.",SRL,1991-09-26,Y
48552450,DREAMWAY BUSINESS S.R.L.,anup@propertyschannel.com,0737713018,Prahova,Municipiul Ploiesti,"JUD. PRAHOVA, MUN. PLOIESTI, STR. MIHAI EMINESCU, NR.22, BL.2, SC.A, ET.4, AP.16",SRL,2023-07-27,Y
41765205,GOSPAPP RECRUT S.R.L.,mihai.alexandra.andreea@gmail.com,0723222232,Buzau,Municipiul Buzau,"MUNICIPIUL BUCURESTI, SECTOR 1, CALEA DOROBANTI, NR.36-40, BL.CORP A, SC.A, ET.P, AP.2",SRL,2019-10-15,N
29238885,POIANA CETATUII SRL,pensiuneacetatuia@gmail.com,0722386077,Buzau,"Sat Magura, Comuna Magura","JUD. BUZAU, SAT MAGURA COM. MAGURA, STR. CETATUII, NR.1",SRL,2011-10-18,Y
27182664,RENOVASION IOANIS SRL,rocominvest@gmail.com,0732223388,Prahova,"Sat Pantazi, Comuna Valea Calugareasca","JUD. PRAHOVA, SAT PANTAZI COM. VALEA CALUGAREASCA, NR.380",SRL,2010-07-16,N
5080698,CELESIV IMPEX SRL,vrabieromeo1@yahoo.com,0744600384,Vrancea,Municipiul Focsani,"JUD. VRANCEA, MUN. FOCSANI, STR. UNIREA PRINCIPATELOR, NR.56",SRL,1993-12-20,Y
40444398,STEEL CONS FAB S.R.L.,dcostache560@gmail.com,0799109708,Vrancea,"Loc. Marasesti, Oras Marasesti","JUD. VRANCEA, ORS. MARASESTI, STR. 24 IANUARIE, NR.18",SRL,2019-01-17,N
36406272,GLOB TEXSTYLE S.R.L.,carmenvulpe20@yahoo.ro,0721026940,Ialomita,Municipiul Slobozia,"MUNICIPIUL BUCURESTI, SECTOR 2, STR. GRIGORE IONESCU, NR.63, CAMERA 2, BL.T73, SC.2, ET.4, AP.42",SRL,2016-08-09,N
28469091,ELI TRANSPORT DIANA SRL,pensiunea_dona@yahoo.com,0768101898,Ialomita,"Sat Cocora, Comuna Cocora","JUD. IALOMITA, SAT COCORA COM. COCORA, STR. GLADIOLELOR, NR.4, BL.CLADIRE C1, AP.CAMERA 3",SRL,2011-05-12,Y
45791320,GEOFY SISTERS S.R.L.,vicavlad12@gmail.com,0723979704,Vrancea,Municipiul Focsani,"JUD. VRANCEA, MUN. FOCSANI, STR. CONSTRUCTORULUI, NR.19, BL.P7, SC.4, ET.4, AP.79",SRL,2022-03-14,Y
32257755,AGROCETE S.R.L.,contact@targetare.ro,0732270989,Ialomita,Municipiul Slobozia,"JUD. IALOMITA, MUN. SLOBOZIA, STR. LONDRA, NR.31",SRL,2013-09-18,Y
48662703,ASIIMOV TECHNOLOGIES S.R.L.,contact@asiimov.ro,0772252728,Prahova,"Sat Strejnicu, Comuna Targsoru Vechi","JUD. PRAHOVA, SAT STREJNICU COM. TARGSORU VECHI, STR. ILIESTI, NR.45",SRL,2023-08-22,Y
5797898,MONTAJ CARPATI SA,office@montajcarpati.ro,0724558646,Prahova,"Sat Puchenii Mari, Comuna Puchenii Mari","JUD. PRAHOVA, SAT PUCHENII MARI COM. PUCHENII MARI,",SA,1994-06-10,Y
37929547,AMFORA CONSTRUCT PROMANAGEMENT SRL,violetajanca41@gmail.com,0730198803,Buzau,"Sat Paltineni, Oras Nehoiu","JUD. BUZAU, SAT PALTINENI ORS. NEHOIU, CAL. ARDEALULUI, NR.85",SRL,2017-07-10,Y
22769162,CASIVLAD PREST SRL,contact@free-star.ro,0727889586,Prahova,"Sat Marginenii de Jos, Comuna Filipestii de Targ","JUD. PRAHOVA, SAT MARGINENII DE JOS COM. FILIPESTII DE TARG, NR.218",SRL,2007-11-19,N
31627507,CARMISTIN INTERNATIONAL SRL,contact@energoutil.ro,0735789688,Prahova,"Loc. Mizil, Oras Mizil","MUNICIPIUL BUCURESTI, SECTOR 1, SOS BUCURESTI-PLOIESTI, NR.172-176, PLATINUM BUSINESS & CONVENTION CENTER. CLADIREA A. ETAJUL 2. BIROURILE NR. 3 SI 17",SRL,2013-05-13,N
33028539,CVA CANVAS VALUE ART SRL,office@sanimed.ro,0729881342,Prahova,Municipiul Campina,"JUD. PRAHOVA, MUN. CAMPINA, STR. LIBERTATII, NR.14",SRL,2014-04-07,Y
19228760,ALPHA GAZ GRUP SRL,casamuntenia@yahoo.com,0745670484,Buzau,Municipiul Buzau,"JUD. BUZAU, MUN. BUZAU, ALEEA NEPTUN, BL.10, SC.A, ET.2, AP.10",SRL,2006-11-23,N
4595335,LEX PROTECT BUZAU SRL,resurseumane@lexprotect.ro,0727793318,Buzau,"Sat Stalpu, Comuna Stalpu","JUD. BUZAU, SAT STALPU COM. STALPU,  , NR.248",SRL,1993-08-17,Y
49937659,MIV INVEST S.R.L.,gplautoiasi@gmail.com,0766263287,Vrancea,"Sat Ramniceni, Comuna Maicanesti","JUD. VRANCEA, SAT RAMNICENI COM. MAICANESTI, STR BISERICII, NR.2",SRL,2024-04-15,Y
50708527,DALV STEEL PROTECTION S.R.L.,eurosrl2024@gmail.com,0723882313,Prahova,"Sat Pantazi, Comuna Valea Calugareasca","JUD. PRAHOVA, SAT PANTAZI COM. VALEA CALUGAREASCA, STR. REPUBLICII, NR.140",SRL,,Y
12300362,DINAR PROD COM SRL,your-email@your-domain.com,02381553353,Buzau,"Sat Dealul Viei, Comuna Merei","JUD. BUZAU, SAT DEALUL VIEI COM. MEREI, STR. DEALUL VIEI",SRL,1999-10-21,Y
41281841,POET HOSPITALITY INDUSTRY S.R.L.,lupinocom@yahoo.com,0722487718,Vrancea,Municipiul Focsani,"JUD. VRANCEA, MUN. FOCSANI, STR. ING. ANGHEL SALIGNY, NR.43",SRL,2019-06-19,Y
39125662,FLOROX PROIECT S.R.L.,geanina.lesnic@elixir.com.ro,0735469700,Prahova,"Sat Miroslavesti, Comuna Puchenii Mari","JUD. PRAHOVA, SAT MIROSLAVESTI COM. PUCHENII MARI, MIROSLAVESTI, NR.62",SRL,2018-04-02,Y
49508444,EDA FAMILY S.R.L.,alexcatalin_rosu@gmail.com,0730071658,Ialomita,Municipiul Slobozia,"JUD. IALOMITA, MUN. SLOBOZIA, BLD. UNIRII, NR.19, BL.Z1, SC.C, AP.37",SRL,2024-01-31,Y
11400487,MECANEX SRL,secretariat@mecanex.ro,,Vrancea,Municipiul Focsani,"JUD. VRANCEA, MUN. FOCSANI, BLD. BUCURESTI, NR.16A",SRL,1999-01-12,Y
49759012,HANDS ON FIRE S.R.L.,mire.rosu@gmail.com,0727737443,Prahova,Municipiul Ploiesti,"JUD. PRAHOVA, MUN. PLOIESTI, ALEEA PARASUTISTILOR, NR.1, CAMERA 2, BL.134D, ET.4, AP.19",SRL,2024-03-13,Y
19052540,EUROTOURIST 2006 SRL,bejbercariucorneliu@yahoo.com,0723394351,Vrancea,Municipiul Focsani,"JUD. VRANCEA, MUN. FOCSANI, STR. LACRAMIOAREI, NR.23",SRL,2006-09-27,N
1454684,IONELA SRL,raduu91@gmail.com,,Vrancea,Municipiul Adjud,"JUD. VRANCEA, MUN. ADJUD, P-TA. AGROALIMENTARA",SRL,1991-05-13,Y
48055736,ALMINEC SOLUTION S.R.L.,alminec.solution@gmail.com,0721400639,Prahova,Municipiul Ploiesti,"JUD. PRAHOVA, MUN. PLOIESTI, STR. CAMELIEI, NR.8B, BL.35, SC.D, ET.4, AP.60",SRL,2023-04-26,Y
16445277,IULVAS SRL,ilvas_vs@yahoo.com,,Buzau,"Sat Cotorca, Comuna Glodeanu-Silistea","JUD. BUZAU, SAT COTORCA COM. GLODEANU-SILISTEA,  , (BUFET+METALO CHIMICE)",SRL,2004-05-20,Y
38306075,IGNAT V. JENITA INTREPRINDERE INDIVIDUALA,ignicomex@yahoo.com,0742004811,Vrancea,"Sat Domnesti-Tirg, Comuna Pufesti","JUD. VRANCEA, SAT DOMNESTI-TARG COM. PUFESTI, DOMNESTI-TIRG",II,2017-10-04,N
27172008,LA RUSI RESORT SRL,office@deltaboutique.ro,0722548077,Prahova,"Sat Cornu de Sus, Comuna Cornu","JUD. PRAHOVA, SAT CORNU DE SUS COM. CORNU, STR. MORII, NR.233",SRL,2010-07-14,Y
