email,company,country,city,website,buyer_authority,contract_value
11wog.szpub@ron.mil.pl,GMINNA SPÓŁDZIELNIA  "Samopomoc Chłopska",POL,Pruszcz,www.11wog.wp.mil.pl,11 Wojskowy Oddział Gospodarczy,1209316.5
aba@hoka.dk,Hørkram Foodservice A/S,DNK,Sorø,,Region Midtjylland,54734652
a.barrier.perret-ra@groupeperret.fr,PERRET RHÔNE ALPES,FRA,CHABRILLAN,,Clermont Auvergne Métropole,
a.berankova@zsmv.cz,Vodňanská drůbež, a.s.,CZE,Vodňany - Vodňany II,,Zařízení služeb pro Ministerstvo vnitra,500000000
abrennan@ksnpm.ie,KSN Project Management Ltd. KSN Horizon,IE,Dublin,https://www.etenders.gov.ie,Louth and Meath Education and Training Board 1384,250000.0
accounts@burnsfarmmeats.ie,Burns Farm Meats,IRL,Sligo,www.burnsfarmmeats.ie,The Office of Government Procurement,6534167
accounts@rdservices.ie,Robotics & Drives,IRL,Mullingar, Co Westmeath,,Louth and Meath Education and Training Board 1384,
accueil@cdub.fr,LES CHANTIERS DU BARROIS SAS,FRA,BAR LE DUC,,Conseil départemental de la Meuse,270000
achavez@nosacarne.com,NOSA CARNE,SL,ES,OURENSE,,Area Sanitaria de Ourense, Verin y Barco de Valdeorras,421650.0
achillebertrand@krill.fr,ACHILLE BERTRAND,FRA,LES HERBIERS,,Ville de Châtellerault,596000
achizitii@andromi.ro,ANDROMI COM,RO,Oradea,,SPITALUL JUDETEAN SATU MARE,12862764.0
achizitiidgaspcneamt@yahoo.com,Carpatis SRL,ROU,Suceava,,DGASPC Neamt,167752.5
achizitii.publice@ecogardenconstruct.com,ECO GARDEN CONSTRUCT SRL,ROU,Cluj-Napoca,https://www.ecogardenconstruct.com,UNIVERSITATEA "BABES-BOLYAI",1999630.42
achizitii@vascar.ro,VASCAR S.A.,RO,Vaslui,WWW.VASCAR.RO,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI VASLUI,931150.2
acirlan74@gmail.com,S.C. Fleischparty SRL S.R.L.,RO,Vaslui,www.fleischparty.ro,Universitatea "Alexandru Ioan Cuza" Iasi,1279414.5
adam@hand-mies.pl,Hand-Mięs Polowczyk Sp.z o.o.,POL,Nowe Miasto nad Wartą,,14 Wojskowy Oddział Gospodarczy w Poznaniu,1253850.3
adiandro2004@yahoo.com,PROVIZII DE IARNĂ S.R.L.,ROU,Petrila,https://www.delirs.com,SPITALUL JUDETEAN DE URGENTA DEVA,
adinaconstantin@yahoo.com,ADCON,ROU,Ramnicu Valcea,https://adcon.ro,Directia Generala de Asistenta Sociala si Protectia Copilului Olt,3360542.95
admin@bott.ie,BOTT LTD,IRL,CARRIGALINE,www.bott.ie,Longford and Westmeath Education and Training Board,
admin@frutasbonachia.es,FRUTAS BONACHIA, S.L,ESP,VILLAFRIA BURGOS,,Jefatura de Intendencia de Asuntos Económicos Oeste,1.02
administracion@carnicasquesada.es,INDUSTRIAS CARNICAS QUESADA S.L.,ESP,TRUJILLO,,Consejería de Salud y Servicios Sociales,112904.1
administracion@enjesa.com,EN-JE, S.A.,ESP,Algezares Murcia,,Instituto Murciano de Acción Social (IMAS) - Dirección Gerencial,46281.8
administracion@pintxaki.es,THE PINBALL BAR, S.L.,ESP,BOADILLA DEL MONTE,,Pleno del Ayuntamiento de Navalcarnero,16020
administracion@piodosaleiro.es,García Candal, S.L.,ESP,A Coruña,https://garciacandalalimentacion.com,Servizo Galego de Saúde - Área Sanitaria da Coruña e Cee,522560
administracion@serpeska.com,DISTRIBUCIONES MOZOS S.A.,ESP,Madrid,,Jefatura de Administración Económica del Cuarto Militar de S.M. el Rey y Guardia Real,1727272.72
administratif.neubourg@socopa.fr,SOCOPA VIANDES,FRA,LE NEUBOURG,,REGION BRETAGNE
,11971617
admnistratif@lesgorronnaises.com,LES RILLETTES GORRONNAISES,FRA,GORRON,https://www.lesgorronnaises.com/,Centre Hospitalier de Laval (53),2307292
adrian.barbat@apa-cezara.ro,APE MINERALE BACAIA SRL,ROU,Bacaia,,Spitalul Clinic de Boli Infectioase si Pneumoftiziologie Victor Babes Craiova,
ads@agriplanthuguet.cat,AGRIPLANT HUGUET, S.L.,ESP,BARCELONA,,BARCELONA DE SERVEIS MUNICIPALS, S.A.,358000
adv.nantes@groupeplg.com,GROUPE PLG,FRA,PONT SAINT MARTIN,,Ville de Concarneau,550000
adv.restauration@groupe-vt.com,ALPES FRAIS PRODUCTION SAS,FRA,Rives,,GHT Savoie Belley - CH Métropole Savoie,
