name,country,city,website,email,phone,sector
JBS S.A.,BR,Sao Paulo,jbs.com.br,,,Beef/Poultry
Marfrig Global Foods,BR,Sao Paulo,marfrig.com.br,,,Beef
Minerva Foods,BR,Barretos,minervafoods.com,,,Beef
BRF S.A.,BR,Sao Paulo,bfrsa.com,,,Poultry/Pork
Frigol,BR,Lencois Paulista,frigol.com.br,,,Beef
Masterboi,BR,Goiania,masterboi.com.br,,,Beef
Frigorifico Gorina,AR,La Plata,gorina.com.ar,,,Beef
Quickfood (Marfrig),AR,Buenos Aires,quickfood.com.ar,,,Beef
Frigorifico Rioplatense,AR,Buenos Aires,rfrioplatense.com.ar,,,Beef
FRIAR S.A.,AR,Santa Fe,friar.com.ar,,,Beef
Arre Beef,AR,Buenos Aires,arrebeef.com,,,Beef
Frigorifico Paladini,AR,Santa Fe,paladini.com.ar,,,Beef/Pork
Frigorifico Tacuarembo,UY,Tacuarembo,tacuarembo.com.uy,,,Beef
Frigorifico Las Piedras (Marfrig),UY,Las Piedras,,,,Beef
Breeders & Packers Uruguay (BPU),UY,Durazno,bfrsa.com,,,Beef
Frigorifico San Jacinto (NIREA),UY,San Jacinto,nirea.com.uy,,,Beef
Frigorifico Canelones,UY,Canelones,,,,Beef
Cledinor S.A.,UY,Salto,,,,Beef
Frigorifico Concepcion,PY,Concepcion,frigorificoconcepcion.com,,,Beef
JBS Paraguay,PY,Asuncion,,,,Beef
Frigomerc,PY,Asuncion,frigomerc.com.py,,,Beef
Frigorifico San Pedro,PY,San Pedro,,,,Beef
Frigorifico Neuland,PY,Filadelfia,neuland.com.py,,,Beef
