name,country,city,website,email,phone,sector,enrich_email,enrich_phone,enrich_address,enrich_city,enrich_website,enrich_source,enrich_match_type,enrich_match_score
JBS S.A.,BR,Sao Paulo,jbs.com.br,,,Beef/Poultry,,,,,,,,
Marfrig Global Foods,BR,Sao Paulo,marfrig.com.br,,,Beef,,,,,,,,
Minerva Foods,BR,Barretos,minervafoods.com,,,Beef,,,,,,,,
BRF S.A.,BR,Sao Paulo,bfrsa.com,,,Poultry/Pork,,0215299000,"MUNICIPIUL BUCURESTI, SECTOR 2, SOS PIPERA, NR.43, CLADIREA A. SPATIUL A1 (IN INCINTA COMPLEXULUI DE BIROURI FLOREASCA PARK), ET.1",,,ANAF_PHONES,fuzzy,85.71428571428572
Frigol,BR,Lencois Paulista,frigol.com.br,,,Beef,,0264555571,"JUD. CLUJ, MUN. CLUJ-NAPOCA, BLD. NICOLAE TITULESCU, NR.26, BL.P12, SC.1, ET.3, AP.7",,,ANAF_PHONES,fuzzy,90.9090909090909
Masterboi,BR,Goiania,masterboi.com.br,,,Beef,,0744367888,"JUD. BIHOR, SAT MAGESTI COM. MAGESTI, NR.2",,,ANAF_PHONES,fuzzy,88.88888888888889
Frigorifico Gorina,AR,La Plata,gorina.com.ar,,,Beef,,,,,,,,
Quickfood (Marfrig),AR,Buenos Aires,quickfood.com.ar,,,Beef,,,,,,,,
Frigorifico Rioplatense,AR,Buenos Aires,rfrioplatense.com.ar,,,Beef,,,,,,,,
FRIAR S.A.,AR,Santa Fe,friar.com.ar,,,Beef,,13123760,"MUNICIPIUL BUCURESTI, SECTOR 6, STR. VALEA LUNGA, NR.52-54",,,ANAF_PHONES,fuzzy,85.71428571428572
Arre Beef,AR,Buenos Aires,arrebeef.com,,,Beef,,,,,,,,
Frigorifico Paladini,AR,Santa Fe,paladini.com.ar,,,Beef/Pork,,,,,,,,
Frigorifico Tacuarembo,UY,Tacuarembo,tacuarembo.com.uy,,,Beef,,,,,,,,
Frigorifico Las Piedras (Marfrig),UY,Las Piedras,,,,Beef,,,,,,,,
Breeders & Packers Uruguay (BPU),UY,Durazno,bfrsa.com,,,Beef,,,,,,,,
Frigorifico San Jacinto (NIREA),UY,San Jacinto,nirea.com.uy,,,Beef,,,,,,,,
Frigorifico Canelones,UY,Canelones,,,,Beef,,,,,,,,
Cledinor S.A.,UY,Salto,,,,Beef,,,,,,,,
Frigorifico Concepcion,PY,Concepcion,frigorificoconcepcion.com,,,Beef,,,,,,,,
JBS Paraguay,PY,Asuncion,,,,Beef,,,,,,,,
Frigomerc,PY,Asuncion,frigomerc.com.py,,,Beef,,526832,"JUD. BUZAU, SAT PLESCOI COM. BERCA, PLESCOI",,,ANAF_PHONES,fuzzy,88.88888888888889
Frigorifico San Pedro,PY,San Pedro,,,,Beef,,,,,,,,
Frigorifico Neuland,PY,Filadelfia,neuland.com.py,,,Beef,,,,,,,,
