name,country,city,website,email,phone,sector,enrich_email,enrich_phone,enrich_address,enrich_city,enrich_website,enrich_source,enrich_match_type,enrich_match_score
Livent Corporation (Argentina),AR,Catamarca,livent.com,,,Lithium Carbonate,,,,,,,,
Allkem Limited (Olaroz),AR,Jujuy,allkem.co,,,Lithium Carbonate,,,,,,,,
Arcadium Lithium (Fenix),AR,Catamarca,arcadiumlithium.com,,,Lithium,,,,,,,,
Posco Pilbara (Sal de Vida),AR,Catamarca,poscopilbara.com,,,Lithium,,,,,,,,
Eramet (Centenario-Ratones),AR,Salta,eramet.com,,,Lithium Carbonate,,,,,,,,
Rio Tinto (Rincon),AR,Salta,riotinto.com,,,Lithium,,,,,,,,
Ganfeng Lithium (Mariana),AR,Salta,ganfenglithium.com,,,Lithium,,,,,,,,
Lithium Americas (Cauchari-Olaroz),AR,Jujuy,lithiumamericas.com,,,Lithium,,,,,,,,
JEMSE S.A.,AR,Jujuy,jemse.gob.ar,,,State Mining Company,,,,,,,,
Lake Resources (Kachi),AR,Catamarca,lakeresources.com.au,,,Lithium Exploration,,,,,,,,
Argosy Minerals (Rincon),AR,Salta,argosyminerals.com.au,,,Lithium Exploration,,,,,,,,
ioneer Ltd (Cinti),AR,Salta,ioneer.com,,,Lithium Exploration,,,,,,,,
Orocobre (merged Allkem),AR,Jujuy,allkem.co,,,Lithium Exploration,,,,,,,,
Neo Lithium (Tres Quebradas),AR,Catamarca,neolithium.ca,,,Lithium Exploration,,,,,,,,
SQM (Sociedad Quimica y Minera),CL,Santiago,sqm.com,,,"Lithium, Potassium, Iodine",,,,,,,,
Albemarle Chile,CL,Santiago,albemarle.com,,,Lithium,,,,,,,,
CODELCO (Maricunga),CL,Copiapo,codelco.com,,,"Copper, Lithium",,,,,,,,
BYD Chile,CL,Antofagasta,byd.com,,,"Battery, Lithium Processing",,,,,,,,
Lithium Chile Inc,CL,Copiapo,lithiumchile.ca,,,Lithium Exploration,,,,,,,,
Wealth Minerals (Atacama),CL,Antofagasta,wealthminerals.com,,,Lithium Exploration,,,,,,,,
Yacimientos de Litio Bolivianos (YLB),BO,La Paz,ylb.gob.bo,,,State Lithium Company,,,,,,,,
COMIBOL (Lithium Division),BO,La Paz,comibol.gob.bo,,,State Mining,,,,,,,,
CBC-YLB (CATL JV),BO,Potosi,,,,Lithium,,,,,,,,
Uranium One-YLB,BO,Potosi,,,,Lithium,,,,,,,,
