name,cnpj,email,phone,domain,city,state,sector,website,status,activity,capital
JBS S/A,02.916.265/0001-60,tributos.rfb@jbs.com.br,(11) 3144-4000,jbs.com.br,SAO PAULO,SP,beef_poultry,,ATIVA,Frigorifico - abate de bovinos,23631071304.24
VALE S.A.,33.592.510/0001-54,,(21) 3485-5000/ (21) 3485-6600,,RIO DE JANEIRO,RJ,iron_steel,,ATIVA,Extracao de minerio de ferro,77300000000.00
PETROLEO BRASILEIRO S A PETROBRAS,33.000.167/0001-01,cc-rfisc@petrobras.com.br,(21) 2166-0000,petrobras.com.br,RIO DE JANEIRO,RJ,,,ATIVA,Extracao de petroleo e gas natural,205431960490.52
SUZANO S.A.,16.404.287/0001-55,regularidades@suzano.com.br,(11) 3636-5000,suzano.com.br,SALVADOR,BA,pulp_paper,,ATIVA,Fabricacao de celulose e outras pastas para a fabricacao de papel,19269281424.63
KLABIN S.A.,89.637.490/0001-45,cont_fisc_sc@klabin.com.br,(11) 3046-9918 / (11) 3046-5846,klabin.com.br,SAO PAULO,SP,pulp_paper,,ATIVA,Fabricacao de celulose e outras pastas para a fabricacao de papel,6075624836.00
EMBRAER S.A.,07.689.002/0001-89,daniel.saran@embraer.com.br,(12) 3927-1000,embraer.com.br,SAO JOSE DOS CAMPOS,SP,machinery,,ATIVA,Fabricacao de aeronaves,5159617052.42
WEG SA,84.429.695/0001-11,contabil1@weg.net,(47) 3276-4000/ (47) 3276-4775,weg.net,JARAGUA DO SUL,SC,machinery,,ATIVA,Holdings de instituicoes nao-financeiras,12504516508.00
GERDAU S.A.,33.611.500/0001-19,cpg-dteicms@gerdau.com.br,(11) 3094-6600,gerdau.com.br,SAO PAULO,SP,iron_steel,,ATIVA,"Producao de laminados longos de aco, exceto tubos",24347290800.00
USINAS SIDERURGICAS DE MINAS GERAIS S/A. USIMINAS,60.894.730/0001-05,,(31) 3499-9019,,BELO HORIZONTE,MG,iron_steel,,ATIVA,"Producao de laminados planos de aco ao carbono, revestidos ou nao",13200294935.04
COMPANHIA SIDERURGICA NACIONAL,33.042.730/0001-04,tributariocsn@csn.com.br,(11) 3049-7100,csn.com.br,SAO PAULO,SP,,,ATIVA,"Producao de laminados planos de aco ao carbono, revestidos ou nao",10240000000.00
BRASKEM S.A,42.150.391/0001-70,cadastrodasempresasdogrupo@braskem.com,(71) 3504-7100,braskem.com,CAMACARI,BA,chemicals,,ATIVA,Fabricacao de produtos petroquimicos basicos,8043222080.50
AMBEV S.A.,07.526.557/0001-00,opobrigaces@ambev.com.br,(19) 3313-5680/ (19) 3313-6000,ambev.com.br,SAO PAULO,SP,,,ATIVA,Fabricacao de cervejas e chopes,58275086270.41
FREDSON COSMO CANUTO,11.742.455/0001-07,,(88) 3629-1947,,NOVO ORIENTE,CE,Sugar/Ethanol,copersucar.com.br,ATIVA,Comercio a varejo de pecas e acessorios novos para veiculos automotores,1.00
COOPERATIVA CENTRAL AURORA ALIMENTOS,83.310.441/0001-17,fiscal@auroraalimentos.com.br,(49) 3321-3000,auroraalimentos.com.br,CHAPECO,SC,beef_poultry,,ATIVA,Fabricacao de produtos de carne,0.00
JBS S/A,02.916.265/0001-60,tributos.rfb@jbs.com.br,(11) 3144-4000,jbs.com.br,SAO PAULO,SP,,,ATIVA,Frigorifico - abate de bovinos,23631071304.24
FIBRIA CELULOSE S/A,60.643.228/0001-21,fibria@fibria.com.br,(11) 2138-4000 / (11) 2138-4066,fibria.com.br,SAO PAULO,SP,pulp_paper,,BAIXADA,********,9740777179.00
