name,cnpj,trade_name,country,status,org_type
SAO PEDRO DO PIAUI PREFEITURA,06636765000107,,BR,,government
MONSENHOR GIL PREFEITURA,06636815000148,,BR,,government
MUNICIPIO DE AMARANTE-SECRETARIA MUNICIPAL DE EDUCACAO,06636849000132,,BR,,government
AROASES PREFEITURA,06636906000183,,BR,,government
MUNICIPIO DE GRAJAU - CAMARA MUNICIPAL,06651772000170,,BR,,government
MUNICIPIO DE TASSO FRAGOSO - CAMARA MUNICIPAL,06651830000165,,BR,,government
MUNICIPIO DE CODO - CAMARA MUNICIPAL,06652119000125,,BR,,government
FUNDACAO ESTADUAL DE CULTURA E DO DESPORTO DO PIAUI,06653422000142,,BR,,government
FUNDACAO ESTADUAL DE CULTURA E DO DESPORTO DO PIAUI,06653422000223,,BR,,government
FUNDACAO ESTADUAL DE CULTURA E DO DESPORTO DO PIAUI,06653422000304,,BR,,government
FUNDACAO ESTADUAL DE CULTURA E DO DESPORTO DO PIAUI,06653422000495,,BR,,government
FUNDACAO MUNICIPAL DE EDUCACAO E DESENVOLVIMENTO SOCIAL DE ILHA SOLTEIRA - FUNEDISA,06655209000170,,BR,,government
"SECRETARIA DE ESTADO DE CIENCIA, TECNOLOGIA, INOVACAO E EDUCACAO PROFISSIONAL",06656711000103,,BR,,government
MUNICIPIO DE SANTA INES - CAMARA MUNICIPAL,06658009000170,,BR,,government
MUNICIPIO DE VITORIA DO MEARIM - CAMARA MUNICIPAL,06659528000153,,BR,,government
CONSELHO REGIONAL DE CONTABILIDADE DO PIAUI,06669170000140,,BR,,government
ASSESSORIA ESPECIAL DO GOVERNADOR,06675326000103,,BR,,government
FUNDACAO ESTADUAL DO TRABALHO,06681829000183,,BR,,government
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PIAUI,06687545000102,,BR,,government
SECRETARIA DO DESENVOLVIMENTO ECONOMICO E TECNOLOGICO,06688303000125,,BR,,government
SECRETARIA DO DESENVOLVIMENTO ECONOMICO E TECNOLOGICO,06688303000206,,BR,,government
INSTITUTO DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DO PIAUI,06688451000140,,BR,,government
JUNTA COMERCIAL DO ESTADO DO PIAUI,06690994000100,,BR,,government
JUNTA COMERCIAL DO ESTADO DO PIAUI,06690994000282,,BR,,government
ESCOLA TECNICA FEDERAL DO PIAUI,06691836000166,,BR,,government
LOTERIA DO ESTADO DO PIAUI,06699128000171,,BR,,government
MUNICIPIO DE SAO MIGUEL DO TAPUIO,06716906000193,,BR,,government
MUNICIPIO DE RIBEIRO GONCALVES,06728240000193,,BR,,government
MUNICIPIO DE BARBALHA,06740278000181,,BR,,government
MUNICIPIO DE BARBALHA,06740278000262,,BR,,government
MUNICIPIO DE BARBALHA,06740278000343,,BR,,government
MUNICIPIO DE BARBALHA,06740278000424,,BR,,government
MUNICIPIO DE BARBALHA - CAMARA MUNICIPAL,06740377000163,,BR,,government
UNIVERSIDADE REGIONAL DO CARIRI URCA,06740864000126,,BR,,government
SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO SAMAE,06741243000167,,BR,,government
MUNICIPIO DE QUIXELO,06742480000142,,BR,,government
SECRETARIA MUNICIPAL DE MEIO AMBIENTE RECURSOS HIDRICOS E AGRICULTURA,06745783000119,,BR,,government
MUNICIPIO DE VARZEA ALEGRE - CAMARA MUNICIPAL,06748214000127,,BR,,government
MUNICIPIO DE MONTES ALTOS,06759104000160,,BR,,government
MUNICIPIO DE BARRA DO CORDA,06769798000117,,BR,,government
MUNICIPIO DE BARRA DO CORDA,06769798000206,,BR,,government
MUNICIPIO DE BARRA DO CORDA,06769798000389,,BR,,government
INSTITUTO PARA O DEZENVOLVIMENTO DE COLINAS,06769822000118,,BR,,government
MUNICIPIO DE SAO RAIMUNDO NONATO,06772859000103,,BR,,government
AGENCIA MUNICIPAL DO MEIO AMBIENTE AMA,06789054000164,,BR,,government
FUNDO MUNICIPAL DE SAUDE,06810909000191,,BR,,government
SUPERINTENDENCIA DE DESENVOLVIMENTO RURAL,06859722000182,,BR,,government
DEPARTAMENTO DE AGUA ESGOTOS E SANEAMENTO AMBIENTAL DE SOUSA,06862694000152,,BR,,government
SUPERINTENDENCIA DE URBANIZACAO E OBRAS PUBLICAS,06867188000156,,BR,,government
SUPERINTEDENCIA PARA O TURISMO,06879973000129,,BR,,government
