email,source,country
senar@senar.org.br,CNA_Agricultura,BR
institutocna@institutocna.org.br,CNA_Agricultura,BR
cna@cna.org.br,CNA_Agricultura,BR
secretaria@faculdadecna.edu.br,CNA_Agricultura,BR
exportacao@frigol.com.br,ABIEC_Carne,BR
export@masterboi.com.br,ABIEC_Carne,BR
carlos.oliveira@fribal.com.br,ABIEC_Carne,BR
guilherme@nossofrigorifico.com.br,ABIEC_Carne,BR
frigotil@frigotil.com.br,ABIEC_Carne,BR
jose.giordam@mspbrazil.com.br,ABIEC_Carne,BR
exportacao@ramax-group.com,ABIEC_Carne,BR
geraldo@fribev.com.br,ABIEC_Carne,BR
rodrigo@nossofrigorifico.com.br,ABIEC_Carne,BR
export@boibrasil.ind.br,ABIEC_Carne,BR
contato@frigorificosilva.com.br,ABIEC_Carne,BR
export@frigorificoriomaria.com.br,ABIEC_Carne,BR
joaofelix@nossofrigorifico.com.br,ABIEC_Carne,BR
vendas@frigon.com.br,ABIEC_Carne,BR
export@frialto.com.br,ABIEC_Carne,BR
export1@iguatemibeef.com.br,ABIEC_Carne,BR
recepcao@frigorificovalencio.com.br,ABIEC_Carne,BR
export@beauvallet.com.br,ABIEC_Carne,BR
export1@frigoastra.com.br,ABIEC_Carne,BR
export@goldenimex.com,ABIEC_Carne,BR
distriboi@distriboi.com,ABIEC_Carne,BR
exportacao@mercurioalimentos.com.br,ABIEC_Carne,BR
export@cooperfrigu.com.br,ABIEC_Carne,BR
frisario@frisa.com.br,ABIEC_Carne,BR
lucas.jiang@agraagroindustrial.com.br,ABIEC_Carne,BR
dalila.gaona@mspbrazil.com.br,ABIEC_Carne,BR
export@minervafoods.com,ABIEC_Carne,BR
donadel@riobeef.ind.br,ABIEC_Carne,BR
diego@frigosul.com.br,ABIEC_Carne,BR
paulo.bauab@frigoestrela.com.br,ABIEC_Carne,BR
world@plenaalimentos.com.br,ABIEC_Carne,BR
fabiano.furlan@primafoods.com.br,ABIEC_Carne,BR
contato@grupoargus.com.br,ABIEC_Carne,BR
marcos.depaula@frigosul.com.br,ABIEC_Carne,BR
lkj@lkjfrigorifico.com.br,ABIEC_Carne,BR
exportacao@frigoastra.com.br,ABIEC_Carne,BR
gustavo.oliveira@fribal.com.br,ABIEC_Carne,BR
carlos.schmidt@fribal.com.br,ABIEC_Carne,BR
abiec@abiec.com.br,ABIEC_Carne,BR
contato@frigorifico3r.com.br,ABIEC_Carne,BR
export.bauru@zanchetta.com.br,ABIEC_Carne,BR
leonardo@comesulbeef.com.br,ABIEC_Carne,BR
export@frigoestrela.com.br,ABIEC_Carne,BR
export@barramansafoods.com.br,ABIEC_Carne,BR
sac@frigorificosaofrancisco.com.br,ABIEC_Carne,BR
frigoestrela@frigoestrela.com.br,ABIEC_Carne,BR
emerson@frivasa.com.br,ABIEC_Carne,BR
atendimento@naturafrig.com.br,ABIEC_Carne,BR
mafrinorte@mafrinorte.com.br,ABIEC_Carne,BR
export@betterbeef.com.br,ABIEC_Carne,BR
wendell.lima@frigomarca.com.br,ABIEC_Carne,BR
comex@mspbrazil.com.br,ABIEC_Carne,BR
export@supremocarnes.com.br,ABIEC_Carne,BR
export@marfrig.com.br,ABIEC_Carne,BR
export@boibras.com.br,ABIEC_Carne,BR
innatura.me@jbs.com.br,ABIEC_Carne,BR
abpa@abpa-br.org,ABPA_Aves,BR
qualitymanaus@hotmail.com,ABIC_Cafe,BR
abic@abic.com.br,ABIC_Cafe,BR
cecafe-logo-simples@2x.png,CECAFE,BR
cecafe-logo-horizontal@2x.png,CECAFE,BR
contato@aprosoja.com.br,APROSOJA,BR
abrafrutas@abrafrutas.org,ABRAFRUTAS,BR
adm-sac@zoetis.com,PEIXEBR,BR
marcelo@vpg.arq.br,PEIXEBR,BR
contato@zaltanapescados.com.br,PEIXEBR,BR
%20gubio.almeida@merck.com,PEIXEBR,BR
victor@vpg.arq.br,PEIXEBR,BR
rodrigo.zanolo@merck.com,PEIXEBR,BR
joaquim@jobnutrire.com.br,PEIXEBR,BR
comunicacao@peixebr.com.br,PEIXEBR,BR
%20silvia@jobnutrire.com.br,PEIXEBR,BR
comercial@basevetbr.com,PEIXEBR,BR
contato@y3k.com.br,PEIXEBR,BR
crc@fiemg.com.br,FIEMG_MG,BR
