email,state,country,source,sector
fecoagrors@fecoagrors.com.br,RS,BR,State_RS,Agriculture
605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,RS,BR,State_RS,Agriculture
2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,RS,BR,State_RS,Agriculture
imprensa@ocergs.coop.br,RS,BR,State_RS,Agriculture
contato@faesc.com.br,SC,BR,State_SC,Agriculture
contato@senar.com.br,SC,BR,State_SC,Agriculture
inaes@inaes.org.br,MG,BR,State_MG,Agriculture
senar@senarminas.org.br,MG,BR,State_MG,Agriculture
faemg@faemg.org.br,MG,BR,State_MG,Agriculture
asind@faemg.org.br,MG,BR,State_MG,Agriculture
joabegondim@hotmail.com,RN,BR,State_RN,Agriculture
evandro@vivaagricola.com,RN,BR,State_RN,Agriculture
administrativo@brazilmelon.com,RN,BR,State_RN,Agriculture
jheliton@uol.com.br,RN,BR,State_RN,Agriculture
compras@brazilmelon.com,RN,BR,State_RN,Agriculture
fazenda@alegriaproduce.com,RN,BR,State_RN,Agriculture
pauloemater@rn.gov.br,RN,BR,State_RN,Agriculture
marileide@coopyfrutas.com,RN,BR,State_RN,Agriculture
crisfrutas@terra.com.br,RN,BR,State_RN,Agriculture
carlospraciano@hotmail.com,RN,BR,State_RN,Agriculture
jbagricolame@gmail.com,RN,BR,State_RN,Agriculture
jmmph28@gmail.com,RN,BR,State_RN,Agriculture
gorgiasoliveira@gmail.com,RN,BR,State_RN,Agriculture
herickson@ecofertil.com.br,RN,BR,State_RN,Agriculture
ttiagojonatasm@gmail.com,RN,BR,State_RN,Agriculture
jiem@grupoirikita.com,RN,BR,State_RN,Agriculture
financeiro@agricolacampoverde.com.br,RN,BR,State_RN,Agriculture
gustavo@coopyfrutas.com,RN,BR,State_RN,Agriculture
nardivan@vivaagricola.com,RN,BR,State_RN,Agriculture
fazendavilanovaadm1@gmail.com,RN,BR,State_RN,Agriculture
agricolabomjesus@gmail.com,RN,BR,State_RN,Agriculture
jmanoellopez@uol.com.br,RN,BR,State_RN,Agriculture
jean@frutasterrabrasilis.com.br,RN,BR,State_RN,Agriculture
alberto.otani@terra.com.br,RN,BR,State_RN,Agriculture
aldeirpereira@hotmail.com,RN,BR,State_RN,Agriculture
edson@frutasterrabrasilis.com.br,RN,BR,State_RN,Agriculture
fpvieira@uol.com.br,RN,BR,State_RN,Agriculture
irikita@terra.com.br,RN,BR,State_RN,Agriculture
ajaxdgfilho@uol.com.br,RN,BR,State_RN,Agriculture
ceramicasemar@uol.com.br,RN,BR,State_RN,Agriculture
administrativo@agricolapotiguar.com.br,RN,BR,State_RN,Agriculture
jose.barbera@bollonaturalfruit.com,RN,BR,State_RN,Agriculture
otani@terra.com.br,RN,BR,State_RN,Agriculture
adriano@coopyfrutas.com,RN,BR,State_RN,Agriculture
felipe@matafresca.com.br,RN,BR,State_RN,Agriculture
angel.agricola@gmail.com,RN,BR,State_RN,Agriculture
agro_msantos@assunet.com.br,RN,BR,State_RN,Agriculture
angelo@angelagricola.com.br,RN,BR,State_RN,Agriculture
agricolafavorita@gmail.com,RN,BR,State_RN,Agriculture
mario@frutasterrabrasilis.com.br,RN,BR,State_RN,Agriculture
comercial@planesagro.com.br,RN,BR,State_RN,Agriculture
neto@coopyfrutas.com,RN,BR,State_RN,Agriculture
alberto@otani.agr.br,RN,BR,State_RN,Agriculture
kainara_costa@hotmail.com,RN,BR,State_RN,Agriculture
chagasdaemparn@hotmail.com,RN,BR,State_RN,Agriculture
helderca@icloud.com,RN,BR,State_RN,Agriculture
