email,source,country,language
%20gubio.almeida@merck.com,PEIXEBR,BR,ES
%20institucional@copal.org.ar,COPAL,AR,ES
%20silvia@jobnutrire.com.br,PEIXEBR,BR,ES
2serie@diariodarepublica.pt,UY_RUPE,UY,ES
aalvarezv@expalsystems.com,UY_RUPE,UY,ES
aavenamz@impsat1.com.ar,AR_MinAgricultura,AR,ES
aavila@randstad.com.ar,Bodegas_AR,AR,ES
abarly@abarly.net,UY_UruguayXXI,UY,ES
abastecimientos@abastecimientos.com.uy,UY_UruguayXXI,UY,ES
abelfurian@familia-furlan.com,Bodegas_AR,AR,ES
abrafrutas@abrafrutas.org,ABRAFRUTAS,BR,ES
a.burguillos.d@gmail.com,CO_SECOP,CO,ES
accessoriesandcomponents@segers.aero,UY_RUPE,UY,ES
accueil@laurentsarl.fr,UY_RUPE,UY,ES
accueil@marisol.fr,CO_SECOP,CO,ES
aceite.rico@iol-sa.com,AR_MinAgricultura,AR,ES
ACTIVASRL@SICUREZZAPOSTALE.IT,AR_Comprar,AR,ES
ac-toulouse.nis@orange.com,UY_RUPE,UY,ES
adamw@mpi.ltd.uk,UY_RUPE,UY,ES
adiministracion@amaggi.com.ar,AR_MinAgricultura,AR,ES
adm@bressiabodega.com,Bodegas_AR,AR,ES
admi@lorenzoperlo.com.ar,AR_MinAgricultura,AR,ES
adminadv@sa-bvs.fr,UY_RUPE,UY,ES
administracion2@fdla.com.ar,Bodegas_AR,AR,ES
administracion@bodegabenegas.com,Bodegas_AR,AR,ES
administracion@bodegadelosclop.com,Bodegas_AR,AR,ES
administracion@bodegalarural.com.ar,Bodegas_AR,AR,ES
administracion@bodegareyter.com.ar,Bodegas_AR,AR,ES
administracion@cabrini.com.ar,Bodegas_AR,AR,ES
administracion@coop.com.ar,AR_MinAgricultura,AR,ES
administracion@diazforti.com,AR_MinAgricultura,AR,ES
administracion@dicostanzo.com.ar,AR_MinAgricultura,AR,ES
administracion@elcerno-wines.com.ar,Bodegas_AR,AR,ES
administracion@franalco.com.ar,AR_MinAgricultura,AR,ES
administracion@hasu.com.ar,Bodegas_AR,AR,ES
administracion@lacteosvidal.com.ar,AR_MinAgricultura,AR,ES
administracion@logimedsl.net,UY_RUPE,UY,ES
administracion@mendel.com.ar,Bodegas_AR,AR,ES
administracion@mpampa.com.ar,AR_MinAgricultura,AR,ES
administracion@nuevoviento.com,AR_MinAgricultura,AR,ES
administracion@rewenwines.com,AR_MinAgricultura,AR,ES
administracionvm@puntadelagua.com.ar,AR_MinAgricultura,AR,ES
administracionwindy@arnetbiz.com.ar,AR_MinAgricultura,AR,ES
administratif@requiem-desinfection.fr,UY_RUPE,UY,ES
admin@ixo-france.fr,CO_SECOP,CO,ES
adm-sac@zoetis.com,PEIXEBR,BR,ES
afasel@afasel.com.ar,AR_MinAgricultura,AR,ES
agramari@dondomenico.com.ar,AR_MinAgricultura,AR,ES
Ahandabura@bloomberg.net,UY_RUPE,UY,ES
airia@airia.es,AR_Comprar,AR,ES
alafalla@donapaula.com.ar,AR_MinAgricultura,AR,ES
alejandroroca@rocawines.com,AR_MinAgricultura,AR,ES
alexfang.fang@zttcable.com,UY_RUPE,UY,ES
alex@fedur.com,UY_RUPE,UY,ES
alex.petit@spglobal.com,UY_RUPE,UY,ES
alfonso.saco@sener.es,UY_RUPE,UY,ES
alfonssolariera@gmail.com,UY_RUPE,UY,ES
alimar@alimar.com.ar,AR_MinAgricultura,AR,ES
alina.radulescu@multitech.ro,UY_RUPE,UY,ES
allfoodsa@allfood.com.ar,AR_MinAgricultura,AR,ES
altavista@altavistawines.com,Bodegas_AR,AR,ES
altieri@altieri.com.ar,Bodegas_AR,AR,ES
altoverde1@arnet.com.ar,AR_MinAgricultura,AR,ES
altoverde@arnet.com.ar,AR_MinAgricultura,AR,ES
altoverde@speedy.com.ar,AR_MinAgricultura,AR,ES
am24-15@ayesa.com,UY_RUPE,UY,ES
amackern@gmail.com,AR_MinAgricultura,AR,ES
amanchon@cuvelierlosandes.com,Bodegas_AR,AR,ES
amazzoni@vacalin.com.ar,AR_MinAgricultura,AR,ES
ambiente@idom.com,UY_RUPE,UY,ES
amiante@valgo.com,UY_RUPE,UY,ES
ana.beato@springer.com,UY_RUPE,UY,ES
analdex@analdex.org,CO_ProColombia,CO,ES
andalhue@hotmail.com,AR_MinAgricultura,AR,ES
andrea@augustopulenta.com,AR_MinAgricultura,AR,ES
andrea@lacteoslablanca.com.ar,AR_MinAgricultura,AR,ES
andrijauskasdar@gmail.com,UY_RUPE,UY,ES
angelasrlseap@gmail.com,CO_SECOP,CO,ES
anibalmarin@lasperdices.com,AR_MinAgricultura,AR,ES
animaproterra@yahoo.com,UY_RUPE,UY,ES
antaresmodugno@libero.it,UY_RUPE,UY,ES
antaris@centroantaris.org,AR_Comprar,AR,ES
antel@antel.com.uy,UY_UruguayXXI,UY,ES
antoine.vaz@alloga.fr,UY_RUPE,UY,ES
aocda@cda-reseaux.com,AR_Comprar,AR,ES
ao@locate.fr,UY_RUPE,UY,ES
AOprovince@fr.scc.com,UY_RUPE,UY,ES
aquanet@aquanet.pl,UY_RUPE,UY,ES
ar@abcsystems.ch,AR_Comprar,AR,ES
arcolecce@pec.it,UY_RUPE,UY,ES
areacommerciale@pec.tecnomedicasrl.it,UY_RUPE,UY,ES
area.gonzalez@aak.com,UY_UruguayXXI,UY,ES
arfa14@yahoo.com,AR_MinAgricultura,AR,ES
artancobaires@hispanoarg.com.ar,AR_MinAgricultura,AR,ES
artepesca.adm@gmail.com,AR_MinAgricultura,AR,ES
arturo.pera@total.com,AR_MinAgricultura,AR,ES
a.schmitt@dlc-gmbh.eu,UY_RUPE,UY,ES
asistenteibce@ibce.org.bo,BO_IBCE,BO,ES
atencionalcliente@chirca.com,Bodegas_AR,AR,ES
atenciondigital@andreani.com,Bodegas_AR,AR,ES
atilioavena@speedy.com.ar,AR_MinAgricultura,AR,ES
ausschreibungende@ld-didactic.de,UY_RUPE,UY,ES
ausschreibungen@efecto.de,UY_RUPE,UY,ES
ausschreibungen@prosis.de,UY_RUPE,UY,ES
AustrianAF@aegfuels.com,UY_RUPE,UY,ES
baldinoadm@gmail.com,AR_MinAgricultura,AR,ES
baldinosa@speedy.com.ar,AR_MinAgricultura,AR,ES
bartosz.sulek@idemia.com,UY_RUPE,UY,ES
beans@olega.com.ar,AR_MinAgricultura,AR,ES
bemar.srl@arubapec.it,UY_RUPE,UY,ES
BeneluxPR@mathworks.com,UY_RUPE,UY,ES
Bewachung@email.de,UY_RUPE,UY,ES
bfattori@ug-ar.com,AR_MinAgricultura,AR,ES
bianchi@corlasa.com,AR_MinAgricultura,AR,ES
bidadmin@buddi.co.uk,UY_RUPE,UY,ES
bids@steergroup.com,CO_SECOP,CO,ES
bieterportal-alt@deutschebahn.com,UY_RUPE,UY,ES
biuro@aldesa.pl,UY_RUPE,UY,ES
bodega@altosdelarinconada.com.ar,AR_MinAgricultura,AR,ES
bodega@augustopulenta.com,AR_MinAgricultura,AR,ES
bodega@bodegaeclipse.com.ar,Bodegas_AR,AR,ES
bodegacassone@familiacassone.com.ar,Bodegas_AR,AR,ES
bodegacecchinexport@gmail.com,AR_MinAgricultura,AR,ES
bodegaduret@hotmail.com,Bodegas_AR,AR,ES
bodega@leoncioarizu.com.ar,Bodegas_AR,AR,ES
bodega@proemiowines.com,Bodegas_AR,AR,ES
bodegaruggeri@gmail.com,Bodegas_AR,AR,ES
bodegarumel@gmail.com,Bodegas_AR,AR,ES
bodegasaintremy@speedy.com.ar,AR_MinAgricultura,AR,ES
bodegaschirino@infovia.com.ar,AR_MinAgricultura,AR,ES
bodegas@neuquen.com,Bodegas_AR,AR,ES
bodegasyvinedos@josemastroeni.com,Bodegas_AR,AR,ES
bombal@arnet.com.ar,Bodegas_AR,AR,ES
boulos.rebeiz@lseg.com,AR_Comprar,AR,ES
bpevee@green-tech.be,UY_RUPE,UY,ES
bpsanjorge@speedy.com.ar,AR_MinAgricultura,AR,ES
brenda.achucarro@uip.org.py,PY_REDIEX,PY,ES
brijesh.mohan@mku.com,UY_RUPE,UY,ES
buettner@agt-mainz.de,UY_RUPE,UY,ES
bvega@bodegastoso.com.ar,Bodegas_AR,AR,ES
cabuin@congeladores.com.ar,AR_MinAgricultura,AR,ES
caicega@frigosursrl.com.ar,AR_MinAgricultura,AR,ES
caiyin2@hotmail.com,AR_MinAgricultura,AR,ES
callcenter@monsanto.com,AR_MinAgricultura,AR,ES
canaldebeaglemdp@gmail.com,AR_MinAgricultura,AR,ES
candidatures@cotec-ing.com,UY_RUPE,UY,ES
capycdulces@hotmail.com,AR_MinAgricultura,AR,ES
cardama@cardamashipyard.com,UY_RUPE,UY,ES
carga@cantabria.com,AR_MinAgricultura,AR,ES
carinae@carinaevinos.com,Bodegas_AR,AR,ES
carina.ofner@avl.com,UY_RUPE,UY,ES
carina.valicati@durigutti.com,Bodegas_AR,AR,ES
carla.martinez.labal@gmail.com,Bodegas_AR,AR,ES
carlos.molina@food-partners-patagonia.com,AR_MinAgricultura,AR,ES
carlospiattelli@masitupungato.com,Bodegas_AR,AR,ES
carlospm@speedy.com.ar,AR_MinAgricultura,AR,ES
catesursa@yahoo.com.ar,AR_MinAgricultura,AR,ES
c.biercher@multiservicegroup.de,UY_RUPE,UY,ES
cbj@ssidiagnostica.com,UY_RUPE,UY,ES
ccantu@infovia.com.ar,Bodegas_AR,AR,ES
cc@clement.com.ar,Bodegas_AR,AR,ES
c_c@fibertel.com.ar,AR_MinAgricultura,AR,ES
ccnadra@yahoo.com.ar,AR_MinAgricultura,AR,ES
cecafe-logo-horizontal@2x.png,CECAFE,BR,ES
cecafe-logo-simples@2x.png,CECAFE,BR,ES
cerealesmaggiolo@maggiolo.ar,AR_MinAgricultura,AR,ES
cervezarako@gmail.com,AR_MinAgricultura,AR,ES
cesarcicciotti@speedy.com.ar,AR_MinAgricultura,AR,ES
cgaume@simonin.com,UY_RUPE,UY,ES
cgonzales@murville.com,AR_MinAgricultura,AR,ES
cgonzalez@murville.com,AR_MinAgricultura,AR,ES
charlotte.baudouin@valentintp.com,UY_RUPE,UY,ES
chiarpesca@speedy.com.ar,AR_MinAgricultura,AR,ES
CHYDE@BULLSEYE.IE,UY_RUPE,UY,ES
citrusvil@arnet.com.ar,AR_MinAgricultura,AR,ES
clients@blackbull-group.com,UY_RUPE,UY,ES
clientsupport@cullen-international.com,AR_Comprar,AR,ES
cnale2003@hotmail.com,AR_MinAgricultura,AR,ES
coastfish@hotmail.com,AR_MinAgricultura,AR,ES
comafiempresas@comafi.com.ar,Bodegas_AR,AR,ES
comercial@agrotoro.com.py,AR_MinAgricultura,AR,ES
comercial@basevetbr.com,PEIXEBR,BR,ES
comercial@casamontes.com.ar,Bodegas_AR,AR,ES
comercial@c-grain.com.ar,AR_MinAgricultura,AR,ES
comercial@instalaza.es,UY_RUPE,UY,ES
comercial@meteorage.com,UY_RUPE,UY,ES
comercialspecialseguridad@gmail.com,Bodegas_AR,AR,ES
comercio@chiarco.com.ar,AR_MinAgricultura,AR,ES
comercioexterior@ardapez.com.ar,AR_MinAgricultura,AR,ES
comext@abarly.net,UY_UruguayXXI,UY,ES
commerciale@maddalena.legalmail.it,UY_RUPE,UY,ES
compras@natusur-sa.com.ar,AR_MinAgricultura,AR,ES
comsa_croatia@comsa.com,UY_RUPE,UY,ES
comunicacao@peixebr.com.br,PEIXEBR,BR,ES
comunicacion@bodegasdeargentina.org,Bodegas_AR,AR,ES
concursos.spain@fresenius-kabi.com,AR_Comprar,AR,ES
congeladores@congeladores.com.ar,AR_MinAgricultura,AR,ES
consultas@atamisque.com,Bodegas_AR,AR,ES
consultas@mic.gov.py,PY_REDIEX,PY,ES
consultas@sofenia.com.ar,Bodegas_AR,AR,ES
consulta@vicentin.com.ar,AR_MinAgricultura,AR,ES
contaco@cgc.com.ar,AR_MinAgricultura,AR,ES
contact@adrenaline-ee.com,UY_RUPE,UY,ES
contact@agc-constructionbois.fr,CO_SECOP,CO,ES
contact@arcadia-be.fr,UY_RUPE,UY,ES
contactcenter_germany@keysight.com,UY_RUPE,UY,ES
contact@cmpbatiment.fr,UY_RUPE,UY,ES
contact@drift-sense.com,Bodegas_AR,AR,ES
contact@dupre.fr,UY_RUPE,UY,ES
contact@ecovia.fr,UY_RUPE,UY,ES
contact@etb57.fr,CO_SECOP,CO,ES
contact@ingroupe.com,UY_RUPE,UY,ES
contact@lucia-energie.fr,CO_SECOP,CO,ES
contact@merelec.fr,UY_RUPE,UY,ES
contacto@cera.org.ar,MERCOSUR_SmallProducers,AR,ES
contacto@chanarmuyo.com,Bodegas_AR,AR,ES
contacto@divendres.com.ar,Bodegas_AR,AR,ES
contacto@frigpuertogaboto.com.ar,AR_MinAgricultura,AR,ES
contacto@puertoarroyoseco.com.ar,AR_MinAgricultura,AR,ES
contacto@putruele.com.ar,Bodegas_AR,AR,ES
contacto@uc3m.es,UY_RUPE,UY,ES
contacto@vinosyspirits.com,Bodegas_AR,AR,ES
contact@produco.fr,UY_RUPE,UY,ES
contact.pro@monnaiedeparis.fr,UY_RUPE,UY,ES
contact-services@aiden-solidaire.com,AR_Comprar,AR,ES
contact@soltech-reunion.fr,UY_RUPE,UY,ES
contact@sosremorquage.fr,UY_RUPE,UY,ES
contact@soubise-event.fr,UY_RUPE,UY,ES
contact@techlinesa.com,UY_RUPE,UY,ES
contaduria@conservaspuglisi.com.ar,AR_MinAgricultura,AR,ES
contaduria@coomarpes.com,AR_MinAgricultura,AR,ES
contaduria@motomel.com.at,AR_MinAgricultura,AR,ES
contato@aprosoja.com.br,APROSOJA,BR,ES
contato@y3k.com.br,PEIXEBR,BR,ES
contato@zaltanapescados.com.br,PEIXEBR,BR,ES
controlo.credito@merckgroup.com,CO_SECOP,CO,ES
coop@agede.com.ar,AR_MinAgricultura,AR,ES
coop-tucangua@prico.com.ar,AR_MinAgricultura,AR,ES
cosan@pec.edilab.it,UY_RUPE,UY,ES
cotagro@cotagro.com.ar,AR_MinAgricultura,AR,ES
cpc@etscpc.fr,CO_SECOP,CO,ES
cq.ofertas_BAC@socotec.com,UY_RUPE,UY,ES
crc@fiemg.com.br,FIEMG_MG,BR,ES
cristina.gania@printman.ro,UY_RUPE,UY,ES
crsaintremy@speedy.com.ar,AR_MinAgricultura,AR,ES
cspadone@bodegassanhuberto.com,Bodegas_AR,AR,ES
csuaya@pcartsargentina.com,AR_MinAgricultura,AR,ES
curcija@curcija.com.ar,AR_MinAgricultura,AR,ES
curtiembrepasodelrey@ciudad.com.ar,AR_MinAgricultura,AR,ES
customer@wiley.com,UY_RUPE,UY,ES
czorders@thermofisher.com,AR_Comprar,AR,ES
D.A.Abbink@tudelft.nl,UY_RUPE,UY,ES
danielbusquets@la-ramada.com.ar,AR_MinAgricultura,AR,ES
Dan.rist@elbitsystems.com,UY_RUPE,UY,ES
dario@cavasdesantos.com.ar,AR_MinAgricultura,AR,ES
dbenzi@manfrey.com.ar,AR_MinAgricultura,AR,ES
dbruschini@manisel.com.ar,AR_MinAgricultura,AR,ES
dc.brli@brl.fr,UY_RUPE,UY,ES
dcox@esbco.com,UY_RUPE,UY,ES
ddattoma@aet.group,AR_Comprar,AR,ES
D.Edelsbacher@hr-group.co.at,UY_RUPE,UY,ES
dehesselle@medical-plus.de,UY_RUPE,UY,ES
delisa@legalmail.it,UY_RUPE,UY,ES
denmark.order@thermofisher.com,UY_RUPE,UY,ES
desafio@speedy.com.ar,AR_MinAgricultura,AR,ES
design@mb-capital-services.de,UY_RUPE,UY,ES
dfabi@altosdelarinconada.com.ar,AR_MinAgricultura,AR,ES
dgeneral@ifema.es,UY_RUPE,UY,ES
diagonal@diagonal-architecture.fr,UY_RUPE,UY,ES
diego.cagliolo@altamare.com.ar,AR_MinAgricultura,AR,ES
diego@lobapesquera.com,AR_MinAgricultura,AR,ES
diegot@montequieto.com,Bodegas_AR,AR,ES
Dietmar.Wald@ecoclean-group.net,AR_Comprar,AR,ES
dimartino_ricardo@yahoo.com.ar,AR_MinAgricultura,AR,ES
director@dulcedeleche.net,AR_MinAgricultura,AR,ES
directorio@magromer.com.ar,AR_MinAgricultura,AR,ES
dirk.facius@licor.com,UY_RUPE,UY,ES
discala@deciliasmarinas.com,AR_MinAgricultura,AR,ES
dlocatelli@veronica.com.ar,AR_MinAgricultura,AR,ES
dmeira@dondomenico.com.ar,AR_MinAgricultura,AR,ES
dolium@dolium.com,Bodegas_AR,AR,ES
doniano@outlook.com,AR_MinAgricultura,AR,ES
dr@abc-office.ch,AR_Comprar,AR,ES
