name,country,city,sector,website,email,email_generated,source
Livent Corporation (Argentina),AR,Catamarca,Lithium Carbonate,livent.com,contacto@livent.com,yes,Litio
Allkem Limited (Olaroz),AR,Jujuy,Lithium Carbonate,allkem.co,contacto@allkem.co,yes,Litio
Arcadium Lithium (Fenix),AR,Catamarca,Lithium,arcadiumlithium.com,contacto@arcadiumlithium.com,yes,Litio
Posco Pilbara (Sal de Vida),AR,Catamarca,Lithium,poscopilbara.com,contacto@poscopilbara.com,yes,Litio
Eramet (Centenario-Ratones),AR,Salta,Lithium Carbonate,eramet.com,contacto@eramet.com,yes,Litio
Rio Tinto (Rincon),AR,Salta,Lithium,riotinto.com,contacto@riotinto.com,yes,Litio
Ganfeng Lithium (Mariana),AR,Salta,Lithium,ganfenglithium.com,contacto@ganfenglithium.com,yes,Litio
Lithium Americas (Cauchari-Olaroz),AR,Jujuy,Lithium,lithiumamericas.com,contacto@lithiumamericas.com,yes,Litio
JEMSE S.A.,AR,Jujuy,State Mining Company,jemse.gob.ar,contacto@jemse.gob.ar,yes,Litio
Lake Resources (Kachi),AR,Catamarca,Lithium Exploration,lakeresources.com.au,contacto@lakeresources.com.au,yes,Litio
Argosy Minerals (Rincon),AR,Salta,Lithium Exploration,argosyminerals.com.au,contacto@argosyminerals.com.au,yes,Litio
ioneer Ltd (Cinti),AR,Salta,Lithium Exploration,ioneer.com,contacto@ioneer.com,yes,Litio
Orocobre (merged Allkem),AR,Jujuy,Lithium Exploration,allkem.co,contacto@allkem.co,yes,Litio
Neo Lithium (Tres Quebradas),AR,Catamarca,Lithium Exploration,neolithium.ca,contacto@neolithium.ca,yes,Litio
SQM (Sociedad Quimica y Minera),CL,Santiago,"Lithium, Potassium, Iodine",sqm.com,contacto@sqm.com,yes,Litio
Albemarle Chile,CL,Santiago,Lithium,albemarle.com,contacto@albemarle.com,yes,Litio
CODELCO (Maricunga),CL,Copiapo,"Copper, Lithium",codelco.com,contacto@codelco.com,yes,Litio
BYD Chile,CL,Antofagasta,"Battery, Lithium Processing",byd.com,contacto@byd.com,yes,Litio
Lithium Chile Inc,CL,Copiapo,Lithium Exploration,lithiumchile.ca,contacto@lithiumchile.ca,yes,Litio
Wealth Minerals (Atacama),CL,Antofagasta,Lithium Exploration,wealthminerals.com,contacto@wealthminerals.com,yes,Litio
Yacimientos de Litio Bolivianos (YLB),BO,La Paz,State Lithium Company,ylb.gob.bo,contacto@ylb.gob.bo,yes,Litio
COMIBOL (Lithium Division),BO,La Paz,State Mining,comibol.gob.bo,contacto@comibol.gob.bo,yes,Litio
CBC-YLB (CATL JV),BO,Potosi,Lithium,,,no,Litio
Uranium One-YLB,BO,Potosi,Lithium,,,no,Litio
CBMM - Companhia Brasileira de Metalurgia e Mineracao,BR,Araxa,Niobium Mining & Processing,cbmm.com,contacto@cbmm.com,yes,Niobio
CMOC Brasil (Niobras),BR,Catalao,Niobium Mining,cmocgroup.com,contacto@cmocgroup.com,yes,Niobio
Mineracao Taboca (Pitinga),BR,Presidente Figueiredo,"Niobium, Tantalum, Tin Mining",mineracaotaboca.com.br,contacto@mineracaotaboca.com.br,yes,Niobio
VALE S.A. (Niobium Division),BR,Rio de Janeiro,Mining Holding,vale.com,contacto@vale.com,yes,Niobio
Companhia de Desenvolvimento de Araxa (CODEMGE),BR,Araxa,State Mining Company,codemge.com.br,contacto@codemge.com.br,yes,Niobio
NioBay Metals,BR,Sao Paulo,Niobium Development,niobaymetals.com,contacto@niobaymetals.com,yes,Niobio
Magris Resources (Craviola),BR,Minas Gerais,Niobium Exploration,magrisresources.com,contacto@magrisresources.com,yes,Niobio
IBRAM - Instituto Brasileiro de Mineracao,BR,Brasilia,Industry Association,ibram.org.br,contacto@ibram.org.br,yes,Niobio
Nexco S.A.,AR,Buenos Aires,Honey Export,nexco.com.ar,contacto@nexco.com.ar,yes,Miel
Mieles del Sur S.A.,AR,Buenos Aires,Honey Processing & Export,mielesdelsur.com.ar,contacto@mielesdelsur.com.ar,yes,Miel
ConAgra Honey,AR,Buenos Aires,Honey Export,,,no,Miel
Apicooperativa Apinor,AR,Chaco,Beekeeping Cooperative,,,no,Miel
Miel Argentina S.A.,AR,Santa Fe,Honey Export,mielargentina.com,contacto@mielargentina.com,yes,Miel
Mieles Argentinas CIAC,AR,Buenos Aires,Honey Export,,,no,Miel
API Gourmet,AR,Cordoba,Premium Honey,apigourmet.com.ar,contacto@apigourmet.com.ar,yes,Miel
Cooperativa Apicola del Norte,AR,Entre Rios,Beekeeping Cooperative,,,no,Miel
El Refugio Apicola,AR,La Pampa,Beekeeping,,,no,Miel
Mieles del Uruguay S.A.,UY,Montevideo,Honey Export,mielesdeluruguay.com,contacto@mielesdeluruguay.com,yes,Miel
Apicola del Uruguay,UY,Montevideo,Honey Processing,,,no,Miel
CALNU (Cooperativa Agropecuaria Ltda del Norte Uruguayo),UY,Salto,Agricultural Cooperative,calnu.com.uy,contacto@calnu.com.uy,yes,Miel
Miel del Bosque,UY,Montevideo,Organic Honey,,,no,Miel
APIDU (Asociacion de Productores Integrados del Uruguay),UY,Various,Producer Association,,,no,Miel
Wax Green Natural Products,BR,Sao Paulo,Bee Products,waxgreen.com.br,contacto@waxgreen.com.br,yes,Miel
Breyer & Cia,BR,Rio Grande do Sul,Honey Export,breyer.com.br,contacto@breyer.com.br,yes,Miel
COAPI (Cooperativa de Apicultores),BR,Piaui,Beekeeping Cooperative,,,no,Miel
Apis Flora,BR,Ribeirao Preto,Bee Products,apisflora.com.br,contacto@apisflora.com.br,yes,Miel
Red Apicola Nacional de Chile,CL,Santiago,National Beekeeping Network,redapicola.cl,contacto@redapicola.cl,yes,Miel
Apicola del Maule,CL,Talca,Beekeeping,,,no,Miel
JBS S.A.,BR,Sao Paulo,Beef/Poultry,jbs.com.br,contacto@jbs.com.br,yes,Carne
Marfrig Global Foods,BR,Sao Paulo,Beef,marfrig.com.br,contacto@marfrig.com.br,yes,Carne
Minerva Foods,BR,Barretos,Beef,minervafoods.com,contacto@minervafoods.com,yes,Carne
BRF S.A.,BR,Sao Paulo,Poultry/Pork,bfrsa.com,contacto@bfrsa.com,yes,Carne
Frigol,BR,Lencois Paulista,Beef,frigol.com.br,contacto@frigol.com.br,yes,Carne
Masterboi,BR,Goiania,Beef,masterboi.com.br,contacto@masterboi.com.br,yes,Carne
Frigorifico Gorina,AR,La Plata,Beef,gorina.com.ar,contacto@gorina.com.ar,yes,Carne
Quickfood (Marfrig),AR,Buenos Aires,Beef,quickfood.com.ar,contacto@quickfood.com.ar,yes,Carne
Frigorifico Rioplatense,AR,Buenos Aires,Beef,rfrioplatense.com.ar,contacto@rfrioplatense.com.ar,yes,Carne
FRIAR S.A.,AR,Santa Fe,Beef,friar.com.ar,contacto@friar.com.ar,yes,Carne
Arre Beef,AR,Buenos Aires,Beef,arrebeef.com,contacto@arrebeef.com,yes,Carne
Frigorifico Paladini,AR,Santa Fe,Beef/Pork,paladini.com.ar,contacto@paladini.com.ar,yes,Carne
Frigorifico Tacuarembo,UY,Tacuarembo,Beef,tacuarembo.com.uy,contacto@tacuarembo.com.uy,yes,Carne
Frigorifico Las Piedras (Marfrig),UY,Las Piedras,Beef,,,no,Carne
Breeders & Packers Uruguay (BPU),UY,Durazno,Beef,bfrsa.com,contacto@bfrsa.com,yes,Carne
Frigorifico San Jacinto (NIREA),UY,San Jacinto,Beef,nirea.com.uy,contacto@nirea.com.uy,yes,Carne
Frigorifico Canelones,UY,Canelones,Beef,,,no,Carne
Cledinor S.A.,UY,Salto,Beef,,,no,Carne
Frigorifico Concepcion,PY,Concepcion,Beef,frigorificoconcepcion.com,contacto@frigorificoconcepcion.com,yes,Carne
JBS Paraguay,PY,Asuncion,Beef,,,no,Carne
Frigomerc,PY,Asuncion,Beef,frigomerc.com.py,contacto@frigomerc.com.py,yes,Carne
Frigorifico San Pedro,PY,San Pedro,Beef,,,no,Carne
Frigorifico Neuland,PY,Filadelfia,Beef,neuland.com.py,contacto@neuland.com.py,yes,Carne
Alcoa Brasil,BR,"Sao Luis, Maranhao",Aluminio,,,no,Aluminio
Companhia Brasileira de Aluminio (CBA),BR,"Aluminio, Sao Paulo",Aluminio,,,no,Aluminio
Albras - Aluminio Brasileiro S.A.,BR,"Barcarena, Para",Aluminio,,,no,Aluminio
Novelis Brasil,BR,"Pindamonhangaba, SP",Aluminio,,,no,Aluminio
Mineracao Rio do Norte (MRN),BR,"Porto Trombetas, Para",Aluminio,,,no,Aluminio
Hydro Alunorte,BR,"Barcarena, Para",Aluminio,,,no,Aluminio
Votorantim Metais,BR,Multiple sites,Aluminio,,,no,Aluminio
Aluar Aluminio Argentino S.A.I.C.,AR,"Puerto Madryn, Chubut",Aluminio,www.aluar.com.ar,contacto@aluar.com.ar,yes,Aluminio
CVG Venalum,VE,Ciudad Guayana,Aluminio,,,no,Aluminio
CVG Alcasa,VE,Ciudad Guayana,Aluminio,,,no,Aluminio
