name,country,city,sector,website,email,source
Livent Corporation (Argentina),AR,Catamarca,Lithium Carbonate,livent.com,,Litio
Allkem Limited (Olaroz),AR,Jujuy,Lithium Carbonate,allkem.co,,Litio
Arcadium Lithium (Fenix),AR,Catamarca,Lithium,arcadiumlithium.com,,Litio
Posco Pilbara (Sal de Vida),AR,Catamarca,Lithium,poscopilbara.com,,Litio
Eramet (Centenario-Ratones),AR,Salta,Lithium Carbonate,eramet.com,,Litio
Rio Tinto (Rincon),AR,Salta,Lithium,riotinto.com,,Litio
Ganfeng Lithium (Mariana),AR,Salta,Lithium,ganfenglithium.com,,Litio
Lithium Americas (Cauchari-Olaroz),AR,Jujuy,Lithium,lithiumamericas.com,,Litio
JEMSE S.A.,AR,Jujuy,State Mining Company,jemse.gob.ar,,Litio
Lake Resources (Kachi),AR,Catamarca,Lithium Exploration,lakeresources.com.au,,Litio
Argosy Minerals (Rincon),AR,Salta,Lithium Exploration,argosyminerals.com.au,,Litio
ioneer Ltd (Cinti),AR,Salta,Lithium Exploration,ioneer.com,,Litio
Orocobre (merged Allkem),AR,Jujuy,Lithium Exploration,allkem.co,,Litio
Neo Lithium (Tres Quebradas),AR,Catamarca,Lithium Exploration,neolithium.ca,,Litio
SQM (Sociedad Quimica y Minera),CL,Santiago,"Lithium, Potassium, Iodine",sqm.com,,Litio
Albemarle Chile,CL,Santiago,Lithium,albemarle.com,,Litio
CODELCO (Maricunga),CL,Copiapo,"Copper, Lithium",codelco.com,,Litio
BYD Chile,CL,Antofagasta,"Battery, Lithium Processing",byd.com,,Litio
Lithium Chile Inc,CL,Copiapo,Lithium Exploration,lithiumchile.ca,,Litio
Wealth Minerals (Atacama),CL,Antofagasta,Lithium Exploration,wealthminerals.com,,Litio
Yacimientos de Litio Bolivianos (YLB),BO,La Paz,State Lithium Company,ylb.gob.bo,,Litio
COMIBOL (Lithium Division),BO,La Paz,State Mining,comibol.gob.bo,,Litio
CBC-YLB (CATL JV),BO,Potosi,Lithium,,,Litio
Uranium One-YLB,BO,Potosi,Lithium,,,Litio
CBMM - Companhia Brasileira de Metalurgia e Mineracao,BR,Araxa,Niobium Mining & Processing,cbmm.com,,Niobio
CMOC Brasil (Niobras),BR,Catalao,Niobium Mining,cmocgroup.com,,Niobio
Mineracao Taboca (Pitinga),BR,Presidente Figueiredo,"Niobium, Tantalum, Tin Mining",mineracaotaboca.com.br,,Niobio
VALE S.A. (Niobium Division),BR,Rio de Janeiro,Mining Holding,vale.com,,Niobio
Companhia de Desenvolvimento de Araxa (CODEMGE),BR,Araxa,State Mining Company,codemge.com.br,,Niobio
NioBay Metals,BR,Sao Paulo,Niobium Development,niobaymetals.com,,Niobio
Magris Resources (Craviola),BR,Minas Gerais,Niobium Exploration,magrisresources.com,,Niobio
IBRAM - Instituto Brasileiro de Mineracao,BR,Brasilia,Industry Association,ibram.org.br,,Niobio
Nexco S.A.,AR,Buenos Aires,Honey Export,nexco.com.ar,,Miel
Mieles del Sur S.A.,AR,Buenos Aires,Honey Processing & Export,mielesdelsur.com.ar,,Miel
ConAgra Honey,AR,Buenos Aires,Honey Export,,,Miel
Apicooperativa Apinor,AR,Chaco,Beekeeping Cooperative,,,Miel
Miel Argentina S.A.,AR,Santa Fe,Honey Export,mielargentina.com,,Miel
Mieles Argentinas CIAC,AR,Buenos Aires,Honey Export,,,Miel
API Gourmet,AR,Cordoba,Premium Honey,apigourmet.com.ar,,Miel
Cooperativa Apicola del Norte,AR,Entre Rios,Beekeeping Cooperative,,,Miel
El Refugio Apicola,AR,La Pampa,Beekeeping,,,Miel
Mieles del Uruguay S.A.,UY,Montevideo,Honey Export,mielesdeluruguay.com,,Miel
Apicola del Uruguay,UY,Montevideo,Honey Processing,,,Miel
CALNU (Cooperativa Agropecuaria Ltda del Norte Uruguayo),UY,Salto,Agricultural Cooperative,calnu.com.uy,,Miel
Miel del Bosque,UY,Montevideo,Organic Honey,,,Miel
APIDU (Asociacion de Productores Integrados del Uruguay),UY,Various,Producer Association,,,Miel
Wax Green Natural Products,BR,Sao Paulo,Bee Products,waxgreen.com.br,,Miel
Breyer & Cia,BR,Rio Grande do Sul,Honey Export,breyer.com.br,,Miel
COAPI (Cooperativa de Apicultores),BR,Piaui,Beekeeping Cooperative,,,Miel
Apis Flora,BR,Ribeirao Preto,Bee Products,apisflora.com.br,,Miel
Red Apicola Nacional de Chile,CL,Santiago,National Beekeeping Network,redapicola.cl,,Miel
Apicola del Maule,CL,Talca,Beekeeping,,,Miel
JBS S.A.,BR,Sao Paulo,Beef/Poultry,jbs.com.br,,Carne
Marfrig Global Foods,BR,Sao Paulo,Beef,marfrig.com.br,,Carne
Minerva Foods,BR,Barretos,Beef,minervafoods.com,,Carne
BRF S.A.,BR,Sao Paulo,Poultry/Pork,bfrsa.com,,Carne
Frigol,BR,Lencois Paulista,Beef,frigol.com.br,,Carne
Masterboi,BR,Goiania,Beef,masterboi.com.br,,Carne
Frigorifico Gorina,AR,La Plata,Beef,gorina.com.ar,,Carne
Quickfood (Marfrig),AR,Buenos Aires,Beef,quickfood.com.ar,,Carne
Frigorifico Rioplatense,AR,Buenos Aires,Beef,rfrioplatense.com.ar,,Carne
FRIAR S.A.,AR,Santa Fe,Beef,friar.com.ar,,Carne
Arre Beef,AR,Buenos Aires,Beef,arrebeef.com,,Carne
Frigorifico Paladini,AR,Santa Fe,Beef/Pork,paladini.com.ar,,Carne
Frigorifico Tacuarembo,UY,Tacuarembo,Beef,tacuarembo.com.uy,,Carne
Frigorifico Las Piedras (Marfrig),UY,Las Piedras,Beef,,,Carne
Breeders & Packers Uruguay (BPU),UY,Durazno,Beef,bfrsa.com,,Carne
Frigorifico San Jacinto (NIREA),UY,San Jacinto,Beef,nirea.com.uy,,Carne
Frigorifico Canelones,UY,Canelones,Beef,,,Carne
Cledinor S.A.,UY,Salto,Beef,,,Carne
Frigorifico Concepcion,PY,Concepcion,Beef,frigorificoconcepcion.com,,Carne
JBS Paraguay,PY,Asuncion,Beef,,,Carne
Frigomerc,PY,Asuncion,Beef,frigomerc.com.py,,Carne
Frigorifico San Pedro,PY,San Pedro,Beef,,,Carne
Frigorifico Neuland,PY,Filadelfia,Beef,neuland.com.py,,Carne
Alcoa Brasil,BR,"Sao Luis, Maranhao",Aluminio,,,Aluminio
Companhia Brasileira de Aluminio (CBA),BR,"Aluminio, Sao Paulo",Aluminio,,,Aluminio
Albras - Aluminio Brasileiro S.A.,BR,"Barcarena, Para",Aluminio,,,Aluminio
Novelis Brasil,BR,"Pindamonhangaba, SP",Aluminio,,,Aluminio
Mineracao Rio do Norte (MRN),BR,"Porto Trombetas, Para",Aluminio,,,Aluminio
Hydro Alunorte,BR,"Barcarena, Para",Aluminio,,,Aluminio
Votorantim Metais,BR,Multiple sites,Aluminio,,,Aluminio
Aluar Aluminio Argentino S.A.I.C.,AR,"Puerto Madryn, Chubut",Aluminio,www.aluar.com.ar,,Aluminio
CVG Venalum,VE,Ciudad Guayana,Aluminio,,,Aluminio
CVG Alcasa,VE,Ciudad Guayana,Aluminio,,,Aluminio
CVG Bauxilum,VE,Ciudad Guayana,Aluminio,,,Aluminio
Cargill Brasil,BR,Sao Paulo,Grains/Food,cargill.com.br,,Brasil
