email,source,country,sector,company,city
agro_msantos@assunet.com.br,COEX_RN,BR,Fruits,,
ttiagojonatasm@gmail.com,COEX_RN,BR,Fruits,,
aldeirpereira@hotmail.com,COEX_RN,BR,Fruits,,
jmmph28@gmail.com,COEX_RN,BR,Fruits,,
joabegondim@hotmail.com,COEX_RN,BR,Fruits,,
kainara_costa@hotmail.com,COEX_RN,BR,Fruits,,
chagasdaemparn@hotmail.com,COEX_RN,BR,Fruits,,
ceramicasemar@uol.com.br,COEX_RN,BR,Fruits,,
helderca@icloud.com,COEX_RN,BR,Fruits,,
pauloemater@rn.gov.br,COEX_RN,BR,Fruits,,
campoverde@agricolacampoverde.com.br,COEX_RN,BR,Fruits,,
financeiro@agricolacampoverde.com.br,COEX_RN,BR,Fruits,,
neilson@agrfamosa.com.br,COEX_RN,BR,Fruits,,
recepcao@agrfamosa.com.br,COEX_RN,BR,Fruits,,
agricolafavorita@gmail.com,COEX_RN,BR,Fruits,,
administrativo@agricolapotiguar.com.br,COEX_RN,BR,Fruits,,
agricolapotiguar@hotmail.com,COEX_RN,BR,Fruits,,
edson@frutasterrabrasilis.com.br,COEX_RN,BR,Fruits,,
jean@frutasterrabrasilis.com.br,COEX_RN,BR,Fruits,,
mario@frutasterrabrasilis.com.br,COEX_RN,BR,Fruits,,
cymatsumoto@agromodelo.com.br,COEX_RN,BR,Fruits,,
ctmagricola@agromodelo.com.br,COEX_RN,BR,Fruits,,
admin@agromodelo.com.br,COEX_RN,BR,Fruits,,
herickson@ecofertil.com.br,COEX_RN,BR,Fruits,,
nfe@ecofertil.com.br,COEX_RN,BR,Fruits,,
agrosol@grupoirikita.com,COEX_RN,BR,Fruits,,
jiem@grupoirikita.com,COEX_RN,BR,Fruits,,
irikita@terra.com.br,COEX_RN,BR,Fruits,,
gorgiasoliveira@gmail.com,COEX_RN,BR,Fruits,,
gerencia_administrativo@agrosua.com.br,COEX_RN,BR,Fruits,,
juan.puchades@bollonaturalfruit.com,COEX_RN,BR,Fruits,,
jose.barbera@bollonaturalfruit.com,COEX_RN,BR,Fruits,,
fpvieira@uol.com.br,COEX_RN,BR,Fruits,,
administrativo@brazilmelon.com,COEX_RN,BR,Fruits,,
compras@brazilmelon.com,COEX_RN,BR,Fruits,,
fabiana.florencio@cmrbras.com.br,COEX_RN,BR,Fruits,,
ivo.costa@cmrbras.com.br,COEX_RN,BR,Fruits,,
fcpalhares@gmail.com,COEX_RN,BR,Fruits,,
adriano@coopyfrutas.com,COEX_RN,BR,Fruits,,
gustavo@coopyfrutas.com,COEX_RN,BR,Fruits,,
otani@terra.com.br,COEX_RN,BR,Fruits,,
crisfrutas@terra.com.br,COEX_RN,BR,Fruits,,
ajaxdgfilho@uol.com.br,COEX_RN,BR,Fruits,,
neto@coopyfrutas.com,COEX_RN,BR,Fruits,,
alberto.otani@terra.com.br,COEX_RN,BR,Fruits,,
alberto@otani.agr.br,COEX_RN,BR,Fruits,,
agricolabomjesus@gmail.com,COEX_RN,BR,Fruits,,
ivanoscacunha@hotmail.com,COEX_RN,BR,Fruits,,
jmanoellopez@uol.com.br,COEX_RN,BR,Fruits,,
fazenda@alegriaproduce.com,COEX_RN,BR,Fruits,,
rocha@alegriaproduce.com,COEX_RN,BR,Fruits,,
angel.agricola@gmail.com,COEX_RN,BR,Fruits,,
angelo@angelagricola.com.br,COEX_RN,BR,Fruits,,
marileide@coopyfrutas.com,COEX_RN,BR,Fruits,,
felipe@matafresca.com.br,COEX_RN,BR,Fruits,,
ruan@matafresca.com.br,COEX_RN,BR,Fruits,,
jheliton@uol.com.br,COEX_RN,BR,Fruits,,
cleidinaldo@coopyfrutas.com,COEX_RN,BR,Fruits,,
oestefruit@coopyfrutas.com,COEX_RN,BR,Fruits,,
comercial@planesagro.com.br,COEX_RN,BR,Fruits,,
pedro@planesagro.com.br,COEX_RN,BR,Fruits,,
roberto@planesagro.com.br,COEX_RN,BR,Fruits,,
fazendavilanovaadm1@gmail.com,COEX_RN,BR,Fruits,,
jbagricolame@gmail.com,COEX_RN,BR,Fruits,,
ranilsonmelo@hotmail.com,COEX_RN,BR,Fruits,,
carlospraciano@hotmail.com,COEX_RN,BR,Fruits,,
evandro@vivaagricola.com,COEX_RN,BR,Fruits,,
nardivan@vivaagricola.com,COEX_RN,BR,Fruits,,
coopport@coopportbrasil.com,Parana_Coops,BR,Agriculture,,
nelson@agecoop.com.br,Parana_Coops,BR,Agriculture,,
agraria@agraria.com.br,Parana_Coops,BR,Agriculture,,
secretaria@agrociencia.coop.br,Parana_Coops,BR,Agriculture,,
financeiro1@vexilom.net,Parana_Coops,BR,Agriculture,,
alia.coop.log@gmail.com,Parana_Coops,BR,Agriculture,,
diretoria.executiva@ambicoop.com.br,Parana_Coops,BR,Agriculture,,
biolabore@gmail.com,Parana_Coops,BR,Agriculture,,
bomjesus@bj.coop.br,Parana_Coops,BR,Agriculture,,
diret@cvale.com.br,Parana_Coops,BR,Agriculture,,
financeiroc2glog@gmail.com,Parana_Coops,BR,Agriculture,,
marcia@camisc.coop.br,Parana_Coops,BR,Agriculture,,
camp@camp.coop.br,Parana_Coops,BR,Agriculture,,
gestao@canalverdeenergia.com.br,Parana_Coops,BR,Agriculture,,
capal@capal.coop.br,Parana_Coops,BR,Agriculture,,
coopsubra2@gmail.com,Parana_Coops,BR,Agriculture,,
atendimento@castrodis.com.br,Parana_Coops,BR,Agriculture,,
cleitiane@castrolanda.coop.br,Parana_Coops,BR,Agriculture,,
administracao@cativa.coop.br,Parana_Coops,BR,Agriculture,,
fazenda.udp@gmail.com,Parana_Coops,BR,Agriculture,,
coopcaeaac@gmail.com,Parana_Coops,BR,Agriculture,,
grasiani.mecatti@escola.pr.gov.br,Parana_Coops,BR,Agriculture,,
bruna.cordeiro@brunettocontadores.com.br,Parana_Coops,BR,Agriculture,,
dayane.paulino@escola.pr.gov.br,Parana_Coops,BR,Agriculture,,
contato@academiadelinguaspr.com.br,Parana_Coops,BR,Agriculture,,
glenda@cresol.com.br,Parana_Coops,BR,Agriculture,,
suzane_almeida@sicredi.com.br,Parana_Coops,BR,Agriculture,,
cepacambara@gmail.com,Parana_Coops,BR,Agriculture,,
ceral@ceral.com.br,Parana_Coops,BR,Agriculture,,
ceraldis@ceraldis.com.br,Parana_Coops,BR,Agriculture,,
cercar@cercar.com.br,Parana_Coops,BR,Agriculture,,
cercho@cercho.com.br,Parana_Coops,BR,Agriculture,,
coopcerme@gmail.com,Parana_Coops,BR,Agriculture,,
carlos@cerpa.net.br,Parana_Coops,BR,Agriculture,,
cerwit.contabil@witmarsum.coop.br,Parana_Coops,BR,Agriculture,,
alberi@clac.coop.br,Parana_Coops,BR,Agriculture,,
comercial@cm3cooperativa.com.br,Parana_Coops,BR,Agriculture,,
marcelo@coacan.com.br,Parana_Coops,BR,Agriculture,,
financeiro@coacipar.com.br,Parana_Coops,BR,Agriculture,,
coagro@coagro.com.br,Parana_Coops,BR,Agriculture,,
expedientes.cm@mariotcontabilidade.com.br,Parana_Coops,BR,Agriculture,,
coagru@coagru.com.br,Parana_Coops,BR,Agriculture,,
coamig@coamig.com.br,Parana_Coops,BR,Agriculture,,
coamo@coamo.com.br,Parana_Coops,BR,Agriculture,,
gestao@coani.coop.br,Parana_Coops,BR,Agriculture,,
coaprocor@coaprocor.com.br,Parana_Coops,BR,Agriculture,,
coasul@coasul.com.br,Parana_Coops,BR,Agriculture,,
financeiro@ovosuniao.com.br,Parana_Coops,BR,Agriculture,,
societario@vlma.com.br,Parana_Coops,BR,Agriculture,,
cocamar@cocamar.com.br,Parana_Coops,BR,Agriculture,,
2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,Fecoagro_RS,BR,Agriculture,,
605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,Fecoagro_RS,BR,Agriculture,,
fecoagrors@fecoagrors.com.br,Fecoagro_RS,BR,Agriculture,,
infocomercial@cancilleria.gob.ar,AR_TradeNet,AR,Export,,
castrolanda@castrolanda.coop.br,BR_Coops_Known,BR,Agriculture,Castrolanda,Castro
coopavel@coopavel.com.br,BR_Coops_Known,BR,Agriculture,Coopavel,Cascavel
