CUI,Denumire,Judet,Localitate,Contact,CAEN,CA_2023,CA_2022,Profit_2023,Pierdere_2023,Membri_2023,Salariati_2023
26042450,AAYLEX AGRO COOPERATIVĂ AGRICOLĂ,Buzău,Buzău,Telefon: 0730713071; Telefon: 0238401900; ,0147,239802920,304483539,1312999,0,5,49
25999050,AGROPROD CRASNA COOPERATIVA AGRICOLĂ,Satu Mare,Supuru de Jos,Telefon: 0741533500; Telefon: 0744792305; ,1012,170374767,150650689,711130,0,7,275
39566260,SOYBEAN AND MAYS PROD COOPERATIVĂ AGRICOLĂ,Botoşani,Broscăuţi,,0111,146885547,133936218,8606749,0,7,8
26802466,ARGEŞ BIOSUD COOPERATIVĂ AGRICOLĂ,Argeş,Costeşti,Telefon: 0744544699; ,4621,133199823,108698054,1159377,0,41,11
25340881,DOBROGEA SUD COOPERATIVA AGRICOLĂ,Constanţa,Topraisar,Telefon: 0722/778681; Telefon: 0722/697185; ,4621,128622018,163981207,894106,0,54,4
37096021,COOPERATIVA AGRICOLĂ  BIOPROD COLIBAŞI,Giurgiu,Colibaşi,,4631,128501263,82190592,1243049,0,6,101
27321738,TINOASA COOPERATIVA AGRICOLĂ,Teleorman,Călineşti,Telefon: 0749155851; ,4611,115677384,121083417,96097,0,35,1
34480418,CÂMPURI AURII COOPERATIVA AGRICOLĂ,Bacău,Filipeşti,,0150,105478966,62459319,392206,0,9,2
25395283,BRAICOOP COOPERATIVA AGRICOLĂ,Brăila,Baldovineşti,Telefon: 742008674; ,4621,104985681,106125037,1061526,0,54,12
35392012,COOPERATIVA AGRICOLA BANAT AGRO VEST,Timiş,Ghiroda,,4621,102628440,94268334,628900,0,36,3
33081036,TRANSILVANIA PIG COOPERATIVA AGRICOLĂ,Sălaj,Cehu Silvaniei,,4623,72470613,53657774,300413,0,12,0
26310889,EUROAGRICOOP COOPERATIVĂ AGRICOLĂ,Timiş,Timişoara,Telefon: 0256306056; Fax: 0256306059; ,4611,60437995,75983595,255825,0,6,45
45070480,COOPERATIVA AGRICOLĂ PODIȘUL TRANSILVANIEI COOPERATIVĂ AGRICOLĂ,Cluj,Mihai Viteazu,,4621,50219796,29041106,1146560,0,21,6
45222775,KC TIMIS COOPERATIVA AGRICOLA,Timiş,Buziaş,,0111,47379592,30890789,350976,0,7,1
27289742,AGRISPOR COOPERATIVA AGRICOLĂ,Vâlcea,Băbeni,Telefon: 0250765083; Fax: 0250765083; Telefon: 0735789620; ,0146,47310560,33738734,2780071,0,5,7
37137431,COOPERATIVA AGRICOLĂ CEREALTOP FARMERS,Vrancea,Coteşti,Telefon mobil: 0740047487; ,4621,45360110,27666713,69511,0,20,2
43870100,AGROACTIV COOPERATIVĂ AGRICOLĂ,Argeş,Mârghia de Sus,Telefon: 0759547556; ,4621,43533713,41721259,8741,0,12,1
45921064,DUNARE BRATES PRUT COOPERATIVĂ AGRICOLĂ,Galaţi,Folteşti,Telefon: 0744227103; ,0150,42362018,14916146,2236458,0,11,2
40372020,COOPERATIVA AGRICOLĂ DE GRADUL II GRUP AGRICOLA,Iaşi,Războieni,Telefon mobil: 0753180525; ,0161,40369730,49076646,8383,0,18,5
44902102,REGALINA COOPERATIVĂ AGRICOLĂ,Braşov,Râşnov,Telefon mobil: 0745257464; Adresa de e-mail: dragosal@yahoo.com; ,4633,37138096,27466747,3126827,0,6,1
31145133,SAMUS LACT COOPERATIVA AGRICOLĂ,Satu Mare,Botiz,,4633,36673941,33156631,200808,0,14,7
37988659,FERMELE ECOLOGICE SILVANIA COOPERATIVA AGRICOLĂ,Sălaj,Crişeni,,4633,36411576,62891951,197033,0,7,13
39182897,SOMEŞ PIG FARM COOPERATIVĂ AGRICOLĂ,Sălaj,Sălăţig,,0146,36298783,30623252,153118,0,10,1
36183634,OLTENIA CEREAL NORD COOPERATIVA AGRICOLĂ,Olt,Scorniceşti,,4611,36170477,30167922,7583,0,22,2
28264568,SOMES ARIES COOPERATIVA AGRICOLĂ,Cluj,Apahida,Telefon: 0744476674; ,4633,35845504,43843636,1581538,0,54,19
40876930,DRUMUL BELȘUGULUI COOPERATIVA AGRICOLĂ,Galaţi,Tecuci,Telefon: 0745603616; ,4621,34753381,23485521,213650,0,22,2
45084630,COMPLEX AGROINDUSTRIAL SEGARCEA COOPERATIVĂ AGRICOLĂ,Dolj,Segarcea,,4621,34369813,26901926,588030,0,6,28
36300874,COOPERATIVA AGRICOLA INTEGRATA ŢARA MEA,Bucureşti,Bucureşti Sectorul 1,Telefon: 0724286448; ,4631,33441386,58554516,0,1164874,5,12
29574508,BÂRSA PROD 2012 COOPERATIVA AGRICOLĂ,Prahova,Ploieşti,Telefon mobil: 0726299978; ,4633,33425561,37789865,2823632,0,5,31
35508622,PEPENI DE POGOANELE COOPERATIVA AGRICOLĂ,Buzău,Pogoanele,Telefon: 0727733125; ,0113,33146849,10776339,2014638,0,6,20
39766365,PRODUCTIE SI PROCESARE REGIUNEA SUD COOPERATIVA AGRICOLĂ,Argeş,Piteşti,,4621,33139289,19259249,0,41976,242,6
28025765,STOIAN LAND COOPERATIVĂ AGRICOLĂ,Constanţa,Constanţa,Telefon: 0744351135; ,4631,32367898,23578362,79938,0,7,5
43197519,MIORIȚA SILVANIEI COOPERATIVĂ AGRICOLĂ,Cluj,Nires,Telefon mobil: 0752643937; Adresa de e-mail: kerkes.reka@yahoo.com; ,0162,29631311,17507526,1068113,0,6,5
43621680,COMCEREAL SARMASEL COOPERATIVĂ AGRICOLĂ,Mureş,Sărmăşel-Gară,Telefon mobil: 0759547556; ,4623,29251919,13005017,1062943,0,5,1
29542239,OVO PRODUCT COOPERATIVĂ AGRICOLĂ,Sibiu,Sibiu,,4633,28956097,22868719,2094921,0,5,16
47078227,COOPERATIVA AGRICOLA GUST DE ROMANIA 2022,Prahova,Băicoi,,4623,28533701,0,285169,0,7,0
