CUI,Denumire,Judet,Localitate,CAEN,CA_2023_RON,Membri,Salariati,Telefon
25999050,AGROPROD CRASNA COOPERATIVA AGRICOLĂ,Satu Mare,Supuru de Jos,1012,170374767,7,275,"0741533500, 0744792305"
44902102,REGALINA COOPERATIVĂ AGRICOLĂ,Braşov,Râşnov,4633,37138096,6,1,0745257464
31145133,SAMUS LACT COOPERATIVA AGRICOLĂ,Satu Mare,Botiz,4633,36673941,14,7,
28264568,SOMES ARIES COOPERATIVA AGRICOLĂ,Cluj,Apahida,4633,35845504,54,19,0744476674
29574508,BÂRSA PROD 2012 COOPERATIVA AGRICOLĂ,Prahova,Ploieşti,4633,33425561,5,31,0726299978
29542239,OVO PRODUCT COOPERATIVĂ AGRICOLĂ,Sibiu,Sibiu,4633,28956097,5,16,
36223488,COOPERATIVA AGRICOLĂ AGROLACT MOLDOVA,Bacău,Sascut,1051,28109150,8,55,
43260012,PĂSTRĂVUL DIN ȚARA TA COOPERATIVĂ AGRICOLĂ,Prahova,Slănic,4638,19025973,6,5,
43510119,HARCOV MILK MEAT COOPERATIVĂ AGRICOLĂ,Harghita,Tuşnad,4633,18043726,10,1,
40900087,COOPERATIVA AGRICOLĂ CRIŞANA LACT,Bihor,Tăut,4633,15873126,16,2,"0771674031, 0749671167"
28274995,TARNAVA MARE COOPERATIVA AGRICOLĂ,Harghita,Cristuru Secuiesc,1051,14583730,9,40,0745327963
45215603,VEGETERRA COOPERATIVĂ AGRICOLĂ,Covasna,Cernat,4631,13690716,8,1,
42197383,DEALURI DIN BIHOR COOPERATIVĂ AGRICOLĂ,Bihor,Cauaceu,4633,12186143,5,2,
44913012,COOPERATIVA AGRICOLĂ GIDO MILK,Covasna,Ghidfalău,4633,11024055,6,1,
43923360,COOPERATIVĂ AGRICOLĂ GRADINA NOASTRA DIN ZARAND,Arad,Arad,4631,10891205,7,1,
40303100,MEAT SUIN PROD COOPERATIVA AGRICOLĂ,Argeş,Bradu,1011,10792447,6,0,
39076136,COOPERATIVĂ AGRICOLĂ RÂUL NEGRU,Covasna,Cernat,4631,10286719,19,1,
43735880,RADIC STAR MEAT COOPERATIVĂ AGRICOLĂ,Argeş,Oraş Ştefăneşti,4632,8182120,5,0,
45397009,FAT POTATO GROUP COOPERATIVĂ AGRICOLĂ,Covasna,Cernat,4631,7524089,5,0,
