hotel,hotelLabel,countryLabel,coord,website
http://www.wikidata.org/entity/Q1337845,Emirates Palace,United Arab Emirates,Point(54.317284 24.461658),https://www.mandarinoriental.com/abu-dhabi/emirates-palace
http://www.wikidata.org/entity/Q1337845,Emirates Palace,United Arab Emirates,Point(54.31666667 24.46194444),https://www.mandarinoriental.com/abu-dhabi/emirates-palace
http://www.wikidata.org/entity/Q1339302,Empire Riverside Hotel,Germany,Point(9.96327 53.54706),http://www.empire-riverside.de
http://www.wikidata.org/entity/Q1339302,Empire Riverside Hotel,Germany,Point(9.96333333 53.54730556),http://www.empire-riverside.de
http://www.wikidata.org/entity/Q1340132,Encore,United States,Point(-115.166211 36.1274003),
http://www.wikidata.org/entity/Q1340365,Westgate Las Vegas Resort & Casino,United States,Point(-115.1514 36.1361),http://www.westgatelasvegasresort.com/
http://www.wikidata.org/entity/Q1340365,Westgate Las Vegas Resort & Casino,United States,Point(-115.15125 36.13628),http://www.westgatelasvegasresort.com/
http://www.wikidata.org/entity/Q1342483,Engleside Hotel,United States,Point(-74.2371 39.5609),
http://www.wikidata.org/entity/Q1342565,Planet Hollywood Resort & Casino,United States,Point(-115.171 36.11),https://www.caesars.com/planet-hollywood
http://www.wikidata.org/entity/Q1343055,Swissôtel The Stamford,Singapore,Point(103.853 1.29354),http://www.swissotel.com/singapore-stamford/
http://www.wikidata.org/entity/Q1343055,Swissôtel The Stamford,Singapore,Point(103.8535076 1.2932771),http://www.swissotel.com/singapore-stamford/
http://www.wikidata.org/entity/Q1343055,Swissôtel The Stamford,Singapore,Point(103.853 1.29354),https://www.swissotel.com/hotels/singapore-stamford/
http://www.wikidata.org/entity/Q1343055,Swissôtel The Stamford,Singapore,Point(103.8535076 1.2932771),https://www.swissotel.com/hotels/singapore-stamford/
http://www.wikidata.org/entity/Q1343706,Goldener Adler,Austria,Point(11.39242 47.268367),http://www.goldeneradler.com
http://www.wikidata.org/entity/Q1347033,Dunes,United States,Point(-115.17472222 36.1125),
http://www.wikidata.org/entity/Q1350214,Erfurter Hof,Germany,Point(11.0372 50.9731),
http://www.wikidata.org/entity/Q1350689,Hotel Moskva,Russia,Point(37.6165 55.756611111),https://thelegendofmoscow.com/
http://www.wikidata.org/entity/Q1350689,Hotel Moskva,Russia,Point(37.61654643 55.756588533),https://thelegendofmoscow.com/
http://www.wikidata.org/entity/Q1355271,Mena House,Egypt,Point(31.13277778 29.98555556),
http://www.wikidata.org/entity/Q1360313,Treasure Island Hotel and Casino,United States,Point(-115.171944444 36.125),http://www.treasureisland.com/
http://www.wikidata.org/entity/Q1362589,PLAZA Premium Timmendorfer Strand,Germany,Point(10.7709 54.0058),
http://www.wikidata.org/entity/Q1364092,Lüthemühle,Germany,Point(6.25279 51.3115),https://www.luethemuehle.de/
http://www.wikidata.org/entity/Q1368043,Mandalay Bay,United States,Point(-115.174722222 36.091666666),http://www.mandalaybay.com
http://www.wikidata.org/entity/Q1369710,Estancia La Paz,Argentina,Point(-64.232361 -30.960558),
http://www.wikidata.org/entity/Q1372419,Hydropolis,United Arab Emirates,Point(55.134166666 25.086666666),
http://www.wikidata.org/entity/Q1375672,King David Hotel,Israel,Point(35.222222222 31.774444444),
http://www.wikidata.org/entity/Q1375672,King David Hotel,Mandatory Palestine,Point(35.222222222 31.774444444),
http://www.wikidata.org/entity/Q1393350,Fairmont Royal York,Canada,Point(-79.38164 43.64551),
http://www.wikidata.org/entity/Q1394692,Rheinhotel Dreesen,Germany,Point(7.175689 50.683718),
http://www.wikidata.org/entity/Q1395561,Hotel Bellevue Palace,Switzerland,Point(7.44664 46.94672),https://www.bellevue-palace.ch/de
http://www.wikidata.org/entity/Q1395561,Hotel Bellevue Palace,Switzerland,Point(7.44664 46.94672),https://www.bellevue-palace.ch/en
http://www.wikidata.org/entity/Q1399214,Hotel Stefanie,Austria,Point(16.3803 48.2143),
http://www.wikidata.org/entity/Q1399214,Hotel Stefanie,Austria,Point(16.38014 48.21442),
http://www.wikidata.org/entity/Q1401439,Schüttkasten Geras,Austria,Point(15.6749 48.8007),
http://www.wikidata.org/entity/Q1406456,"Fern Point Hotel, Inveraray",United Kingdom,Point(-5.07199 56.2305),
http://www.wikidata.org/entity/Q1410663,Hotel Waldhaus Vulpera,Switzerland,Point(10.2891 46.7876),
http://www.wikidata.org/entity/Q1412478,"The Waldorf Hilton, London",United Kingdom,Point(-0.118837952 51.512555195),https://www.hilton.com/en/hotels/lonwahi-the-waldorf-hilton-london/
