nr_licenta,operator_economic,denumire_agentie,cui,adresa,localitate,judet,tip_agentie,site_web,email
1001,VIA EUROPA S.R.L.,VIA EUROPA,17505776,"STR. Dacia , NR. 122  , ET. P , AP. 1","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.via-europa.ro,ioana.enache@via-europa.ro
1006,ISS EDU S.R.L.,INTERNATIONAL SUMMER SCHOOLS EDUCATION,33627988,"STR. Grigore Ureche , NR. 1 , BL. 6 MARTIE",Mun. Iaşi,IAŞI,Organizatoare,www.issedu.ro,damian.claudiu@issedu.ro
1009,TRAVEL DESTINATION SRL,TRAVEL DESTINATION,30999073,"STR. Matei Voievod , NR. 29","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.traveldestination.ro,office@traveldestination.ro
1010,BLUE TRAVEL S.R.L.,BLUE TRAVEL,18173152,"STR. Eroilor , NR. 10  , ET. 2",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.bluetravel.ro,bluetravelromania@yahoo.com
1012,CRISOLDO CO S.R.L.,CRISOLDO TUR,11443968,"STR. George Enescu , NR. 20 , BL. 20 , ET. PARTER , AP. 4",Mun. Hunedoara,HUNEDOARA,Organizatoare,www.crisoldotur.ro,office@crisoldotur.ro
1015,CODRUL SRL,REVE TOUR,20063178,"STR. Alexandru Lăpuşneanu , NR. 113",Mun. Constanţa,CONSTANŢA,Organizatoare,www.tevetour.ro,office@revetour.ro
1017,HAHOTA S.R.L.,WORLD TRAVEL SHOP,11375235,"STR. Aurel Filimon , NR. 17   , AP. 1",Mun. Târgu Mureş,MUREŞ,Organizatoare,www.worldtravelshop.ro,office@worldtravelshop.ro
1018,DIZAK KETEX SRL,DIZAK KETEX,32720522,"STR. Sirenelor , NR. 89  , ET. 1","Mun. Bucureşti, Sector 5",MUNICIPIUL BUCUREŞTI,Organizatoare,www.dzk-travel.com,nicolas.marty@dzk-travel.com
1022,KAYA-ŞTEF TOUR SRL,KAYA TOUR,26187922,"STR. Republicii , NR. 263",Oraş Băicoi,PRAHOVA,Organizatoare,www.kayatour.ro,kayatour@yahoo.com
1024,ABC TRADING CO SRL,ABC TOURS,2794366,"STR. Dorobanţi , NR. 42  , ET. 2 , AP. 3","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.abctours.ro,office@abctours.ro
1025,PEJ TRAVEL SRL,PEJ TRAVEL,38447790,"STR. Ionel I.C. Brătianu , NR. 1  , ET. parter , AP. birou 4A",Mun. Timişoara,TIMIŞ,Organizatoare,www.pejtravel.ro,office@pejtravel.ro
1026,ADMINISTER PLUS SRL,ADMINISTER TOUR,33489680,"STR. Mărăşeşti , NR. 2B , BL. D","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Organizatoare,,aurelian.stanculescu@gmail.com
1027,PRISMA TECH SRL,PRISMA TOUR,15850492,NR. 74,Mun. Iaşi,IAŞI,Organizatoare,www.prismatour.ro,office@prismatour.ro
1028,BRIANT TRAVEL BOOKING 21 SRL,BRIANT TRAVEL,31268772,"STR. Papareţ , NR. 15",Mun. Adjud,VRANCEA,Organizatoare,www.briant.ro,rezervari@briant.ro
1029,CENTRAL TRAVEL S.R.L.,CENTRAL TRAVEL,16482941,"NR. 47-51 , BL. C1","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.centraltravel.ro,raluca@centraltravel.ro
103,ALL TOUR SRL,ALL TOUR,19180450,"STR. Pasajul Revoluţiei , NR. 3",Mun. Bacău,BACĂU,Organizatoare,www.all-tour.ro,office@all-tour.ro
1030,CREATIVE SUPERTOURS S.R.L.,SUPERTOURS,30185504,"STR. Cetăţuia , NR. 3B   , AP. 2",Mun. Braşov,BRAŞOV,Organizatoare,www.supertours.ro,contact@supertours.ro
1031,VEST TRAVEL & VACANCES SRL,VEST TRAVEL & VACANCES,15160395,"STR. 1 Decembrie 1918 , NR. 4   , AP. 6",Mun. Arad,ARAD,Organizatoare,www.romaniavacances.ro,office@romaniavacances.ro
1032,ELITE TURISM SERVICES S.R.L.,ELITE TOURS,34048500,"STR. Crişului , NR. 7   , AP. 1","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,Organizatoare,www.elitetours.ro,contact@elitetours.ro
1033,DIALECT S.R.L.,DIALECT TOUR,11938720,"STR. Toamnei , NR. 9 , BL. 4  , AP. 4",Mun. Braşov,BRAŞOV,Organizatoare,www.dialect-tour.ro,office@dialect-tour.ro
1034,DOMINO TOURS SRL,DOMINO TOURS,21924381,"STR. Moscovei , NR. 27   , AP. 9",Mun. Oradea,BIHOR,Organizatoare,www.dominotours.ro,domino.tours@yahoo.com
1035,TAN TRAVEL SRL,TAN TRAVEL & TOURS,34329165,"NR. 99B , BL. 3 , ET. 2 , AP. 13","Oraş Popeşti-Leordeni, Sat Popeşti Leordeni",ILFOV,Organizatoare,www.tantravel.ro,office@tantravel.ro
1036,LUTASIN SRL,SINCAROM TOUR,28059628,"STR. Republicii , NR. 5",Mun. Vatra-Dornei,SUCEAVA,Organizatoare,www.bucovinatransfer.ro,dornamis@yahoo.com
1037,TERRA SPLENDIDA SRL,TERRA SPLENDIDA,26546244,"NR. 132  , ET. 1 , AP. 9","Mun. Bucureşti, Sector 1",MUNICIPIUL BUCUREŞTI,Organizatoare,www.terraspelndida.ro,office@terrasplendida.ro
1038,FRESH HOLIDAYS & EVENTS SRL,FRESH HOLIDAYS,29106973,NR. 43,"Mun. Bucureşti, Sector 5",MUNICIPIUL BUCUREŞTI,Organizatoare,www.freshholidays.ro,office@freshholidays.ro
