nr_licenta,licenta_tip,data_emitere,operator_economic,nr_registru_comert,denumire_agentie,cui,adresa,localitate,judet,tip_agentie,site_web,email,col13,col14,col15
1,Licenta,22.10.2018,ALEXCRYS LUX TRAVEL SRL,J3/850/2016,LUX TRAVEL,36024000,"STR. Ion Pillat  , BL. V2C",Oraş Mioveni,ARGEŞ,Intermediara,,office@agentialuxtravel.ro,,,
10,Licenta,22.10.2018,ELADA SRL,J38/267/1992,ATLAS ELADA,1471480,"STR. Mircea cel Bătrân , NR. 2-6",Mun. Râmnicu Vâlcea,VÂLCEA,Intermediara,www.atlaserada.ro,atlas.eladavl@yahoo.com,,,
1000,Licenta,28.09.2020,HAILANDIA TURISM SRL,J40/8494/2017,SOLIS TRAVEL,37702853,"STR. Uverturii , NR. 57-69 , BL. 10 , ET. 9 , AP. 118","Mun. Bucureşti, Sector 6",MUNICIPIUL BUCUREŞTI,IntermediaraOnline,www.solistravel.ro,olivia.ezaru1@gmail.com,,,
1001,Licenta,30.01.2019,VIA EUROPA S.R.L.,J40/7385/2005,VIA EUROPA,17505776,"STR. Dacia , NR. 122  , ET. P , AP. 1","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.via-europa.ro,ioana.enache@via-europa.ro,,,
1002,Licenta,30.01.2019,ALL INCLUSIVE BUSINESS SOLUTIONS SRL,J40/2041/2010,ALL INCLUSIVE TRAVEL,26575860,"STR. Batiştei , NR. 20  , ET. 1 , AP. 1","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Intermediara,www.allinclusivetravel.ro,info@allinclusivetravel.ro,,,
1003,Licenta,30.01.2019,HOLIDAY MAGIC SRL,J8/165/2008,HOLIDAY MAGIC,23121382,"STR. Sitarului , NR. 15 , BL. D 3  , AP. 3",Mun. Braşov,BRAŞOV,Intermediara,,holidaymagic10@yahoo.com,,,
1005,Licenta,30.01.2019,TRAVEL EXPERT SRL,J13/1795/2005,TRAVEL EXPERT,17641166,"STR. Soveja , NR. 45 , BL. I2 , ET. P , AP. 1",Mun. Constanţa,CONSTANŢA,Intermediara,www.travelex.ro,office@travelex.ro,,,
1006,Licenta,30.01.2019,ISS EDU S.R.L.,J22/1503/2014,INTERNATIONAL SUMMER SCHOOLS EDUCATION,33627988,"STR. Grigore Ureche , NR. 1 , BL. 6 MARTIE",Mun. Iaşi,IAŞI,Organizatoare,www.issedu.ro,damian.claudiu@issedu.ro,,,
1007,Licenta,06.10.2023,EXCURSII REUSITE SARA TRAVEL S.R.L.,J40/14732/2015,EXCURSII REUSITE,35290489,"STR. Jilavei , NR. 50-60  , ET. 3 , AP. 42","Mun. Bucureşti, Sector 4",MUNICIPIUL BUCUREŞTI,IntermediaraOnline,www.excursiireusite.ro,office@saratravel.ro,,,
1009,Licenta,30.01.2019,TRAVEL DESTINATION SRL,J40/14532/2012,TRAVEL DESTINATION,30999073,"STR. Matei Voievod , NR. 29","Mun. Bucureşti, Sector 2",MUNICIPIUL BUCUREŞTI,Organizatoare,www.traveldestination.ro,office@traveldestination.ro,,,
101,Licenta,08.11.2018,N&N ADVENTURES SRL,J26/977/2012,ORIGO TRAVEL,30770494,"NR. 5   , AP. 3",Mun. Târgu Mureş,MUREŞ,Intermediara,www.origotravel.ro,info@origotravel.ro,,,
1010,Licenta,30.01.2019,BLUE TRAVEL S.R.L.,J12/4164/2005,BLUE TRAVEL,18173152,"STR. Eroilor , NR. 10  , ET. 2",Mun. Cluj-Napoca,CLUJ,Organizatoare,www.bluetravel.ro,bluetravelromania@yahoo.com,,,
1011,Licenta,30.01.2019,COROLA TUR IMPEX SRL,J29/221/1992,COROLA,1351247,"STR. Toma Caragiu , NR. 11",Mun. Ploieşti,PRAHOVA,Intermediara,,corolatur@yahoo.com,,,
