category,company,project_title,budget,county
constructii,Licitatie restransa atribuire contract lucrari de constructii in cadrul proiectului Construire imobil cu apartamente destinate cazarii de sc,"Anunturi [proceduri de achizitie, beneficiari privati]: Licitatie restransa atribuire contract lucrari de constructii in cadrul proiectului Construire imobil cu apartamente destinate cazarii de scurta durata, imprejmuire si racorduri la utilitati","1706854,00 lei",Neamt
constructii,executia de lucrari si furnizarea de echipamente pentru proiectul cu titlul Imbunatatirea infrastructurii,"Anunturi [proceduri de achizitie, beneficiari privati]: Proiectarea, executia de lucrari si furnizarea de echipamente pentru proiectul cu titlul Imbunatatirea infrastructurii in banda larga si a accesului la internet in judetul Alba","14971255,37 lei",Bucuresti
constructii,Lucrari de constructii si instalatii pentru realizare spatiu necesar pentru prestarea activitatii,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura de atribuire a contractului de lucrari de constructie: Lucrari de constructii si instalatii pentru realizare spatiu necesar pentru prestarea activitatii de realizarea soft la comanda","5159938,78 lei",Covasna
constructii,CONSOLIDAREA POZITIEI PE PIATA SI DIVERSIFICAREA ACTIVITATII A ENTIRE CONSULTING &MANAGEMENT SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: CONSOLIDAREA POZITIEI PE PIATA SI DIVERSIFICAREA ACTIVITATII A ENTIRE CONSULTING &MANAGEMENT SRL PRIN CONSTRUIREA SI DOTAREA UNEI PENSIUNI TURISTICE IN ORASUL SEINI ,JUDETUL MARAMURES","1242055,11 lei",MARAMURES
constructii,furnizare bunuri si asigurarea utilitatilor necesare obiectivului si organizare de sa,"Anunturi [proceduri de achizitie, beneficiari privati]: Reluare procedura Contract de executie lucrari, furnizare bunuri si asigurarea utilitatilor necesare obiectivului si organizare de santier","1649662,42 lei",SATU MARE
constructii,Modernizarea si extinderea capacitatii de productie a societatii Jung Wohnmobile SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Documentatie de atribuire (inclusiv specificatiile tehnice) LUCRARI DE CONSTRUCTII in cadrul proiectului: Modernizarea si extinderea capacitatii de productie a societatii Jung Wohnmobile SRL Germania, filiala Zalau","3433200,42 lei",SALAJ
constructii,Modernizarea si extinderea capacitatii de productie a societatii Jung Wohnmobile SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Documentatie de atribuire (inclusiv specificatiile tehnice) LUCRARI DE CONSTRUCTII in cadrul proiectului: Modernizarea si extinderea capacitatii de productie a societatii Jung Wohnmobile SRL Germania, filiala Zalau","3776131,63 lei",SALAJ
constructii,Proiectare si executie lucrari aferent proiectului Imbunatatirea infrastructurii,"Anunturi [proceduri de achizitie, beneficiari privati]: Proiectare si executie lucrari aferent proiectului Imbunatatirea infrastructurii in banda larga si a accesului la internet in judetul Vrancea","13897060,01 lei",Bucuresti
constructii,Proiectare si executie lucrari aferent proiectului Imbunatatirea infrastructurii,"Anunturi [proceduri de achizitie, beneficiari privati]: Proiectare si executie lucrari aferent proiectului Imbunatatirea infrastructurii in banda larga si a accesului la internet in judetele Prahova si Dambovita","8188504,76 lei",Bucuresti
constructii,RESTAURARE CONSOLIDARE SI PUNERE IN VALOARE A BISERICII SF. NICOLAE POPA SA,"Anunturi [proceduri de achizitie, beneficiari privati]: RESTAURARE CONSOLIDARE SI PUNERE IN VALOARE A BISERICII SF. NICOLAE POPA SAVU, CAMPULUNG MUSCEL, JUDETUL ARGES","3687903,26 lei",ARGES
constructii,extindere si dotare centru social de zi pentru persoane varstnice Sfintii,"Anunturi [proceduri de achizitie, beneficiari privati]: Reabilitare, modernizare,extindere si dotare centru social de zi pentru persoane varstnice  Sfintii Doctori fara de arginti Cosma si Damian","2892088,97 lei",Dolj
constructii,conservare si introducere in circuitul turistic la Ansamblul Bisericii,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura competitiva - Atribuire contract executie lucrari - Proiect: Lucrari de reparatii, conservare si introducere in circuitul turistic la Ansamblul Bisericii Evanghelice Fortificate din Vulcan","1041614,91 lei",Hunedoara
constructii,conservare si introducere in circuitul turistic la Ansamblul Bisericii,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura competitiva - Atribuire contract executie lucrari - Proiect: Lucrari de reparatii, conservare si introducere in circuitul turistic la Ansamblul Bisericii Evanghelice Fortificate din Vulcan","1041614,91 lei",Hunedoara
