email,company,org_number,nace_code,sector_name,city,address,phone,hr_email,website,linkedin_url,employees_count,tier,contact_person,positions_count,job_count,quality_score,source
post@oslo-universitetssykehus.no,Oslo Universitetssykehus,993467049,86.101,Somatiske sykehustjenester,OSLO,Kirkeveien 166,91502770,post@oslo-universitetssykehus.no,www.oslo-universitetssykehus.no,,25921,T1,,,,,agencies_eures
postmottak@helse-bergen.no,Helse Bergen,983974724,86.101,Somatiske sykehustjenester,BERGEN,Haukelandsveien 22,05300,postmottak@helse-bergen.no,www.helse-bergen.no/,,14578,T1,,,,,agencies_eures
postmottak@ahus.no,Ahus,983971636,86.101,Somatiske sykehustjenester,LØRENSKOG,Sykehusveien 25,67 96 00 00,postmottak@ahus.no,www.ahus.no,,12392,T1,,,,,agencies_eures
post@stolav.no,Stolav,883974832,86.101,Somatiske sykehustjenester,TRONDHEIM,Prinsesse Kristinas gate 3,06800,post@stolav.no,www.stolav.no/,,12262,T1,,,,,agencies_eures
postmottak@vestreviken.no,Vestreviken,894166762,86.101,Somatiske sykehustjenester,DRAMMEN,Grønland 32,32 86 11 00,postmottak@vestreviken.no; psykbem@vestreviken.no; bem@vestreviken.no,www.vestreviken.no,,11231,T1,,,,,agencies_eures
postmottak@sykehuset-innlandet.no,Sykehuset Innlandet,983971709,86.101,Somatiske sykehustjenester,BRUMUNDDAL,Furnesvegen 26,91 50 62 00,postmottak@sykehuset-innlandet.no,www.sykehuset-innlandet.no,,9950,T1,,,,,agencies_eures
post@sus.no,Sus,983974678,86.101,Somatiske sykehustjenester,STAVANGER,Gerd-Ragna Bloch Thorsens gate 8,51 51 80 00,post@sus.no,www.sus.no,,9761,T1,,,,,agencies_eures
post@unn.no,Unn,983974899,86.101,Somatiske sykehustjenester,TROMSØ,Hansine Hansens veg 67,77 62 60 00,post@unn.no; ansatteservice@unn.no,www.unn.no,,9434,T1,,,,,agencies_eures
postmottak@sshf.no,Sshf,983975240,86.101,Somatiske sykehustjenester,KRISTIANSAND S,Egsveien 100,99205969,husokonom.ssf@sshf.no; servicetorget.bolig.ssk@sshf.no; postmottak@sshf.no,www.sshf.no,,8446,T1,,,,,agencies_eures
postmottak@helse-mr.no,Helse Mr,997005562,86.101,Somatiske sykehustjenester,ÅLESUND,Åsehaugen 1,70 10 50 00,inger.ann.synnes.kjerstad@helse-mr.no; postmottak@helse-mr.no,www.helse-mr.no,,7368,T1,,,,,agencies_eures
postmottak@nordlandssykehuset.no,Nordlandssykehuset,983974910,86.101,Somatiske sykehustjenester,BODØ,Parkveien 95,75 53 40 00,personal@nordlandssykehuset.no,www.nordlandssykehuset.no,,6541,T1,,,,,agencies_eures
postmottak@sthf.no,Sthf,983975267,86.101,Somatiske sykehustjenester,SKIEN,Ulefossvegen 55,35 00 35 00,%20majton@sthf.no; jufber@sthf.no; martin.veel.svendsen@sthf.no,www.sthf.no,,4564,T1,,,,,agencies_eures
post@helse-fonna.no,Helse Fonna,983974694,86.101,Somatiske sykehustjenester,HAUGESUND,Karmsundgata 120,52 73 20 00,post@helse-fonna.no,www.helse-fonna.no,,4510,T1,,,,,agencies_eures
kontakt@mio.no,Mio,913961471,88.104,Brukerstyrt personlig assistanse (bpa),OSLO,Karenslyst allé 8B,913 46 566,bolig@mio.no; ragnhild.aase@mio.no; hilde.flaten@mio.no,www.mio.no,,3070,T1,,,,,agencies_eures
kontakt@mio.no,Mio,913961471,88.104,Brukerstyrt personlig assistanse (bpa),OSLO,Karenslyst allé 8B,913 46 566,bolig@mio.no; ragnhild.aase@mio.no; hilde.flaten@mio.no,www.mio.no,,3070,T1,,,,,agencies_eures
personalhuset@personalhuset.no,Personalhuset,982742765,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,OSLO,Lille Grensen 7,23 89 71 00,,,,3069,T1,,,,,agencies_eures
postmottak@finnmarkssykehuset.no,Finnmarkssykehuset,983974880,86.101,Somatiske sykehustjenester,HAMMERFEST,Kransvikveien 35,78 96 70 00,,www.finnmarkssyskehuset.no,,2584,T1,,,,,agencies_eures
post@medvindassistanse.no,Medvindassistanse,924481358,88.104,Brukerstyrt personlig assistanse (bpa),RANHEIM,Strindfjordvegen 1,,mns@medvindassistanse.no; post@medvindassistanse.no,www.medvindassistanse.no,,2516,T1,,,,,agencies_eures
salmar@salmar.no,Salmar,958973306,10.202,"Slakting av fisk, skalldyr og bløtdyr",KVERVA,Industriveien 51,72 44 79 00,,,,1410,T1,,,,,agencies_eures
salmar@salmar.no,Salmar,958973306,10.202,"Slakting av fisk, skalldyr og bløtdyr",KVERVA,Industriveien 51,72 44 79 00,,,,1410,T1,,,,,agencies_eures
salmar@salmar.no,Salmar,966840528,03.211,"Produksjon av fisk, bløtdyr, krepsdyr og pigghuder i sjø og brakkvann",KVERVA,Industriveien 51,72 44 79 00,,,,1259,T1,,,,,agencies_eures
salmar@salmar.no,Salmar,966840528,03.211,"Produksjon av fisk, bløtdyr, krepsdyr og pigghuder i sjø og brakkvann",KVERVA,Industriveien 51,72 44 79 00,,,,1259,T1,,,,,agencies_eures
hds@haraldsplass.no,Haraldsplass,984027737,86.101,Somatiske sykehustjenester,BERGEN,Ulriksdal 8,55 97 85 00,hds@haraldsplass.no,www.haraldsplass.no/,,1237,T1,,,,,agencies_eures
post@kartverket.no,Kartverket,971040238,71.123,Utarbeidelse av kart og oppmåling,HØNEFOSS,Kartverksveien 21,32118100,,,,843,T2,,,,,agencies_eures
firmapost@sunnaas.no,Sunnaas,883971752,86.101,Somatiske sykehustjenester,BJØRNEMYR,Bjørnemyrveien 11,66 96 90 00,firmapost@sunnaas.no,www.sunnaas.no/,,827,T2,,,,,agencies_eures
post@nibio.no,Nibio,988983837,72.100,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,ÅS,Høgskoleveien 7,03246,post@nibio.no,www.nibio.no,,778,T2,,,,,agencies_eures
post@temp-team.no,Temp Team,987445378,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,OSLO,Klingenberggata 7B,22 05 96 00,post@temp-team.no,www.temp-team.no,,599,T2,,,,,agencies_eures
post@temp-team.no,Temp Team,987445378,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,OSLO,Klingenberggata 7B,22 05 96 00,post@temp-team.no,www.temp-team.no,,599,T2,,,,,agencies_eures
post@temp-team.no,Temp Team,987445378,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,OSLO,Klingenberggata 7B,22 05 96 00,post@temp-team.no,www.temp-team.no,,599,T2,,,,,agencies_eures
post@workshop.no,Workshop,988232637,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,OSLO,Standardveien 1,21 50 30 90,post@workshop.no; nikolai.grundt.ileby@workshop.no,www.workshop.no,,571,T2,,,,,agencies_eures
