company_name_zh,company_name_en,email,phone,website,countries,sectors,notes
富联外经技术合作（大连）有限公司,Fulian Foreign Economic Technical Cooperation,contact@feeeee.net,400-788-6168,https://feeeee.net,"Romania,Germany,Denmark,Poland,Slovakia,France","Hospitality,Factory,Lumber",Active Romania - weekly postings. WeChat/Douyin presence
辽宁恒志国际劳务合作有限公司,Liaoning Hengzhi International Labor,cp126126126@126.com,400-881-7299,https://lnhzgj.com,"Romania,Denmark,Finland,Norway,Sweden,Netherlands,Germany,France,Spain,Czech,Croatia,Slovenia","Construction,Manufacturing,Hospitality,Healthcare",ACTIVELY SEEKS FOREIGN PARTNERS. Shenyang
山东亿泰国际人才合作有限公司,Shandong Yitai International Talent,shandongyitai@sohu.com,0536-5507888,https://www.shandongyitai.com,"Netherlands,Poland,Germany,Finland,Norway,Denmark,Switzerland,Spain,UK,Italy","Construction,Manufacturing,Hospitality",Since 2007. Capital 30M RMB. Shouguang City
四川外联经济合作有限责任公司,CSFECO Sichuan Foreign Economic Cooperation,,+86-28-86640299,http://www.csfeco.com,"Germany,Sweden,Hungary","Construction,Machinery,Energy,Chemicals,Aviation,Shipbuilding,Electronics,Food,Hospitality,Agriculture",15000+ workers dispatched. Chengdu
大连万国国际经济合作有限公司,Dalian Wanguo International Economic,,,,Romania,"Construction,Multiple",Markets Romania explicitly - 5yr green card path. Branches: Dalian/Harbin/Qingdao/Beijing/Wuxi/Hefei
青岛众祥国际人力资源有限公司,Qingdao Zhongxiang International HR,,13061327862,https://www.gjlw.cn/job/postdetail_1705,Serbia,"Construction,Welding,Electrical",15-20K RMB/month. 1yr contracts
四川宝航人力资源管理有限公司,Sichuan Baohang Human Resources,,400-780-9660,https://www.baohanghr.com,"Singapore,Japan,Korea,Australia,Russia,UAE","Construction,Food,Electronics,Hospitality",Open to employer partnerships. Chengdu
北京外企人力资源服务有限公司,FESCO Beijing,,,,100+ countries,White-collar/Corporate,JV with Adecco. Premium/corporate focus
中国海外工程有限责任公司,COVEC China Overseas Engineering,,,http://www.covec.com,88 countries,"Engineering,Construction",China Railway Group subsidiary. State projects
中国国际劳务网,China International Labor Network,,,,Aggregator,"Multiple",gjlw.cn - lists jobs from multiple agencies. WeChat: gjlw-cn
好出国,Good Go Abroad / Haochuguo,,,,Aggregator,"Multiple",haochuguo.com - Romania section: /country/726-330.html
中国国际承包商会,CHINCA,,,https://www.chinca.org,Association,,Labour Dept: +86-10-8113-0071. 1300+ members
