email,company_name,sector,county,job_title,positions_available,company_org_number
2425@magazin.profi.ro,ZAMIRA IMPEX SRL,COMERT,Suceava,LUCRATOR COMERCIAL,1,47712579
a.bradea@sercaver.ro,SERCAVER SRL,Altele,Bistrița-Năsăud,MONTATOR SUBANSAMBLE,5,23114098
a.ciuciuc@ceb4.ro,WEBUILD SPA MILANO SUCURSALA ROMANIA BUCURESTI,Construcții / Instalații,Bihor,"MUNCITOR NECALIFICAT LA ÎNTRETINEREA DE DRUMURI, SOSELE, PODURI, BARAJE",1,6669684
a.coman@accountant.com,S.C.PIRAMIDA BUSINESS MANAGEME,COMERT,Municipiul București,LUCRATOR COMERCIAL,3,35368804
a.grigore@carpathia.org,FUNDATIA CONSERVATION CARPATHI,Altele,Brașov,SPECIALIST ÎN RELATII PUBLICE,1,26358046
a.mihalea@p-csystem.com,PCM ROM SRL,Construcții / Instalații,Giurgiu,INGINER MECANIC,1,31085090
a.pop@stp.com.ro,SAUTER TURNING PROCESS SRL,Altele,Cluj,OPERATOR LA MASINI-UNELTE CU COMANDA NUMERICA,1,34577110
aal@motexco.ro,MOTEXCO SRL,FABRICAREA ARTICOLELOR DE IMBRACAMINTE,Suceava,CONFECTIONER-ASAMBLOR ARTICOLE DIN TEXTILE,5,10727872
aandronic.mihaela@yahpp.com,ELYO-TIPA S.R.L.,Construcții / Instalații,Suceava,SOFER DE AUTOTURISME SI CAMIONETE,1,46182660
abonat@ppprotectsecurity.ro,PP PROTECT SECURITY SRL,Armată / Pază/ Protecție,Cluj,GESTIONAR DEPOZIT,1,32401540
account@ayospeed.ro,AYO SPEED AUTO SRL,Servicii transport / curierat,Alba,SOFER DE AUTOTURISME SI CAMIONETE,2,33882654
accounting.texcargo@ponsa.com,TEXCARGO SRL,Producție / Logistică,Arad,"OPERATOR CONFECTIONER INDUSTRIAL ÎMBRACAMINTE DIN TESATURI, TRICOTAJE, MATERIALE SINTETICE",5,17738305
accounting@companyromania.com,HL ENGINEERING SRL,Altele,Timiș,AMBALATOR MANUAL,1,50831812
accounting@euromgroup.com,EUROMEDICA SRL,Producție / Logistică,Iași,FINISOR-ASAMBLATOR OBIECTE DIN MASE PLASTICE,10,10474915
accounting@mindtheg.com,GLOBAL ART PRODUCTION SRL,Administrativ / Secretariat,Mureș,FEMEIE DE SERVICIU,1,26340510
accounting@ragmet.com,RAGMET RAFFINERIA SRL,Altele,Ilfov,LUCRATOR SORTATOR DESEURI RECICLABILE,20,45075550
acicluj@mail.dntcj.ro,ACI CLUJ SA,Altele,Cluj,LACATUS MECANIC,4,200513
acoman@jostgroup.com,NAPOCA GREEN LOGISTIC S.R.L.,Servicii transport / curierat,Cluj,Conducător auto transport rutier de mărfuri,120,47528143
adalcisa.lupu@ro.post,COMPANIA NATIONALA POSTA ROMANA S.A. BUCURESTI SUCURSALA CONSTANTA,Altele,Buzău,CURIER,2,40711789
adela.bucur@quadra.com,QUADRA COMMODITIES ROMANIA S.R.L,Vânzări,Municipiul București,MANAGER ACHIZITII,1,46908870
adela.condurache@hidroserv.ro,S.S.H. HIDROSERV S.A.,Specialiști / Tehnicieni,Alba,MAISTRU ENERGETICIAN/ELECTRICIAN,1,32097794
adela.predescu@radissonblu.com,NEMO INVESTMENT VEHICLE S.A.,Turism / Alimentație,Municipiul București,AJUTOR OSPATAR,1,38520000
adela.teban@argentometal.ro,GRUP SIMEX SRL,Producție / Logistică,Mureș,OPERATOR LA MASINI-UNELTE SEMIAUTOMATE SI AUTOMATE,5,14953210
adela.tirban@vpkgroup.com,VPK PACKAGING SRL,Producție / Logistică,Bihor,LACATUS MECANIC,1,20571656
adelina.bordei@insight.com,AMDARIS ROMÂNIA SRL,IT / Telecomunicații,Timiș,PROGRAMATOR,4,30522820
adeline.schwartzkopf@weidmuller-lugoj.ro,WEIDMULLER LUGOJ SRL,Producție / Logistică,Timiș,"MUNCITOR NECALIFICAT LA ASAMBLAREA, MONTAREA PIESELOR",5,6011700
adeverinte.hr@prospectiuni.com,PROSPECTIUNI SA,Altele,Municipiul București,OPERATOR-PROSPECTOR LUCRARI GEOLOGICE SI GEOFIZICE,1,1552801
adina.andrei@hidroelectrica.ro,"SOCIETATEA DE PRODUCERE A ENERGIEI ELECTRICE IN HIDROCENTRALE ""HIDROELECTRICA"" SA BUCUREŞTI SUCURSALA HIDROCENTRALE BISTRIŢA",Producție / Logistică,Neamț,INGINER ELECTRICIAN,1,5603924
adina.ceclan@diferit.eu,ECO DIF SOLUTION SRL,Construcții / Instalații,Cluj,ELECTRICIAN DE ÎNTRETINERE SI REPARATII,1,23935743
adina.magdici@quartzmatrix.ro,QUARTZ MATRIX SRL,Vânzări,Iași,REPREZENTANT COMERCIAL,2,5150840
adina.maracine@diana.com.ro,DIANA COM SRL,Retail,Gorj,MANIPULANT MARFURI,7,14572789
adina.muntean@ceccobruna.ro,CECCO BRUNA 2011 SRL,Producție / Logistică,Sibiu,"MAROCHINER-CONFECTIONER MAROCHINARIE, DUPA COMANDA",6,29087146
adinamoldovan@noreck.ro,SEV STRUCTURI SRL,Construcții / Instalații,Cluj,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET",1,31086312
adjunct@capitalsuceava.ro,BANCA COOPERATISTA CAPITAL SUCEAVA,Contabilitate / Financiar,Suceava,OPERATOR GHISEU BANCA,1,2693507
admin.payroll@aumovio.com,AUMOVIO Systems Romania SRL,Producție / Logistică,Sibiu,ANALIST CUMPARARI/CONSULTANT FURNIZORI,2,17679640
admin@chemfor.eu,CHEMFOR BALKAN SRL,Inginerie,Prahova,INGINER PETROLIST,5,42593973
admin@nistorcce.ro,NISTOR CCE SRL,Construcții / Instalații,,MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST),1,44603607
admin@powerline.ro,POWERLINE SRL,IT / Telecomunicații,Botoșani,SEF BIROU COMERT CU RIDICATA SI CU AMANUNTUL,1,19037531
administration@selecthotels.it,GRAND HOTEL SRL,Turism / Alimentație,Cluj,LUCRATOR BUCATARIE (SPALATOR VASE MARI),10,18862670
administrativ@hotelstil.com,ANDRA COM INTERNATIONAL SERVIC,Turism / Alimentație,Cluj,FEMEIE DE SERVICIU,2,228409
adrian.boboc@creative-cnc.ro,CREATIVE CNC SRL,Altele,Timiș,OPERATOR LA MASINI-UNELTE CU COMANDA NUMERICA,1,30174327
adrian.chirtes@rodacia.ro,RO DACIA COM SRL,COMERT,Mureș,MANIPULANT MARFURI,1,7893360
adrian.iusan@hirsch-gruppe.com,HIRSCH POROZELL SRL,Producție / Logistică,Cluj,OPERATOR MASE PLASTICE,6,18198580
adrian@eurostoc.ro,EUROSTOC ONLINE INTERNATIONAL S.R.L.,COMERT,Alba,UCENIC,1,40769403
adrian@getvizual.ro,GETVIZUAL MEDIA SRL,Marketing,Sibiu,SPECIALIST ÎN RELATII PUBLICE,1,46332873
adrian@salonb.ro,NONLINIAR MOB S.R.L.,PRODUCTIE MOBILA,Cluj,REGLOR MASINI DE PRELUCRAT LEMN,1,46293812
adriana.alecu@hidrosalt2020.ro,HIDROSALT92 SRL,Construcții / Instalații,Municipiul București,"INSTALATOR APA, CANAL",22,8309185
adriana.avram@constam.ro,CONSTAM PROCESARE OŢEL SRL,Construcții / Instalații,Buzău,Conducător auto transport rutier de mărfuri,2,34318948
adriana.boca@comsig.ro,COMSIG AUTOMOBILE SRL,COMERT,Bistrița-Năsăud,CONTABIL,1,17157507
adriana.brehui@bstech.ro,BLUESPACE TECHNOLOGY SA,Inginerie,Ilfov,TEHNICIAN ELECTRONICA,2,28627965
adriana.ioan@inflpr.ro,"INSTITUTUL NATIONAL DE CERCETARE DEZVOLTARE PENTRU FIZICA LASERILOR, PLASMEI SI RADIATIEI - INFLPR RA",Altele,Ilfov,ASISTENT DE CERCETARE ÎN FIZICA,2,9052135
adriana.martin@omnigroup.ro,OMNI CESTARO GROUP SRL,Construcții / Instalații,Tulcea,TUBULATOR NAVAL,40,18799874
adriana.neculache@wattunit.com,watt unit,Producție / Logistică,Constanța,ELECTRICIAN ECHIPAMENTE ELECTRICE SI ENERGETICE,5,25349007
adriana.opincariu@pelletteriefiorentine.ro,PELLETTERIE FIORENTINE S.R.L.,Producție / Logistică,Alba,"MAROCHINER-CONFECTIONER MAROCHINARIE, DUPA COMANDA",3,34937529
adriana.sabou@unisys.ro,UNIVERSAL CO S.A.,FABRICAREA ARTICOLELOR DE IMBRACAMINTE,Sălaj,"MECANIC INTRETINERE SI REPARATII UTILAJE DIN INDUSTRIA TEXTILA, CONFECTII SI INCALTAMINTE",1,8086997
adriana.simuleac@tgie.ro,SCANDIC DISTILLERIES SA,Specialiști / Tehnicieni,Bihor,INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE,1,12601233
adriana.togan@elj-automotive.ro,ELJ AUTOMOTIVE S.A.,Altele,Dâmbovița,MUNCITOR NECALIFICAT LA AMBALAREA PRODUSELOR SOLIDE SI SEMISOLIDE,1,18890262
adriannicolae.ferchiu@joysonsafety.com,JOYSON SAFETY SYSTEMS SIBIU S.R.L.,Producție / Logistică,Sibiu,CONFECTIONER-ASAMBLOR ARTICOLE DIN TEXTILE,10,39331344
aflorea@frigoglass.com,FRIGOGLASS ROMANIA SRL,Producție / Logistică,Timiș,SUDOR MANUAL CU ARC ELECTRIC,1,6469724
agneta.micoara@gualapack.com,GUALA PACK NADAB SRL,Producție / Logistică,Arad,STIVUITORIST,2,27810947
aida.andritoiu@nestlersgroup.com,S.C. XPATH.GLOBAL SRL,Altele,Municipiul București,AGENT SERVICII CLIENT,2,21775247
ajofm.gr@anofm.gov.ro,AGENTIA JUDETEANA PENTRU OCUPAREA FORTEI DE MUNCA GIURGIU,Altele,Giurgiu,CONSILIER INSTITUTII PUBLICE,1,11358536
akheron@akheronserv.com,AKHERON SERV SRL,Agricultură / Zootehnie,Bihor,SPECIALIST ÎN RELATII PUBLICE,1,10410091
alba@medima.ro,MEDIMA HEALTH S.A.,Medicină / Sănătate /Psihoterapie,Alba,REPREZENTANT MEDICAL,1,37839517
albert@albertcomimpex.ro,ALBERT COMIMPEX SRL,Servicii transport / curierat,Argeș,Conducător auto transport rutier de mărfuri,5,6388018
alex.hr@elec.ro,WELEAD MOBILITY S.A.,Servicii transport / curierat,Ilfov,SOFER DE AUTOTURISME SI CAMIONETE,150,38311284
alex@deutschermarkt.ro,AM DEUTSCHER MARKT S.R.L.,Retail,Prahova,LUCRATOR COMERCIAL,1,39276991
alexander.graffius@ovosib.ro,OVO PRODUCT COOPERATIVA AGRICO,Agricultură / Zootehnie,Sibiu,AMBALATOR MANUAL,5,29542239
alexandra.bargau@goldenfoods.com.ro,GOLDEN FOODS SNACKS S.A.,Producție / Logistică,Prahova,AMBALATOR MANUAL,1,24645268
alexandra.bitu@farplas-smart.com,FARPLAS SMART SOLUTIONS S.A.,Producție / Logistică,Argeș,SCULER-MATRITER,1,42511434
alexandra.caneta@yazaki-europe.com,YAZAKI ROMANIA SRL,Producție / Logistică,,MONTATOR SUBANSAMBLE,31,15412557
alexandra.cauia@tri-wall.ro,TRI-WALL ROMÂNIA S.R.L.,Producție / Logistică,Iași,OPERATOR LA MASINI-UNELTE CU COMANDA NUMERICA,3,38958095
alexandra.dosaru@osmet.ro,OSMET SRL,Construcții / Instalații,Ialomița,LACATUS MECANIC,4,15299050
alexandra.dragoi@ferma-stoian.ro,S.C. BIG LAND COMPANY S.R.L.,Altele,Constanța,MUNCITOR NECALIFICAT ÎN AGRICULTURA,5,14637829
