email,company_name,sector,county,job_title,positions_available,company_org_number
2425@magazin.profi.ro,ZAMIRA IMPEX SRL,COMERT,Suceava,LUCRATOR COMERCIAL,1,47712579
a.bradea@sercaver.ro,SERCAVER SRL,Altele,Bistrița-Năsăud,MONTATOR SUBANSAMBLE,5,23114098
a.ciuciuc@ceb4.ro,WEBUILD SPA MILANO SUCURSALA ROMANIA BUCURESTI,Construcții / Instalații,Bihor,"MUNCITOR NECALIFICAT LA ÎNTRETINEREA DE DRUMURI, SOSELE, PODURI, BARAJE",1,6669684
a.coman@accountant.com,S.C.PIRAMIDA BUSINESS MANAGEME,COMERT,Municipiul București,LUCRATOR COMERCIAL,3,35368804
a.mihalea@p-csystem.com,PCM ROM SRL,Construcții / Instalații,Giurgiu,INGINER MECANIC,1,31085090
aandronic.mihaela@yahpp.com,ELYO-TIPA S.R.L.,Construcții / Instalații,Suceava,SOFER DE AUTOTURISME SI CAMIONETE,1,46182660
abonat@ppprotectsecurity.ro,PP PROTECT SECURITY SRL,Armată / Pază/ Protecție,Cluj,GESTIONAR DEPOZIT,1,32401540
accounting@companyromania.com,HL ENGINEERING SRL,Altele,Timiș,AMBALATOR MANUAL,1,50831812
accounting@mindtheg.com,GLOBAL ART PRODUCTION SRL,Administrativ / Secretariat,Mureș,FEMEIE DE SERVICIU,1,26340510
accounting@ragmet.com,RAGMET RAFFINERIA SRL,Altele,Ilfov,LUCRATOR SORTATOR DESEURI RECICLABILE,20,45075550
acicluj@mail.dntcj.ro,ACI CLUJ SA,Altele,Cluj,LACATUS MECANIC,4,200513
adalcisa.lupu@ro.post,COMPANIA NATIONALA POSTA ROMANA S.A. BUCURESTI SUCURSALA CONSTANTA,Altele,Buzău,CURIER,2,40711789
adela.bucur@quadra.com,QUADRA COMMODITIES ROMANIA S.R.L,Vânzări,Municipiul București,MANAGER ACHIZITII,1,46908870
adela.condurache@hidroserv.ro,S.S.H. HIDROSERV S.A.,Specialiști / Tehnicieni,Alba,MAISTRU ENERGETICIAN/ELECTRICIAN,1,32097794
adela.predescu@radissonblu.com,NEMO INVESTMENT VEHICLE S.A.,Turism / Alimentație,Municipiul București,AJUTOR OSPATAR,1,38520000
adela.tirban@vpkgroup.com,VPK PACKAGING SRL,Producție / Logistică,Bihor,LACATUS MECANIC,1,20571656
adelina.bordei@insight.com,AMDARIS ROMÂNIA SRL,IT / Telecomunicații,Timiș,PROGRAMATOR,4,30522820
adina.ceclan@diferit.eu,ECO DIF SOLUTION SRL,Construcții / Instalații,Cluj,ELECTRICIAN DE ÎNTRETINERE SI REPARATII,1,23935743
adinamoldovan@noreck.ro,SEV STRUCTURI SRL,Construcții / Instalații,Cluj,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET",1,31086312
adjunct@capitalsuceava.ro,BANCA COOPERATISTA CAPITAL SUCEAVA,Contabilitate / Financiar,Suceava,OPERATOR GHISEU BANCA,1,2693507
admin.payroll@aumovio.com,AUMOVIO Systems Romania SRL,Producție / Logistică,Sibiu,ANALIST CUMPARARI/CONSULTANT FURNIZORI,2,17679640
admin@nistorcce.ro,NISTOR CCE SRL,Construcții / Instalații,,MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST),1,44603607
adrian@getvizual.ro,GETVIZUAL MEDIA SRL,Marketing,Sibiu,SPECIALIST ÎN RELATII PUBLICE,1,46332873
adrian@salonb.ro,NONLINIAR MOB S.R.L.,PRODUCTIE MOBILA,Cluj,REGLOR MASINI DE PRELUCRAT LEMN,1,46293812
adriana.avram@constam.ro,CONSTAM PROCESARE OŢEL SRL,Construcții / Instalații,Buzău,Conducător auto transport rutier de mărfuri,2,34318948
adriana.boca@comsig.ro,COMSIG AUTOMOBILE SRL,COMERT,Bistrița-Năsăud,CONTABIL,1,17157507
adriana.ioan@inflpr.ro,"INSTITUTUL NATIONAL DE CERCETARE DEZVOLTARE PENTRU FIZICA LASERILOR, PLASMEI SI RADIATIEI - INFLPR RA",Altele,Ilfov,ASISTENT DE CERCETARE ÎN FIZICA,2,9052135
adriana.martin@omnigroup.ro,OMNI CESTARO GROUP SRL,Construcții / Instalații,Tulcea,TUBULATOR NAVAL,40,18799874
adriana.simuleac@tgie.ro,SCANDIC DISTILLERIES SA,Specialiști / Tehnicieni,Bihor,INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE,1,12601233
aflorea@frigoglass.com,FRIGOGLASS ROMANIA SRL,Producție / Logistică,Timiș,SUDOR MANUAL CU ARC ELECTRIC,1,6469724
agneta.micoara@gualapack.com,GUALA PACK NADAB SRL,Producție / Logistică,Arad,STIVUITORIST,2,27810947
aida.andritoiu@nestlersgroup.com,S.C. XPATH.GLOBAL SRL,Altele,Municipiul București,AGENT SERVICII CLIENT,2,21775247
ajofm.gr@anofm.gov.ro,AGENTIA JUDETEANA PENTRU OCUPAREA FORTEI DE MUNCA GIURGIU,Altele,Giurgiu,CONSILIER INSTITUTII PUBLICE,1,11358536
akheron@akheronserv.com,AKHERON SERV SRL,Agricultură / Zootehnie,Bihor,SPECIALIST ÎN RELATII PUBLICE,1,10410091
alba@medima.ro,MEDIMA HEALTH S.A.,Medicină / Sănătate /Psihoterapie,Alba,REPREZENTANT MEDICAL,1,37839517
alex.hr@elec.ro,WELEAD MOBILITY S.A.,Servicii transport / curierat,Ilfov,SOFER DE AUTOTURISME SI CAMIONETE,150,38311284
alex@deutschermarkt.ro,AM DEUTSCHER MARKT S.R.L.,Retail,Prahova,LUCRATOR COMERCIAL,1,39276991
alexandra.bargau@goldenfoods.com.ro,GOLDEN FOODS SNACKS S.A.,Producție / Logistică,Prahova,AMBALATOR MANUAL,1,24645268
alexandra.bitu@farplas-smart.com,FARPLAS SMART SOLUTIONS S.A.,Producție / Logistică,Argeș,SCULER-MATRITER,1,42511434
alexandra.cauia@tri-wall.ro,TRI-WALL ROMÂNIA S.R.L.,Producție / Logistică,Iași,OPERATOR LA MASINI-UNELTE CU COMANDA NUMERICA,3,38958095
alexandra.dosaru@osmet.ro,OSMET SRL,Construcții / Instalații,Ialomița,LACATUS MECANIC,4,15299050
alexandra.dragoi@ferma-stoian.ro,S.C. BIG LAND COMPANY S.R.L.,Altele,Constanța,MUNCITOR NECALIFICAT ÎN AGRICULTURA,5,14637829
alexandra.niculae@terragaz.ro,TERRA GAZ CONSTRUCT SRL,Construcții / Instalații,Ilfov,MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST),4,10376216
alexandra.prozan@sefar.com,SEFAR SRL,Altele,Mureș,"CONFECTIONER, PRELUCRATOR ÎN INDUSTRIA TEXTILA",3,18019910
alexandra.radu@algeco.com,S.C. ALGECO S.R.L.,Construcții / Instalații,Ilfov,REPREZENTANT COMERCIAL,1,21970426
alexandra@delarte.ro,DELARTE FOOD SRL,Altele,Ilfov,LUCRATOR BUCATARIE (SPALATOR VASE MARI),4,30683886
alexandru.dobroiu@topmop.ro,S.C.TOP DDD STATION SRL,Au pair / Babysitter / Curățenie,Municipiul București,MANAGER PROIECT,1,36297108
alexandru.golea@royalprogaz.ro,ROYAL PROGAZ,COMERT,Bacău,AGENT DE VÂNZARI,1,47362341
alexandru.petric@zooagrotraiani.ro,ZOO AGRO TRAIANI SRL,Agricultură / Zootehnie,Constanța,ÎNGRIJITOR ANIMALE,2,17884769
alexandru.pop@ttbiotec.com,TT BIOTEC SRL,Producție / Logistică,Maramureș,LUCRATOR SORTATOR DESEURI RECICLABILE,3,48435379
alin.balan@gixen.ro,GIXEN SRL,Altele,Călărași,MANIPULANT MARFURI,1,9053467
alin.danila@pttexpress.ro,POȘTA TABITA TOUR,Servicii transport / curierat,Alba,MANIPULANT MARFURI,1,42927194
alin.juca@iuliustown.ro,LIGHT CLEANING SRL,Au pair / Babysitter / Curățenie,Timiș,ÎNGRIJITOR CLADIRI,2,18857550
alin_bica@supeco.ro,SUPECO INVESTMENT SRL,COMERT,Bihor,LUCRATOR COMERCIAL,1,33067767
alina.andronic@romstal.ro,ROMSTAL IMEX SRL,COMERT,Municipiul București,BRAND MANAGER,2,5990324
alina.bornaz@elcargid.ro,ELCAR GID SRL,SERVICE AUTO,Buzău,ELECTRICIAN AUTO,1,15204785
alina.bucataru@croco.ro,CROCO SRL,Altele,Bacău,AMBALATOR MANUAL,3,6268054
alina.filip@droker.ro,DROKER SRL,Producție / Logistică,Alba,CONTROLOR CALITATE,1,12485074
alina.letan@almainstal.ro,ALMA INSTAL AMC SRL,Construcții / Instalații,Ilfov,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET",8,41062639
alina.lung@leoni.com,LEONI WIRING SYSTEMS ARAD SRL,Producție / Logistică,Arad,SPECIALIST MENTENANTA ELECTROMECANICA-AUTOMATICA ECHIPAMENTE INDUSTRIALE,4,11385425
alina.mocanu@pro-therm.ro,SEA STORE S.R.L.,Construcții / Instalații,Prahova,INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE,2,40925260
alina.muresan@vatabai.ro,COMPLEX VAȚA BĂI S.R.L.,RESTAURANTE,Hunedoara,OSPATAR (CHELNER),1,45441376
alina.pogor@omcomould.com,OMCO ROMANIA SRL,Producție / Logistică,Iași,OPERATOR LA MASINI-UNELTE CU COMANDA NUMERICA,3,17891928
alina.uifalean@visa-sa.com,VISA S.R.L.,Construcții / Instalații,Hunedoara,FAIANTAR,3,6146812
alina.valentina.serban@blum.com,BLUM ROMANIA SRL,Altele,,SPECIALIST ÎN RELATII PUBLICE,1,7177000
alina.vulpe@popeci.ro,S.C. POPECI AUTO S.R.L.,SERVICE AUTO,Dolj,PROGRAMATOR DE SISTEM INFORMATIC,1,14174058
alina@emea-invest.ro,ALEXIA CANDY SHOP SRL,Vânzări,Argeș,CASIER ÎNCASATOR,1,45586326
alina@energometal.ro,ENERGOMETAL TERMOSERV SRL,Construcții / Instalații,Călărași,LACATUS MECANIC,1,36942777
alinag@neoclinique.org,NEOCLINIQUE NEOCARE SRL,Altele,,FEMEIE DE SERVICIU,1,25405360
alisa.buzica@camen.ro,ECOGRAFIE 3D SRL,Medicină / Sănătate /Psihoterapie,Dolj,MEDIC SPECIALIST,1,14131812
allegria@oron.ro,ALLEGRIA TURISM SRL,RESTAURANTE,Bihor,AJUTOR OSPATAR,1,31555494
amalia.sobec@holcim.com,SOMACO GRUP PREFABRICATE SRL,Construcții / Instalații,Neamț,FINISOR TERASAMENTE,2,22424341
amalia.stan@schnellleitung.ro,SCHNELL LEITUNG SA,Construcții / Instalații,Prahova,SAPATOR MANUAL,3,13014130
ambrus.szabolcs@bayersecurity.ro,S.C. BAYER SECURITY S.R.L.,Altele,Harghita,AGENT DE SECURITATE,2,49073358
ana.androne@globalworker.ro,CORCHIŞ DUMITRU CONSTRUCT SRL,Altele,Timiș,ZIDAR ROSAR-TENCUITOR,5,36596614
ana.coritar@sindtour.ro,SIND TOUR TRADING SRL,Turism / Alimentație,Bihor,SEF RESTAURANT,1,26616528
ana.maier@blackseasuppliers.ro,BLACK SEA SUPPLIER -P.L RESITA,COMERT,Caraș-Severin,INGINER MECANIC,2,16375309
ana@dafcons.ro,DAF CONSULTING MANAGEMENT S.R.L.,Altele,Ilfov,FEMEIE DE SERVICIU,1,34368598
ana@ig.ro,Infoservice Alba SRL,Specialiști / Tehnicieni,Alba,TEHNICIAN ECHIPAMENTE DE CALCUL SI RETELE,1,52109524
