company,email,phone,source_table
3DFABRICA TM SRL,rootu2003@yahoo.com,0724522518,anofm_new_alte_20260314_0cf00e61
3X RETAIL S.R.L.,3xretail@gmail.com,0729246980,anofm_jobs_20260220_153333_20260314_549f40d5
4 COLTURI S.R.L.,deacioancatalin@gmail.com,0745033836,anofm_jobs_20260309_091938_20260314_74c23d98
AAB FIRST AUTO SRL,liviububulete@gmail.com,0765390346,anofm_jobs_20260220_153333_20260314_549f40d5
AAHM-OTP S.R.L,mirela.obreja@hilton.com,0738830249,anofm_jobs_20260220_153333_20260314_549f40d5
ABC RESURSEBROD S.R.L.,hochianioan@yahoo.com,740456867,anofm_new_curierat_20260314_17b33dec
AB GROUP CERAMICS S.R.L.,office@kaminhorn.ro,0748602891,anofm_jobs_20260220_153333_20260314_549f40d5
ABIMAR AUTO S.R.L.,abimar@yahoo.com,0742310917,anofm_jobs_20260220_153333_20260314_549f40d5
ABITIM GHEDI S.R.L.,timeli.importexport@yahoo.com,0749310834,anofm_jobs_20260309_091938_20260314_74c23d98
ABM FACADE SYSTEMS S.R.L.,violeta@abmyapi.com,0730854697,anofm_jobs_20260220_153333_20260314_549f40d5
ACADEMIA VIITORULUI S.R.L.,academiaviitorului25@gmail.com,0751664436,anofm_jobs_20260220_153333_20260314_549f40d5
ACCES AUTO TRADING SRL,ciprian@aat.ro,0786666523,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ACE EXPERTISE S.R.L.,catalinexpert@ymail.com,0729149509,anofm_new_alte_20260314_0cf00e61
ACESORI METALICE S.R.L.,contafex@gmail.com,0759013494,anofm_jobs_20260220_153333_20260314_549f40d5
ACS INDUSTRIES EUROPE SRL,ldiaconu@acsind.com,0744775041,anofm_jobs_20260220_153333_20260314_549f40d5
ACTIVE AMBIENT S.R.L.,office@activeambient.ro,0264322447,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ADAMSID S.R.L.,pstela71@gmail.com,0773846142,anofm_jobs_20260220_153333_20260314_549f40d5
AD AUTO TOTAL SRL,georgian.radu@autotal.ro,0756123919,anofm_jobs_20260309_091938_20260314_74c23d98
ADECCO IT OUTSOURCING S.R.L.,ioan.popa@modis.com,0722529265,anofm_jobs_20260309_123436_20260314_274578d5
ADELFIAGRUP S.R.L.,business_center15@yahoo.com,0755084494,anofm_jobs_20260220_153333_20260314_549f40d5
ADELIAN S.R.L.,dana_lele2000@yahoo.com,0740245532,anofm_jobs_20260220_153333_20260314_549f40d5
ADEPLAST S.R.L.,dijmarescu.anton@ro.sika.com,0749 233 433,anofm_jobs_20260309_091938_20260314_74c23d98
ADHOC IMPEX SRL,schela.claudiu@yahoo.com,0742181335,anofm_jobs_20260220_153333_20260314_549f40d5
AD HOTEL&EVENT'S S.R.L.,luminital2009@gmail.com,0783228098,anofm_jobs_20260313_083455_20260314_3eab569a
ADI-GABI S.R.L.,scadigabisrl@yahoo.com,0740342393,anofm_jobs_20260220_153333_20260314_549f40d5
ADI MOB STAR S.R.L.,adriannazarie@gmail.com,0746647891,anofm_jobs_20260220_153333_20260314_549f40d5
ADINA TOP TEAM S.R.L.,rdk_resurserumane@yahoo.com,0748926839,anofm_new_curierat_20260314_17b33dec
ADISOR BĂRA MARKET S.R.L.,baraelena15@gmail.com,0763584923,anofm_jobs_20260220_153333_20260314_549f40d5
ADMINISTRATIA ZONEI LIBERE BRAILA RA,office@zonaliberabraila.ro,0239611655,anofm_jobs_20260309_091938_20260314_74c23d98
ADM ROMANIA LOGISTICS S.R.L.,office@minmetal.ro,0241/603247,anofm_jobs_20260220_153333_20260314_549f40d5
ADNA RAV CLEAN S.R.L.,office@analizaserv.ro,0764218182,anofm_jobs_20260220_153333_20260314_549f40d5
AD PROINVEST ONE S.R.L.,a.d_connect@yahoo.com,0755996094,anofm_jobs_20260220_153333_20260314_549f40d5
ADVERUM BUSINESS S.R.L.,lungu.alina18@gmail.com,0730110391,anofm_jobs_20260311_083428_20260314_70886e3a
ADVICE SUPORT SOLUTIONS S.R.L.,dumitrukarina37@gmail.com,0722590760,anofm_jobs_20260313_083455_20260314_3eab569a
ADY SIG CONSTRUCT S.R.L.,adriana.lazar33@yahoo.com,0735852563,anofm_jobs_20260220_153333_20260314_549f40d5
ADYSIMAUTO GMBH CARS S.R.L.,adysim2007@yahoo.com,0768639219,anofm_jobs_20260309_091938_20260314_74c23d98
ADYSYM IMPEX SRL,siminatodor@yahoo.com,0744774153,anofm_jobs_20260309_091938_20260314_74c23d98
AECOM ENGINEERS & CONSTRUCTORS ROMANIA S.R.L.,anda.iorgulescu@aecom.com,0741092111,anofm_jobs_20260220_153333_20260314_549f40d5
A-E ELECTRONICS SA,anca.leanca@aee.ro,0234.585800,anofm_jobs_20260220_153333_20260314_549f40d5
AERPO MKD CONSTRUCT S.R.L.,aerpomkdconstruct@yahoo.com,0723331999,anofm_new_alte_20260314_0cf00e61
AGAT PRODEX SRL,agat_prodex@yahoo.com,0744598622,anofm_jobs_20260309_091938_20260314_74c23d98
AGROALIMENT SRL,agroaliment91@gmail.com,0040724044824,anofm_jobs_20260309_091938_20260314_74c23d98
AGRO FLOR PROD SRL,agroflorprod@yahoo.com,0722378809,anofm_new_productie_20260314_40b9f91f
AGRO INFINITY S.R.L.,hello@agroinfinity.eu,0728575065,anofm_new_alte_20260314_0cf00e61
AGROLINEVOL S.R.L.,agrolineoffice@yahoo.com,0738850710,anofm_jobs_20260220_153333_20260314_549f40d5
AGRO PELLET INDUSTRY S.R.L.,raul.avramut@termoproedil.ro,0773814375,anofm_jobs_20260220_153333_20260314_549f40d5
AGRO PROD COM DOSA SRL,agroproddosa@yahoo.com,0265/261700,anofm_new_alte_20260314_0cf00e61
AGRO PROD COMPAN SRL,marik_florian@yahoo.com,0747881890,anofm_5_30pos_older_than_30_days_20260314_66bc9356
AGROVIS S.R.L.,radu.condurateanu@carmistin.ro,0733028045,anofm_5_30pos_older_than_30_days_20260314_66bc9356
AGY AGO CONSTRUCT S.R.L.,andrisoidragos@yahoo.com,0769687352,anofm_jobs_20260220_153333_20260314_549f40d5
AHL AUTO RENT SRL,petru@dataserv.ro,0723539891,anofm_jobs_20260313_083455_20260314_3eab569a
AIDA BEST CONSTRUCT S.R.L.,aidabestconstruct@yahoo.com,0734750736,anofm_jobs_20260220_153333_20260314_549f40d5
AIRBUS HELICOPTERS ROMANIA S.A.,aurelia.prajeu@airbus.com,0268303001,anofm_jobs_20260220_153333_20260314_549f40d5
AISA FAMILY STORE S.R.L.,mariaionela7@yahoo.com,0758618833,anofm_jobs_20260220_153333_20260314_549f40d5
AKA AUTOMOTIV SRL,mpopescu@akaoto.com.tr,0741258673,anofm_jobs_20260220_153333_20260314_549f40d5
AKAN CONCEPT S.R.L.,akanconcept2017@gmail.com,0761615912,anofm_jobs_20260220_153333_20260314_549f40d5
AKATA SIB INVEST S.R.L.,catalintalpos73@gmail.com,0731304062,anofm_jobs_20260309_091938_20260314_74c23d98
AKKODIS ROMANIA S.R.L.,hr.romania@akkodis.com,0759047606,anofm_jobs_20260220_153333_20260314_549f40d5
AKKP CAPITAL INVESTMENT S.R.L.,akkp.office@gmail.com,0724089814,anofm_5_30pos_older_than_30_days_20260314_66bc9356
AKMOBEIDAT HOLDING S.R.L.,akmobeidatconstruct@gmail.com,+40 720 638 838,anofm_5_30pos_older_than_30_days_20260314_66bc9356
AKOT COUNTRY FOOD S.R.L.,countrypubms@gmail.com,0746427838,anofm_jobs_20260313_083455_20260314_3eab569a
ALBA DONER PRODUCTION SRL,albadoner@hotmail.fr,0772209632,anofm_jobs_20260220_153333_20260314_549f40d5
ALBERT AROMA PĂDURII S.R.L.,aromapadurii@gmail.com,0747952043,anofm_jobs_20260220_153333_20260314_549f40d5
ALBERT COMIMPEX SRL,albert@albertcomimpex.ro,0722359035,anofm_jobs_20260220_153333_20260314_549f40d5
ALBERTO INDEPENDENTWORK S.R.L.,cosdanovi@gmail.com,0768360084,anofm_jobs_20260220_153333_20260314_549f40d5
ALBINA RESTAURANTE S.R.L.,hr@fryday.ro,0751222267,anofm_jobs_20260220_153333_20260314_549f40d5
ALBINSTAL GAZ S.R.L.,fincontprestserv@yahoo.com,0751129060,anofm_jobs_20260309_091938_20260314_74c23d98
ALEECURIER S.R.L.,condurachepaula91@gmail.com,0741279971,anofm_jobs_20260309_091938_20260314_74c23d98
ALEGRETO TEX S.R.L.,alegretotex@gmail.com,0734126430,anofm_jobs_20260220_153333_20260314_549f40d5
ALEION FLOR TRANS S.R.L.,radupop0604@yahoo.com,0742166765,anofm_new_curierat_20260314_17b33dec
ALERO SERVIMPEX S.R.L.,alero_bt@xahoo.com,0231/532660,anofm_new_constructii_20260314_8477685f
ALERT BUSINESS S.R.L.,ilie.adrian11@yahoo.com,0749013162,anofm_jobs_20260311_083428_20260314_70886e3a
ALESANT INSTAL S.R.L.,catalin.anyday@gmail.com,0722559951,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ALESIA CONFORT SHOES S.R.L.,alesiaconfortshoes@gmail.com,0721243986,anofm_jobs_20260220_153333_20260314_549f40d5
AleTech Electric,office@aletech.ro,0770654708,anofm_new_alte_20260314_0cf00e61
ALEXANDREEA CONSTRUCT S.R.L.,alexandru.pate@yahoo.com,785380254,anofm_jobs_20260311_083428_20260314_70886e3a
ALEXCOM IMPEX SRL,info@solyomrestaurant.ro,0743069084,anofm_jobs_20260309_091938_20260314_74c23d98
ALEXIA ALI COM S.R.L.,stiopudorel@gmail.com,0741986957,anofm_new_alte_20260314_0cf00e61
ALEXIS PROD PAN SRL,pastravaria.alex@yahoo.com,0747229628,anofm_jobs_20260313_160855_20260314_6a442ca2
ALFA DECO INVEST S.R.L,deco_spor@yahoo.com,0742058892,anofm_new_constructii_20260314_8477685f
ALFA DECOR S.R.L.,emil.bejan@yahoo.com,0748484838,anofm_jobs_20260309_091938_20260314_74c23d98
ALFA HOTELS SRL,hr@alfahotels.ro,0737553842,anofm_5_30pos_older_than_30_days_20260314_66bc9356
ALGINA ELECTRIC SRL,algina_electric@yahoo.com,0746505981,anofm_jobs_20260220_153333_20260314_549f40d5
ALICOS CONTEXPERT S.R.L.,costea.alis2021@gmail.com,0743105421,anofm_jobs_20260309_091938_20260314_74c23d98
ALIDANCOS PRODUCT SRL,alidancosproduct@yahoo.com,0749450074,anofm_jobs_20260220_153333_20260314_549f40d5
ALIDOVANDRE COM S.R.L.,magazin3040@profi.ro,0764811765,anofm_jobs_20260220_153333_20260314_549f40d5
ALINUTZA KIDS PARTY S.R.L. ,micalina12@gmail.com,074022288,anofm_jobs_20260309_091938_20260314_74c23d98
ALLEGRIA EUROPE S.R.L.,allegriaeurope@yahoo.com,0750183868,anofm_new_turism_20260314_17f0d9ec
