name,cui,caen,emp,turnover,email,phone,source_table
ASOCIATIA JUDETEANA A VINATORILOR SI PESCARILOR SPORTIVI,3230314,17,368599,2288844,,,
ASOCIATIA GENERALA A VINATORILOR SI PESCARILOR SPORTIVI DIN ROMANIA FILIALA IALOMITA ASOCIATIA OCM,2653502,17,128511,851373,,,
REGIA NATIONALA A PADURILOR ROMSILVA RA,1590120,21,13625,2986336165,,,
AUTOMOBILE-DACIA SA,160796,29,10987,27814242258,,,
AUTOLIV ROMANIA SRL,9641092,29,8561,6060221610,,,
FORD OTOSAN ROMANIA S.R.L.,6488696,29,6356,18623420470,,,
ARAMIS INVEST SRL,6793010,31,6070,1948001996,,,
ROBERT BOSCH SRL,5541546,29,5876,8104674846,,,
HELLA ROMANIA SRL,16297090,29,5569,4369789354,,,
MICHELIN ROMANIA SA,13663684,22,5096,5687081037,,,
MICHELIN ROMANIA S.A.,13663684,22,5096,5687081037,,,
SCHAEFFLER ROMANIA SRL,14882941,28,4366,3367555260,,,
INA Romania SRL,14882941,28,4366,3367555260,,,
PIRELLI TYRES ROMANIA SRL,17060414,22,4354,4418783020,,,
LEAR CORPORATION ROMANIA SRL,13241086,29,4027,1641044456,,,
LEAR CORPORATION ROMANIA SRL,13241086,29,4027,1641044456,,,
SE BORDNETZE SRL,26649690,29,3960,893513814,,,
AUTOMOTIVE WIRING SYSTEM SRL,26649690,29,3960,893513814,,,
DE'LONGHI ROMANIA SRL,29527204,27,3843,2980118764,resurseumane.salonta.ro@delonghigroup.com,0758221964,anofm_jobs_20260220_153333_20260314_549f40d5
EMERSON SRL,18284762,26,3634,2323505890,reception.a2@emerson.com,0374132000,anofm_jobs_20260220_153333_20260314_549f40d5
YAZAKI ROMANIA SRL,15412557,29,3623,1095214991,ana.condrat@yazaki-europe.com,0372449100,anofm_jobs_20260220_153333_20260314_549f40d5
ADIENT AUTOMOTIVE ROMANIA SRL,35377500,29,3141,1464433327,,,
FLEXTRONICS ROMANIA SRL,10608391,26,2815,723597547,,,
APTIV TECHNOLOGY SERVICES & SOLUTIONS S.R.L.,9022584,29,2765,1444364929,,,
ASTRA RAIL INDUSTRIES SRL,29922041,30,2746,1518791010,,,
GREENBRIER ROMANIA S.A.,29922041,30,2746,1518791010,astra.cuna.nicoleta.alina@gmail.com,0733105758,anofm_jobs_20260309_091938_20260314_74c23d98
TINERVIS GROUP SRL,27329545,10,2691,617120350,recrutare@lucatraditie.ro,0771.132.167,anofm_5_30pos_older_than_30_days_20260314_66bc9356
UNIVERSAL ALLOY CORPORATION EUROPE SRL,23000336,30,2685,1521842671,,,
TRW AUTOMOTIVE SAFETY SYSTEMS SRL,16191624,29,2644,1535196152,nicoleta.fulga@zf-lifetec.com,0730090653,anofm_jobs_20260309_091938_20260314_74c23d98
BOSCH AUTOMOTIVE S.R.L.,18039704,28,2636,3176705577,,,
BOSCH REXROTH SRL,18039704,28,2636,3176705577,,,
HORSE ROMANIA S.A.,18699808,29,2586,4696327556,,,
ZES ZOLLNER ELECTRONIC SRL,13392550,27,2477,2347880543,,,
PLEXUS SERVICES RO SRL,25153581,26,2406,1907442951,andreea.oprea@plexus.com,0256202133,romania_all_10k_20260314_204d2147
COMTIM ROMANIA S.R.L.,13427047,10,2337,1490767383,obalan@comtim.ro,0790302056,anofm_5_30pos_older_than_30_days_20260314_66bc9356
FAURECIA ROMANIA S.R.L.,15599111,29,2244,1516291851,,,
FAURECIA ROMANIA SRL,15599111,29,2244,1516291851,,,
TRANSAVIA SA,5182310,10,2240,1115535761,,,
ZOPPAS INDUSTRIES ROMANIA SRL,9710664,27,2216,959945165,,,
ROMAQUA GROUP SA,402911,11,2193,1181776334,,,
ROMAQUA GROUP SA,402911,11,2193,1181776334,,,
AVIVA SRL,13193540,31,2136,566885826,,,
