company_name,cui,caen_code,caen_description,employees,turnover_ron,city,county,email,email_source,email_verified,phone,website
8693034,8693034,1071,Industria alimentara,92540,620101,,,,,,,
10643399,10643399,1051,Industria alimentara,55500,1470483,,,,,,,
15685050,15685050,1812,Tipar,47665,726844,,,,,,,
35318156,35318156,1629,Lemn,38254,141426,,,,,,,
47656860,47656860,1399,Textile,15026,35893,,,,,,,
AUTOMOBILE-DACIA SA,160796,2910,Autovehicule,10987,27814242258,"Loc. Mioveni, Oras Mioveni",Arges,legal.romania@renault.com,master_companies,true,+40745344278,
33922490,33922490,2599,Constructii metalice,9204,49959,,,,,,,
AUTOLIV ROMANIA SRL,9641092,2932,Autovehicule,8561,6060221610,Municipiul Brasov,Brasov,,,,+40268508100,
FORD OTOSAN ROMANIA S.R.L.,6488696,2910,Autovehicule,6356,18623420470,Municipiul Craiova,Dolj,,,,,
ARAMIS INVEST SRL,6793010,3109,Mobila,6070,1948001996,Municipiul Baia Mare,Maramures,,,,+40724904226,
ROBERT BOSCH SRL,5541546,2931,Autovehicule,5876,8104674846,Bucuresti Sectorul 1,Bucuresti,infott@ro.bosch.com,master_companies,true,+40214057500,
HELLA ROMANIA SRL,16297090,2931,Autovehicule,5569,4369789354,"Sat Ghiroda, Comuna Ghiroda",Timis,cgexpertcontatim@yahoo.com,master_companies,true,+40256439102,
MICHELIN ROMANIA S.A.,13663684,2211,Cauciuc si mase plastice,5096,5687081037,Oras Voluntari,Ilfov,purchasing.romania@michelin.com,master_companies,true,,
SCHAEFFLER ROMANIA SRL,14882941,2815,Masini si echipamente,4366,3367555260,Comuna Cristian,Brasov,,,,+40268505000,
PIRELLI TYRES ROMANIA SRL,17060414,2211,Cauciuc si mase plastice,4354,4418783020,Municipiul Slatina,Olt,elena.dinca@pirelli.com,master_companies,true,+40728986650,
LEAR CORPORATION ROMANIA SRL,13241086,2932,Autovehicule,4027,1641044456,Bucuresti Sectorul 1,Bucuresti,jobs@lear.com,master_companies,true,+40248207301,
SE BORDNETZE SRL,26649690,2931,Autovehicule,3960,893513814,"Sat Buchin, Comuna Buchin",Caras-Severin,,,,,
14771269,14771269,1610,Lemn,3861,2014566,,,,,,,
DE'LONGHI ROMANIA SRL,29527204,2751,Echipamente electrice,3843,2980118764,"Sat Juc-Herghelie, Comuna Jucu",Cluj,recrutare.ro@delonghigroup.com,master_companies,true,+40720544534,
EMERSON SRL,18284762,2651,Calculatoare si electronice,3634,2323505890,Municipiul Cluj-Napoca,Cluj,reception.a2@emerson.com,master_companies,true,+40264507171,
