company_name,cui,caen_code,caen_description,employees,turnover_ron,email,phone
,8693034,1071,Industria alimentara,92540,620101,,
,10643399,1051,Industria alimentara,55500,1470483,st.benedek.gheorgheni@gmail.com,
,15685050,1812,Industrie prelucratoare,47665,726844,,
,35318156,1629,Prelucrarea lemnului,38254,141426,,
,47656860,1399,Fabricarea prod textile,15026,35893,,
AUTOMOBILE-DACIA SA,160796,2910,Fabricarea autovehiculelor,10987,27814242258,legal.romania@renault.com,
,33922490,2599,Produse metalice,9204,49959,,
AUTOLIV ROMANIA SRL,9641092,2932,Fabricarea autovehiculelor,8561,6060221610,,
FORD OTOSAN ROMANIA S.R.L.,6488696,2910,Fabricarea autovehiculelor,6356,18623420470,,
ARAMIS INVEST SRL,6793010,3109,Fabricarea mobilei,6070,1948001996,,
ROBERT BOSCH SRL,5541546,2931,Fabricarea autovehiculelor,5876,8104674846,,
HELLA ROMANIA SRL,16297090,2931,Fabricarea autovehiculelor,5569,4369789354,,
MICHELIN ROMANIA SA,13663684,2211,Cauciuc si mase plastice,5096,5687081037,purchasing.romania@michelin.com,
INA Romania SRL,14882941,2815,Masini si echipamente,4366,3367555260,,
PIRELLI TYRES ROMANIA SRL,17060414,2211,Cauciuc si mase plastice,4354,4418783020,elena.dinca@pirelli.com,
LEAR CORPORATION ROMANIA SRL,13241086,2932,Fabricarea autovehiculelor,4027,1641044456,,
SE BORDNETZE SRL,26649690,2931,Fabricarea autovehiculelor,3960,893513814,,
,14771269,1610,Prelucrarea lemnului,3861,2014566,,
DE'LONGHI ROMANIA SRL,29527204,2751,Echipamente electrice,3843,2980118764,,
EMERSON SRL,18284762,2651,Calculatoare si electronice,3634,2323505890,,
YAZAKI ROMANIA SRL,15412557,2931,Fabricarea autovehiculelor,3623,1095214991,,
ADIENT AUTOMOTIVE ROMANIA SRL,35377500,2932,Fabricarea autovehiculelor,3141,1464433327,,
FLEXTRONICS ROMANIA SRL,10608391,2611,Calculatoare si electronice,2815,723597547,,
APTIV TECHNOLOGY SERVICES & SOLUTIONS S.R.L.,9022584,2931,Fabricarea autovehiculelor,2765,1444364929,,
ASTRA RAIL INDUSTRIES SRL,29922041,3020,Industrie prelucratoare,2746,1518791010,,
TINERVIS GROUP SRL,27329545,1071,Industria alimentara,2691,617120350,recrutare@lucatraditie.ro,
UNIVERSAL ALLOY CORPORATION EUROPE SRL,23000336,3030,Industrie prelucratoare,2685,1521842671,,
TRW AUTOMOTIVE SAFETY SYSTEMS SRL,16191624,2932,Fabricarea autovehiculelor,2644,1535196152,,
BOSCH AUTOMOTIVE S.R.L.,18039704,2815,Masini si echipamente,2636,3176705577,,
