sku,name,category,supplier_cui,unit,cost,vat,retail_price,gross_margin_pct,is_private_label,origin
HR-DRY-001,Branza de burduf in coaja de brad,dairy,PLACEHOLDER-DRY,kg,28.00 (estimated),0.09,41.18,32.0,False,Romania
HR-DRY-002,Telemea de vaca maturata,dairy,PLACEHOLDER-DRY,kg,20.00 (estimated),0.09,29.41,32.0,False,Romania
HR-DRY-003,Telemea de oaie,dairy,PLACEHOLDER-DRY,kg,34.00 (estimated),0.09,50.00,32.0,False,Romania
HR-DRY-004,Cas proaspat de oaie,dairy,PLACEHOLDER-DRY,kg,24.00 (estimated),0.09,35.29,32.0,False,Romania
HR-DRY-005,Cascaval afumat de Saveni,dairy,PLACEHOLDER-DRY,kg,30.00 (estimated),0.09,44.12,32.0,False,Romania
HR-DRY-006,Cascaval Dalia traditional,dairy,PLACEHOLDER-DRY,kg,27.00 (estimated),0.09,39.71,32.0,False,Romania
HR-DRY-007,Urda proaspata,dairy,PLACEHOLDER-DRY,kg,18.00 (estimated),0.09,26.47,32.0,False,Romania
HR-DRY-008,Branza de capra,dairy,PLACEHOLDER-DRY,kg,36.00 (estimated),0.09,52.94,32.0,False,Romania
HR-DRY-009,Lapte crud de ferma 3.8%,dairy,PLACEHOLDER-DRY,l,4.20 (estimated),0.09,6.18,32.0,False,Romania
HR-DRY-010,Lapte batut de ferma,dairy,PLACEHOLDER-DRY,l,5.00 (estimated),0.09,7.35,32.0,False,Romania
HR-DRY-011,Iaurt grecesc 10% artizanal,dairy,PLACEHOLDER-DRY,500g,7.50 (estimated),0.09,11.03,32.0,False,Romania
HR-DRY-012,Iaurt natural de oaie,dairy,PLACEHOLDER-DRY,350g,6.00 (estimated),0.09,8.82,32.0,False,Romania
HR-DRY-013,Sana traditionala,dairy,PLACEHOLDER-DRY,500g,4.00 (estimated),0.09,5.88,32.0,False,Romania
HR-DRY-014,Kefir de ferma,dairy,PLACEHOLDER-DRY,500g,4.50 (estimated),0.09,6.62,32.0,False,Romania
HR-DRY-015,Smantana 30% de ferma,dairy,PLACEHOLDER-DRY,400g,6.50 (estimated),0.09,9.56,32.0,False,Romania
HR-DRY-016,Smantana 12% pentru gatit,dairy,PLACEHOLDER-DRY,350g,4.00 (estimated),0.09,5.88,32.0,False,Romania
HR-DRY-017,Unt de ferma 82%,dairy,PLACEHOLDER-DRY,200g,8.00 (estimated),0.09,11.76,32.0,False,Romania
HR-DRY-018,Unt traditional din smantana,dairy,PLACEHOLDER-DRY,250g,10.00 (estimated),0.09,14.71,32.0,False,Romania
HR-DRY-019,Branza framantata de Moldova,dairy,PLACEHOLDER-DRY,kg,26.00 (estimated),0.09,38.24,32.0,False,Romania
HR-DRY-020,Cas afumat,dairy,PLACEHOLDER-DRY,kg,28.00 (estimated),0.09,41.18,32.0,False,Romania
HR-DRY-021,Branza topita artizanala,dairy,PLACEHOLDER-DRY,150g,5.00 (estimated),0.09,7.35,32.0,False,Romania
HR-DRY-022,Lapte de capra pasteurizat,dairy,PLACEHOLDER-DRY,l,7.00 (estimated),0.09,10.29,32.0,False,Romania
HR-MEA-001,Carnati de Plescoi,meat/charcuterie,PLACEHOLDER-MEA,kg,42.00 (estimated),0.09,60.00,30.0,False,Romania
HR-MEA-002,Carnati de casa afumati,meat/charcuterie,PLACEHOLDER-MEA,kg,36.00 (estimated),0.09,51.43,30.0,False,Romania
HR-MEA-003,Slanina afumata taraneasca,meat/charcuterie,PLACEHOLDER-MEA,kg,30.00 (estimated),0.09,42.86,30.0,False,Romania
HR-MEA-004,Costita afumata,meat/charcuterie,PLACEHOLDER-MEA,kg,34.00 (estimated),0.09,48.57,30.0,False,Romania
HR-MEA-005,Jumari de porc,meat/charcuterie,PLACEHOLDER-MEA,350g,18.00 (estimated),0.09,25.71,30.0,False,Romania
HR-MEA-006,Toba de casa,meat/charcuterie,PLACEHOLDER-MEA,kg,32.00 (estimated),0.09,45.71,30.0,False,Romania
