county,name,address,email,phone,manager,auth_num,capacity_tonnes
Alba,AGRICOLA TOD SRL,CRICAU PRINCIPALA NR 1A CRICAU PRINCIPALA NR 1A 744383208 744383208,,,,AB0008909,350
Alba,AGRO ELISSA B.M SRL,Sat . Obreja Com. Mihalt nr.110 Sat . Obreja Com. Mihalt nr.110,,+40732413218,,AB0005268,300
Alba,AGRO FABIO SRL,CAMPENI STR TURZII 37 CAMPENI STR TURZII 37 100 100 740391039 740391039,,,,AB0008952,
Alba,AGROEST BERGHIN,BERGHIN NR 445 BERGHIN NR 445 258854377 258854377,,,,AB0009277,2000
Alba,AGROMAXMAN SRL,SARD str. LAB 399D SARD str. LAB 399D 740841649 740841649,,,,AB0008905,3200
Alba,AGROPREST VINEREA,"ALBA IULIA VINEREA, CAMPUL PAINII 317 0741244292 300 300 AUREL VLAD 31 741244292",,,,AB00241,
Alba,AGROSEM SEED SRL,SANTIMBRU DN 1 SANTIMBRU DN 1 760686005 760686005,,,,AB0009278,1000
Alba,AGROTRUST TARNAVA SRL,JIDVEI STR GARII 32 BALCACIU 1 DECEMBRIE NR 1 746982912 746982912,,,,AB0008949,450
Alba,ALBATROS GOLD ALBA IULIA STR GARII NR 4,124 AB00245 POPA FLORIN AGROFLOR I.I. DUMBRAVA COM UNIREA NR 7 POPA FLORIN AGROFLOR I.I. COM UNIREA ,,+40740082887,ALBATROS GOLD ALBA IULIA AZUR NR 2,AB00244,3000
Alba,ALBATROS GOLD SRL,Alba Iulia str. Azur nr.2 Alba Iulia str. Azur nr.2,,+40729267976,,AB0008984,3050
Alba,ANIMAL FERMA SRL,MANARADE FN MANARADE FN 721286099 721286099,,,,AB00239,3500
Alba,ARALAND NATURA SRL,DAIA ROMÂNĂ NR 451 DAIA ROMÂNĂ NR 451 761828533 761828533,,,,AB0009275,240
Alba,ARIEȘUL AGROLACT SRL,VAMA SEACĂ PRINCIPALĂ NR 1 VAMA SEACĂ PRINCIPALĂ NR 1 740215322 740215322,,,,AB0009280,400
Alba,BESOI PARASCHIVA NICOLAE PFA  DAIA ROMÂNĂ 885B,769351139 769351139 97 AB0008996 VOINA NICOLAE NARCISA PFA VOINA NICOLAE NARCISA PFA 300 300,,,,AB0008995,100
Alba,BRATU VASILE AGRO PFA,DAIA ROMANA NR 788 DAIA ROMANA NR 955 723576953 723576953,,,,AB0009276,150
