county,name,location,storage_type,capacity_tonnes,phone,license_status,source
Călărași,S.C. AGRI SOL S.R.L.,Fundulea,Siloz,13000,0242640644,Active,MADR_Licensed
Tulcea,S.C. DELTANAV S.A.,Frecătei,Siloz+Magazie,53000,02405480700,Active,MADR_Licensed
Dolj,S.C. CEREALCOM DOLJ S.R.L.,Multiple locations,Siloz+Magazii,347820,0372731496,Active,MADR_Licensed
Timiș,S.C. GLISSANDO S.R.L.,Voiteg,Siloz,20000,0256497702,Active,MADR_Licensed
Constanța,S.C. Niva Prodcom S.R.L.,Constanța Port,Siloz,66000,0241601219,Active,MADR_Licensed
Arad,S.C. RDF S.R.L.,Sofronea,Siloz,10000,0257288118,Suspended,MADR_Licensed
Teleorman/Galați/Ialomița,S.C. OLTINA IMPEX PROD COM S.R.L.,Multiple locations,Siloz+Magazii,97200,0244271572,Active,MADR_Licensed
Ialomița,S.C. CARGILL CEREALE S.R.L.,Bucu,Siloz,45000,0212031000,Active,MADR_Licensed
Bacău,S.C. AGROTEHNOGRUP SRL,Onești,Siloz+Magazie,14800,0740144128,Active,MADR_Licensed
Bacău,SC AGRICULTORUL SRL,Bârsănești,Siloz+Magazie,13000,0722336178,Active,MADR_Licensed
Călărași,SC MECAIND ULMENI SA,Ulmeni,Siloz,20000,0242523205,Suspended,MADR_Licensed
Călărași,SC AGROZOOTEHNICA ULMENI SRL,Sultana,Siloz,30000,0729078999,Suspended,MADR_Licensed
Vrancea,SC COMCEREAL SA,Focșani,Siloz,20400,0237215037,Active,MADR_Licensed
Constanța,SC AMEROPA GRAINS SA,Multiple locations,Siloz,237700,0241625539,Active,MADR_Licensed
Olt,SC OLT PIESS SRL,Slatina,Siloz,44000,0249431055,Active,MADR_Licensed
