company,cui,caen,country,city,address,email,email2,phone,phone2,website,contact_person,employees,revenue,profit,positions,sector,status,source,notes
AFORTI SERVICES ROMANIA S.R.L.,47439569,8220,Romania,Bucuresti Sectorul 6,"IULIU MANIU, 7, Bucuresti Sectorul 6, Bucuresti",,,0721173279,,,,0,0,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
AMT OUTSOURCING S.R.L.,48129116,6201,Romania,Municipiul Craiova,"DOLJULUI, 4, Municipiul Craiova, Dolj",,,0765685054,,,,1,115342,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
APRO OUTSOURCING S.R.L.,50278560,6201,Romania,Municipiul Craiova,"NICOLAE TITULESCU, 35, Municipiul Craiova, Dolj",,,,,,,1,76804,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
AVANTA CONSULTING 2001 SRL,14332778,8220,Romania,Bucuresti Sectorul 4,"Str. Albinelor, 32, Bucuresti Sectorul 4, Bucuresti",,,0723599950,,,,2,195988,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
B.M.S. DIGITAL MARKETING S.R.L.,38681570,8220,Romania,Bucuresti Sectorul 2,"MOSILOR, 158, Bucuresti Sectorul 2, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
BLC OUTSOURCING S.R.L.,40684153,7830,Romania,Bucuresti Sectorul 1,"ING. ZABLOVSCHI, 64A, Bucuresti Sectorul 1, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
BPO SYSTEM SRL,17901258,6311,Romania,Municipiul Piatra Neamt,"ARMONIEI, 48, Municipiul Piatra Neamt, Neamt",,,,,,,0,0,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
BUSINESS CALL CENTER SRL,20914533,,Romania,Bucuresti Sectorul 2,"Str. Licurg, 6, Bucuresti Sectorul 2, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
CALL CENTER STORE SRL,35093533,8220,Romania,Bucuresti Sectorul 1,"MURES, 39, Bucuresti Sectorul 1, Bucuresti",,,,,,,0,0,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
CALL4BUSINESS ROMANIA SRL,37392540,8220,Romania,Municipiul Cluj-Napoca,"TRAIAN VUIA, 4, Municipiul Cluj-Napoca, Cluj",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
CENTER TWO PROMOTION S.R.L.,46920709,8220,Romania,Municipiul Iasi,"OTELARIEI, 15A6, Municipiul Iasi, Iasi",,,,,,,3,492633,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
CONTACT CENTER BRAINIAC SRL,30912246,4799,Romania,Bucuresti Sectorul 6,"VALEA CALUGAREASCA, 12, Bucuresti Sectorul 6, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
COOLWAVE OUTSOURCED MARKETING SOLUTIONS (OMS) SRL,25027125,,Romania,Bucuresti Sectorul 1,"Str. SOS. PIPERA, 9, Bucuresti Sectorul 1, Bucuresti",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
CWT JOBS & SERVICES S.R.L.,47454984,8220,Romania,Municipiul Ploiesti,"General Eremia Grigorescu, 12, Municipiul Ploiesti, Prahova",,,,,,,1,131329,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
D & D EUROSELLINGS SRL,36781514,8220,Romania,"Sat Trifesti, Comuna Trifesti","PRINCIPALA, 254, Sat Trifesti, Comuna Trifesti, Neamt",,,,,,,,,,,Call center / BPO,insolvent,FALIMENT,Procedure:  | Liquidator:
