company,cui,caen,country,city,address,email,email2,phone,phone2,website,contact_person,employees,revenue,profit,positions,sector,status,source,notes
Competence Call Center Wien GmbH,,,Austria,Wien,Spengergasse 37,competence@yourccc.com,,,,,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 79512000 | Value: 5668320.0
Servotel CallCenter Dienstleistungen GmbH,,,Austria,Wien,Guglgasse 15,info@servotel.com,,,,,,,,,,Call center / BPO,active,TED_2021,TED 2021 | CPV: 79512000 | Value: 5668320.0
"""CALLCENTAR ŠEKIĆ"" d.o.o. KLJUČ u",,,Bosnia,Ključ,"Ključ, Ključ, Branilaca bb.",,,,,,,,,,,Call center / BPO,active,BOSNIA,
"""DDC Central Europe"" društvo za digitalizaciju podataka i outsourcing poslovnih procesa d.o.o. Sarajevo",,,Bosnia,Ilidža,"Ilidža, Sarajevo Dio, Pijačna broj 6",,,,,,,,,,,Call center / BPO,active,BOSNIA,
"""DELL TELL"" d.o.o. CALL CENTER, Brčko distrikt BiH",,,Bosnia,Brčko,"Brčko, Brčko, Skendera Kulenovića br. 5",,,,,,,,,,,Call center / BPO,active,BOSNIA,
"""Europe Telemarketing"" Društvo sa ograničenom odgovornošću Sarajevo",,,Bosnia,Sarajevo-Novi Grad,"Sarajevo-Novi Grad, Sarajevo Dio, ul. Milana Preloga bb",,,,,,,,,,,Call center / BPO,active,BOSNIA,
"""G - CALL CENTER"" d.o.o. Sarajevo",,,Bosnia,Ilidža,"Ilidža, Sarajevo Dio, ulica Dr. Silve Rizvanbegović broj 32.",,,,,,,,,,,Call center / BPO,active,BOSNIA,
"""TISO GLOBAL"" d.o.o. CALL CENTER - pozivni centar, Brčko distrikt BiH",,,Bosnia,Brčko,"Brčko, Brčko, Petra Kočića br. 11",,,,,,,,,,,Call center / BPO,active,BOSNIA,
Concentrix BH d.o.o. Sarajevo,,,Bosnia,Novo Sarajevo,"Novo Sarajevo, Sarajevo, ul. Bulevar Meše Selimovića br. 17a",,,,,,,,,,,Call center / BPO,active,BOSNIA,
Concentrix Holding Germany GmbH,,,Bosnia,Germany,"Germany, Tullnaustraße 20, D-90402 Nürnberg, Germany",,,,,,,,,,,Call center / BPO,active,BOSNIA,
DDC OUTSOURCING SOLUTIONS LIMITED,,,Bosnia,United Kingdom,"United Kingdom, The Data solutions Center, Manton Wood Enterprise Park, Worksop, Notts, S80 2RT, United Kingdom",,,,,,,,,,,Call center / BPO,active,BOSNIA,
