company,cui,caen,country,city,address,email,email2,phone,phone2,website,contact_person,employees,revenue,profit,positions,sector,status,source,notes
3389 SOFTWARE OUTSOURCING SRL,33938160,6201,Romania,Bucuresti Sectorul 2,"Bucuresti Sectorul 2, Sector 2, COLENTINA, nr. 16",,,0744645644,,,,1,444177,117201,,2,active,BILANT | BUC_ILFOV,
4 I CALL CENTER S.R.L.,49687200,,Romania,Bucuresti Sectorul 2,DEPOULUI 11 2,,,40744647883,0744647883,,,,,,,Call center / BPO,active,BUC_ILFOV,
A&I BPO SERVICES S.R.L.,34562720,7022,Romania,Municipiul Cluj-Napoca,"Municipiul Cluj-Napoca, Salcamului, nr. 37A",,,0723318635,,,,10,2212368,373539,,Call center / BPO,active,BILANT,
A.R.G.O.S - ADVANCED ROMANIAN OUTSOURCING SERVICES SRL,32528471,,Romania,Bucuresti Sectorul 2,FABRICA DE GHEATA 8 2,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
AB TAX & PAYROLL  OUTSOURCING SRL,18647825,6920,Romania,Municipiul Timisoara,"Municipiul Timisoara, MARTIR CRISTINA LUNGU, nr. 2",,,,,,,1,553309,283424,,Call center / BPO,active,BILANT,
AC SOFT DEVELOPPEMENT SRL,21519770,8220,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, IANCU DE HUNEDOARA, nr. 54B",,,3156100,,,,15,4267107,668070,,1,active,BILANT,
ACCACE OUTSOURCING SRL,31043206,,Romania,Bucuresti Sectorul 1,VICTORIEI 145 1,irrisp@yahoo.com,,0314050440,40314050440,,,,,,,Call center / BPO,active,BUC_ILFOV,
ACCOUNTAX OUTSOURCING SRL,36545785,6920,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, UNIRII, nr. 37",,,0726241360,,,,1,846482,373973,,3,active,BILANT | BUC_ILFOV,
ACCTAS BPO S.R.L.,39684354,7022,Romania,Bucuresti Sectorul 4,"Bucuresti Sectorul 4, Sector 4, BUCUR, nr. 16",,,,,,,2,663728,22771,,4,active,BILANT,
ACTIVITATI CADOU SRL,38302421,8220,Romania,Municipiul Turda,"Municipiul Turda, RAZBOIENI, nr. 31A",,,0264313112,,,,1,204702,87091,,Call center / BPO,active,BILANT,
AD11 CALL CENTER S.R.L.,48879908,,Romania,Bucuresti Sectorul 1,GHEORGHE SIMIONESCU 19 1,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
ADMIN MASTER EVOLUTION S.R.L.,49136758,8220,Romania,Bucuresti Sectorul 1,"Bucuresti Sectorul 1, Sector 1, SCARLATESCU, nr. 3",,,0730323232,,,,1,280000,212605,,1,active,BILANT,
ADVANCE2000 TRANSILVANIA S.R.L.,46118030,8220,Romania,Municipiul Sfantu Gheorghe,"Municipiul Sfantu Gheorghe, KOKENYES, nr. 21A",,,0750460021,,,,4,2424133,1805009,,Call center / BPO,active,BILANT,
AEF SERVICES S.R.L.,36095877,8220,Romania,Municipiul Timisoara,"Municipiul Timisoara, CONSILIUL EUROPEI, nr. 1",fuioradrian1@gmail.com,,,,,,7,1800000,684384,,Call center / BPO,active,BILANT,
AGENT CONTA SOFT S.R.L.,48900740,8220,Romania,"Loc. Avrig, Oras Avrig","Loc. Avrig, Oras Avrig, CANEPII, nr. 52",,,0746151641,,,,1,658834,544143,,Call center / BPO,active,BILANT,
AIM HR OUTSOURCING SRL,15387763,,Romania,Bucuresti Sectorul 2,Str. W.A.Mozart 16B 2,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
ALC FULL OUTSOURCING SERVICES SRL,33747135,7022,Romania,Bucuresti Sectorul 6,"Bucuresti Sectorul 6, Sector 6, SG. CONSTANTIN GHERCU, nr. 14",,,0740317699,,,,1,292824,96621,,6,active,BILANT | BUC_ILFOV,
ALEXROMAN OUTSOURCING S.R.L.,46731408,6201,Romania,Municipiul Craiova,"Municipiul Craiova, 1 DECEMBRIE 1918, nr. 24",,,,,,,1,480222,411313,,Call center / BPO,active,BILANT,
ALLIED TELESIS INTERNATIONAL SUPPORT & EDUCATION CENTER (SEC) SRL,28352112,8220,Romania,Municipiul Iasi,"Municipiul Iasi, NATIONALA, nr. 37",,,0745831662,,,,4,1035613,22484,,Call center / BPO,active,BILANT,
ALPHA CALL GROUP S.R.L.,41807912,8220,Romania,Bucuresti Sectorul 3,"Bucuresti Sectorul 3, Sector 3, (Bld) THEODOR PALLADY, nr. 66A",,,,,,,1,535029,133801,,3,active,BILANT,
ALTOCERE SOLUTIONS S.R.L.,46713746,8220,Romania,Bucuresti Sectorul 4,"Bucuresti Sectorul 4, Sector 4, ADRIAN DAN URUCU, nr. 1",raluca.moiceanu@asee.io,,,,,,13,4087375,1213238,,4,active,BILANT,
AMA BPO SOLUTIONS SRL,24591826,,Romania,Bucuresti Sectorul 6,Aleea Campul cu Flori 2A 6,,,,,,,,,,,Call center / BPO,active,BUC_ILFOV,
AMEGO CALL CENTER SRL,36422685,,Romania,Bucuresti Sectorul 6,VALEA IALOMITEI 1A 6,catalin161616@yahoo.com,,0767801569,,,,,,,,Call center / BPO,active,BUC_ILFOV,
ASCENSOS CONTACT CENTRES ROMANIA SRL,17596120,,Romania,Bucuresti Sectorul 2,FRUNZEI 26 2,recruitment.ro@ascensos.com,,+40770519620,,,Elena Bordeianu,,,,14,Call center / BPO,active,BUC_ILFOV,
