event_name,date,location,country,format,organizer,sectors,employers_count,url,notes
EURES Slovenia Connects,2026-03-05,Online,Slovenia,Online,EURES Slovenia,Multiple sectors,13,https://europeanjobdays.eu/en/event/eures-slovenia-connects-0,
Bursa Martisorului Deva,2026-03-02,"Centrul Cultural Dragan Muntean, Deva",Romania,In-person,AJOFM Hunedoara,All sectors,,https://www.anofm.ro/bursa-locurilor-de-munca-organizata-de-ajofm-hunedoara-bursa-martisorului-3/,Especially women
Bursa Martisorului Petrosani,2026-03-03,"Universitatea din Petrosani, Cladirea C",Romania,In-person,AJOFM Hunedoara,All sectors,,https://www.anofm.ro/bursa-locurilor-de-munca-organizata-de-ajofm-hunedoara-bursa-martisorului-3/,
Targ Cariera Feroviara (fizic),2026-03-04,"Hotel MyContinental, Bucharest",Romania,In-person,CFiR,Railway/Transport,25,https://cfir.ro/targcfir/,Near Gara de Nord
Bursa Locurilor de Munca pt Femei Arad,2026-03-06,Arad,Romania,In-person,AJOFM Arad,All sectors,,https://www.anofm.ro/arad/bursa-generala-a-locurilor-de-munca-pentru-femei-06-03-2026/,Contact: arad@anofm.gov.ro
IamExpat Fair Amsterdam,2026-03-07,"Beurs van Berlage, Amsterdam",Netherlands,In-person,IamExpat,All sectors,700+,https://www.iamexpat.nl/lifestyle/events-festivals-netherlands/iamexpat-fair-amsterdam,160 countries represented
Jobmesse Deutschland Salzburg,2026-03-07,"Salzburgarena, Salzburg",Austria,In-person,Jobmesse Deutschland,Trade/crafts/industry/IT/HoReCa/healthcare,,https://jobmessen.de/en/visitors/termine,5 EUR admission
Targul IT&C 2026,2026-03-07,"Palace of Parliament, Bucharest",Romania,In-person,LSAC Bucharest,IT/Technology,,https://targ.lsacbucuresti.ro/,Students and graduates
Targ Cariera Feroviara (online),2026-03-10,Online,Romania,Online,CFiR,Railway/Transport,,https://cfir.ro/targcfir/,Zoom interviews Mar 10-12
Targul de Cariere Iasi,2026-03-13,"Palas Mall, Iasi",Romania,In-person,Targul de Cariere,All sectors,,https://www.targuldecariere.ro/iasi,2-day event Mar 13-14
Jobmesse Deutschland Lubeck,2026-03-14,"Kulturwerft Gollan, Lubeck",Germany,In-person,Jobmesse Deutschland,Trade/crafts/industry/IT/HoReCa/healthcare,,https://jobmessen.de/en/visitors/termine,WorkinDenmark participates
Make it in Germany 2026,2026-03-17,Online,Germany,Online,EURES/Bundesagentur fur Arbeit,Healthcare/IT/HoReCa/Technical trades/Drivers,35,https://europeanjobdays.eu/en/event/make-it-germany-2026,Contact: take-your-chance@arbeitsagentur.de
Jobmesse Deutschland Cologne,2026-03-21,"MOTORWORLD Koln, Cologne",Germany,In-person,Jobmesse Deutschland,Trade/crafts/industry/IT/HoReCa/healthcare,,https://jobmessen.de/en/visitors/termine,
HR Festival Europe Zurich,2026-03-24,"Messe Zurich, Zurich",Switzerland,In-person,HR Festival,HR/Recruitment,170+,https://hrfestival.ch/en/,6000+ participants
Amsterdam Tech Job Fair,2026-03-26,Amsterdam,Netherlands,In-person,,IT/Technology,,https://www.jobinthenetherlands.com/career-events/,
EURES Job Day Presov,2026-03-26,"Presov, Slovakia",Slovakia,In-person,EURES,All sectors,,https://europeanjobdays.eu/en/events,
Seize the Summer with EURES 2026,2026-03-26,Online,Multi-country,Online,EURES,HoReCa/Tourism/Entertainment,41,https://europeanjobdays.eu/en/seizethesummer2026,"11 countries: HR,DK,FR,GR,IE,IT,MT,PT,SI,ES,NL. Interviews Mar 26-31"
Find your seasonal job in Europe,2026-04-02,Online,Multi-country,Online,EURES Lithuania,Seasonal/Agriculture/HoReCa,55,https://europeanjobdays.eu/en/event/find-your-seasonal-job-europe-2026,
Targul de Cariere Chisinau,2026-04-03,"Chisinau, Moldova",Moldova,In-person,Targul de Cariere,All sectors,,https://www.targuldecariere.ro/,2-day event Apr 3-4
Bursa Martisorului Hunedoara,2026-04-04,"Casa de Cultura, Hunedoara",Romania,In-person,AJOFM Hunedoara,All sectors,,https://www.anofm.ro/bursa-locurilor-de-munca-organizata-de-ajofm-hunedoara-bursa-martisorului-3/,
Jobs Expo Cork,2026-04-11,"Clayton Hotel Silver Springs, Cork",Ireland,In-person,Jobs Expo,All sectors,,https://www.jobsexpo.ie/,
Jobmesse Deutschland Oldenburg,2026-04-11,"Weser-Ems-Hallen, Oldenburg",Germany,In-person,Jobmesse Deutschland,Trade/crafts/industry/IT/HoReCa/healthcare,,https://jobmessen.de/en/visitors/termine,2-day event
Cooks and Chefs for Sweden,2026-04-15,Online,Sweden,Online,EURES,HoReCa - Restaurants/Hotels,2,https://europeanjobdays.eu/en/event/cooks-and-chefs-sweden,Employer deadline Mar 27
Targul de Cariere Sibiu,2026-04-15,"Sala Transilvania, Sibiu",Romania,In-person,Targul de Cariere,All sectors,,https://www.targuldecariere.ro/sibiu,2-day event Apr 15-16
International Talent Event Amsterdam,2026-04-16,Amsterdam,Netherlands,In-person,ITEA,All sectors,,https://www.jobinthenetherlands.com/career-events/,City-wide showcase for internationals
Jobmesse Deutschland Dortmund,2026-04-18,"Mercedes-Benz Niederlassung, Dortmund",Germany,In-person,Jobmesse Deutschland,Trade/crafts/industry/IT/HoReCa/healthcare,,https://jobmessen.de/en/visitors/termine,2-day event
Work at the Top Live in the Alps,2026-04-23,Online,Switzerland,Online,EURES Valais,ICT/Biotech/Cleantech,,https://europeanjobdays.eu/en/event/work-top-live-alps,EU/EFTA nationals only
Targul de Cariere Ploiesti,2026-05-08,"Palatul Culturii, Ploiesti",Romania,In-person,Targul de Cariere + AJOFM Prahova,All sectors,,https://www.targuldecariere.ro/ploiesti,2-day event May 8-9
Jobmesse Deutschland Emsland,2026-05-09,"EMSLANDHALLEN, Emsland",Germany,In-person,Jobmesse Deutschland,Trade/crafts/industry/IT/HoReCa/healthcare,,https://jobmessen.de/en/visitors/termine,2-day event
Go North,2026-05-12,Online,Multi-country,Online,EURES,"Construction/Industry/ICT - NL,DE,SE,DK,NO,FI",,https://europeanjobdays.eu/en/event/go-north,6 Nordic/Northern European countries
EURES Slovenia Connects (2nd),2026-05-14,Online,Slovenia,Online,EURES Slovenia,Multiple sectors,,https://europeanjobdays.eu/en/event/eures-slovenia-connects-2026,
