locality_slug,county_slug,locality_name,county_name,primar,url
abrud,alba,Abrud,Alba,Radu-Marcel Tuhuţ,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/abrud/
aiud,alba,Aiud,Alba,Dragoş-Ionuţ Crişan,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/aiud/
albac,alba,Albac,Alba,Marius-Jan Trif,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/albac/
alba-iulia,alba,Alba Iulia,Alba,Gabriel-Codru Pleşa,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/alba-iulia/
almasu-mare,alba,Almasu Mare,Alba,Aron Zaharie,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/almasu-mare/
arieseni,alba,Arieseni,Alba,Gheorghe Pantea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/arieseni/
avram-iancu,alba,Avram Iancu,Alba,Ioan Talpaş,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/avram-iancu/
baia-de-aries,alba,Baia De Aries,Alba,Cristin-Ştefan Toader,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/baia-de-aries/
berghin,alba,Berghin,Alba,Vasile Bica,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/berghin/
bistra,alba,Bistra,Alba,Traian Gligor,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/bistra/
blaj,alba,Blaj,Alba,Gheorghe-Valentin Rotar,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/blaj/
blandiana,alba,Blandiana,Alba,Ioan-Emil Itu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/blandiana/
bucerdea-granoasa,alba,Bucerdea Granoasa,Alba,Vasile Sevestrean,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/bucerdea-granoasa/
bucium,alba,Bucium,Alba,Cornel Napău,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/bucium/
calnic,alba,Calnic,Alba,Lucian-Tiberiu Bodea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/calnic/
campeni,alba,Campeni,Alba,Cristian-Dan Paşca,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/campeni/
cenade,alba,Cenade,Alba,Vasile Handrea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/cenade/
cergau,alba,Cergau,Alba,Lenuţa Aldea,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/cergau/
ceru-bacainti,alba,Ceru Bacainti,Alba,Ciprian-Ştefan Borza,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/ceru-bacainti/
cetatea-de-balta,alba,Cetatea De Balta,Alba,Constantin Comandaru,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/cetatea-de-balta/
ciugud,alba,Ciugud,Alba,Cornelia-Anca Palacian,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/ciugud/
ciuruleasa,alba,Ciuruleasa,Alba,Beniamin Bexa,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/ciuruleasa/
craciunelu-de-jos,alba,Craciunelu De Jos,Alba,Lenuţa Bubur,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/craciunelu-de-jos/
cricau,alba,Cricau,Alba,Aurel-Florin Todericiu,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/cricau/
cugir,alba,Cugir,Alba,Adrian-Ovidiu Teban,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/cugir/
cut,alba,Cut,Alba,Sorin-Gheorghe Bâscă,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/cut/
daia-romana,alba,Daia Romana,Alba,Visarion Hăprian,https://ziare.com/alegeri/alegeri-locale-2024/rezultate_alba/primarie/daia-romana/
