name,email,city,phone
1. CREMOSICA SRL,office@cremosica.ro,,+40751182731
A.A.A.R.M. SRL,mihaeladeliu@yahoo.com,,+40745209533
AC AM ELA PROSPER SRL,ac_am2010@yahoo.com,,+40766217998
A C EXPEDITION S.R.L.,matei_claudiu1977@yahoo.com,,+40766363564
A.C.S GLOBAL TRADE SRL,office@acsglobal.ro,,+40722303312
ADASPRO CALIBRATIONS TIM S.R.L.,clasebexpert@yahoo.com,,+40771242604
ADER GLOBAL LOGISTIC SRL,adergloballogisticajofm@gmail.com,,
ADIMAD SRL,badisors@yahoo.com,,+40722443988
AEP INTERNATIONAL TRANSPORT S.R.L.,aepinternationaltrans@gmail.com,,+40784048899
AEROPORTUL INTERNAŢIONAL SIBIU RA,secretariat@sibiuairport.ro,,+40372055862
AGER VERITEK SOLUTIONS S.R.L.,dobrecristian655@gmail.com,,+40749934063
AGN MOVEMENT SRL,alex.hr@elec.ro,,+40749502502
AGRIMAYS SRL,doris_mihalcut@yahoo.com,,+40746917982
ALEMIRCLEANING SRL,alemircleaning@gmail.com,,+40758694024
ALEX AMI TOURTRANS SRL,valentinburtavel@gmail.com,,+40723345917
ALEYAN LOGISTIC S.R.L.,office@aleyan.ro,,+40744512310
ALI GABI AGROMIXT SRL,hadareancrucita@yahoo.com,,+40745566253
ALMINEC SOLUTION SRL,alminec.solution@gmail.com,,+40721400639
Alo Garage Solutions,alogaragesolutions@yahoo.com,,+40743428367
ALPHA SISTEM MANAGEMENT S.R.L.,office@stefanrebeja.com,,+40734744429
ALPHA SMART FOOD S.R.L.,alphasmartfood@yahoo.com,,+40721277762
alsoftrans logistics srl,alsoftrans_logistics@mail.ru,,+40754831721
ALUNU SRL,alunubals@yahoo.com,,+40740193270
AMBIENT PRO CONCEPT,ramona.ioanes@altaconsult.ro,,+40752043400
AMEROPA LOGISTICS SRL,mihailturjan@gmail.com,,+40758105928
AMR PRESS BOX SRL,almos.simo@yahoo.com,,+40752173060
ANDROMEDA SERVICE SRL,andromedase@gmail.com,,+40257256858
APALEMNIA S.R.L.,toroimpex@toroimpex.ro,,+40723383481
APOLLO PROBALAST SRL,apollo_probalast@yahoo.com,,+40766882482
AQUATERM AG 98 SA,nica_ana.maria@yahoo.com,,+40748127701
ARABESQUE SRL,hr.tm@arabesque.ro,,+40751132596
ARABESQUE SRL,ru.sb@arabesque.ro,,+40757024482
ARAY BRICO DEPO SRL,birdeaelean@yahoo.com,,+40765049355
AROVIT INVEST SRL,resurseumane@arovit.ro,,+40788496337
ART GARAJ SERVICE SRL,artgarajservicesrl@yahoo.com,,+40724507409
ARTMAN SPEDITION SRL,artmanspedition@gmail.com,,+40756235469
ASCET COM SRL,ascetcom@yahoo.com,,+40754656656
ASOCIATIA CAMINUL SENIORILOR,vladelenaispas@gmail.com,,+40749273127
ASOCIATIA CREATIV HUB,nunti@evaprestige.ro,,+40774402344
ASOCIATIA EMOTII,asociatiaemotii@gmail.com,,+40743974300
Asociatia Keep Hope Alive,asociatiakeephopealive@gmai.com,,+40742972932
AS TRANS SRL,astrans@clicknet.ro,,+40250738492
ASUL GALAXY SRL,trofix79@yahoo.com,,+40747832231
ATHOS COM SRL,athosgrup@gmail.com,,+40260660654
ATHOS TRANSPORT S.R.L.,office@athos-trans.ro,,-
ATS ALP TRANSPORT SRL,c_padurean@yahoo.com,,+40745257338
AUTO BRAND SRL,hr@autobrand.ro,,+40744607344
AUTOGARAJ CARFIX SRL,13carfix@gmail.com,,+40720261991
AUTO LENIED A.N.M SRL,anvelope@autolenied.ro,,+40248510490
AUTOMED MULTISERV S.R.L.,intermed1991@gmail.com,,+40767640379
AUTOMOTORS FAI S.R.L.,anafilip71@yahoo.com,,
AUTO PIO SERVICE SRL,avram_dana76@yahoo.com,,+40740549259
Autoplax Center SRL,autoplax@gmail.com,,+40744374193
AUTO TACT SRL,contabilitate@autotact.ro,,+40752192333
AUTO WASH IMPEX SRL,mihaelan63@gmail.com,,+40769658762
AVICOLA SLOBOZIA SA,office@avicola-slobozia.ro,,+40243221197
BACUS SRL,transport@bacus.ro,,+40758071353
BALASA DELIVERY COMPANY SRL,vlad.balasa28@gmail.com,,+40733254680
BAZIL MOTOSERV SRL,roibug72@gmail.com,,+40727615430
BELDANY CONSTRUCT SRL,beldanyconstruct@gmail.com,,+40753436921
BEST ENGINE SRL,office@bestengine.ro,,+40754210943
BEST PERSONAL SERVICES SRL,cv@petrotel.lukoil.com,,+40244504000
BIOFARM SRL,molnarbalazsgm@gmail.com,,+40743112217
BMN REZIDENT S.R.L.,mada.bog90@yahoo.com,,+40775621463
BOGDAN & GABRIEL EUROTRANSPORT,bogdan.gabriel.eurotransport@gmail.com,,+40767012080
BR AGRITECH INNOVATIONS COOPERATIVA AGRICOLA,office@cropping.ro,,+40744632187
BTR MARKET SRL,cristianbatranca@yahoo.com,,+40763233683
BYAN LOGISTIC CEREAL,byanlogisticcereal@yahoo.com,,+40730775307
CAMARA RUSTICA,strainimuncitori@gmail.com,,+40761237797
CĂMINUL DE BĂTRÂNI HAPPY DAYS S.R.L.,caminuldebatranihappydays@gmail.co,,+40767640924
CAPITRANS SRL,sccapitrans@yahoo.com,,+40250866404
CARITABIL SRL,caritabil@hotmail.com,,0269
CAROSIB SRL,officecarosib2@gmail.com,,+40766703628
CARSTOS OVITRANS SRL,ovidiucirstos@yahoo.com,,+40253219132
CC PRIOFURNITURE S.R.L.,florinaciubotariu@gmail.com,,+40756396411
CDA PITICOT SRL,elenaungureanu07@yahoo.com,,+40721173281
CERES VENDOR SRL,attila.nagy@cere-s.ro,,+40753629697
CHACHA SRL,andrei.iaver@yahoo.com,,+40723523309
CHIMPROD SRL,chimprod94@gmail.com,,+40262223457
CIOBI ALESSI TRANS SRL,alynusha2000@yahoo.com,,+40786603739
CLAUDIA & ALESSIA TRANS 2025 S.R.L.,koko_cristian@icloud.com,,+40757057475
CLOUD SYSTEMS SRL,irma.balint@gmail.com,,0740
CNC SYSTEM,cnc.system@yahoo.com,,+40732116416
CNT FOREST SRL,cntforest@yahoo.com,,+40743031057
COMPANIA NATIONALA POSTA ROMANA S.A BUCUREŞTI SUCURSALA BUCURESTI,b.resurseumane@ro.popst,,+40736705054
COMPUTER CONECTIONS SRL BOTOSANI,danielapantirasu@gmail.com,,+40723202560
CONSTRUCT DRAGUS COM IMPEX SRL,constructdragus@yahoo.com,,+40724508593
COVORESCU S.R.L.,covorescuses@gmail.com,,+40771118118
CRIS FP TRANS S.R.L.,f_petculescu@yahoo.com,,+40784049888
CTA TIR SPEDITION SRL,ctatir.ajofm@gmail.com,,+40744920662
CTL & GEORGY SRL,catalind.costache@yahoo.com,,+40765892050
CUREA COMPANY SRL,contabilitate@cureacompany.ro,,+40722794790
CUREA PAN GROUP SRL,office@cureacompany.ro,,+40722794790
DACIA SERVICE CLUJ SRL,resurse_umane@otcgroup.ro,,+40264438440
DAMAR COLISION SRL,oana@damarservice.ro,,+40724899963
DAMIANIS AUTO SERV SRL,damianiauto@gmail.com,,+40722208006
DAMIRDAM SRL,vio345@yahoo.com,,+40742050444
DANAIDE SRL,ks_expertcont17@yahoo.com,,+40762401560
DAN & VAS DEZ SRL,ioanacosmina@yahoo.com,,+40742089859
DAR CRIS COMMERCE BUSINESS,cristi_oprea1977@yahoo.com,,+40745016248
DARIA SI RAFAEL SRL,radoidorin27@gmail.com,,+40734438348
DAS PROCONCEPT SRL,dasproconcept@gmail.com,,+40738713843
DAV PAN 03 SRL,clatinici.roxana@yahoo.com,,+40740787954
D D TEAM GROUP SRL,office@d-d.ro,,+40729160538
D.E.C. CONSTRUCT SRL,albubianca31@yahoo.com,,+40732650770
