name,email,city,phone,website
ACTROS LOGISTIC SRL,officeactroslogistic@gmail.com,Prahova > BUCOV > BUCOV,0753315740,
ADER GLOBAL LOGISTIC SRL,adergloballogisticajofm@gmail.com,,,
ADM ROMANIA LOGISTICS S.R.L.,kontakt@id-logistics.com,Constanța > MUNICIPIUL CONSTANTA > CONSTANTA,0241603247,
ADRIAN & PAUL SPEDITION S.R.L.,padureanuvasileadrian@yahoo.es,,+40771582663,
AEP INTERNATIONAL TRANSPORT S.R.L.,aepinternationaltrans@gmail.com,,+40784048899,
AER TRANSPORT SRL,pietrofin_vasilica@yahoo.com,Bacău > MUNICIPIUL BACAU > BACAU,0740168885,
A + G TRANSPORT INTERNATIONAL SRL,mirela@ag-transporten.com,Iași > MUNICIPIUL IASI > IASI,0786808764,
ALEYAN LOGISTIC S.R.L.,office@aleyan.ro,,+40744512310,
ALL FINANCE LOGISTIC S.R.L.,office@allfinance.ro,Botoșani > MUNICIPIUL BOTOSANI > BOTOSANI,0231531000,
ALPASTRANSPORT SRL,office@alpastransport.com,,,
ALPHA FOOD DELIVERY SYSTEM S.R.L.,Alphafooddelivery@gmail.com,,+40799925065,
ALPINA TEC LOGISTIC SRL,alpinateam.hr@gmail.com,Alba > ORAS CUGIR > CUGIR,0720085887,
alsoftrans logistics srl,alsoftrans_logistics@mail.ru,,+40754831721,
AMBERGLOSUNG LOGISTIC S.R.L.,personal@ecojur.com,Bihor > MUNICIPIUL ORADEA > ORADEA,0259434751,
AMEROPA LOGISTICS SRL,mihailturjan@gmail.com,,+40758105928,
ANNA GROUP DELIVERY S.R.L.,financiar_agd@crescendogrup.ro,Municipiul Targu Jiu,+40744648202,
ARANCA DELIVERY SRL,aranca@nicaerogroup.ro,,+40766530129,
ARCESE TRANSPORT SRL,maria.danciu@contelit.ro,Cluj > MUNICIPIUL DEJ > DEJ,0727328838,
ARTMAN SPEDITION SRL,artmanspedition@gmail.com,,+40756235469,
ASMARA DELIVERY SRL,office.uniceuro@gmail.com,Municipiul București > MUNICIPIUL BUCURESTI > BUCURESTI SECTORUL 2,0771793022,
ATHOS TRANSPORT S.R.L.,office@athos-trans.ro,,-,
ATS ALP TRANSPORT SRL,c_padurean@yahoo.com,,+40745257338,
AURA LOGISTIC SRL,oprescugabriel1616@gmail.com,Sibiu > MUNICIPIUL SIBIU > SIBIU,0771647904,
AVANTI FOOD DELIVERY SRL,catabt2000@yahoo.com,Botoșani > MUNICIPIUL BOTOSANI > BOTOSANI,0741658657,
AXL TRANSPORTES AXL SRL,loredana.axltrans@gmail.com,Cluj > CUZDRIOARA > CUZDRIOARA,0770467305,
BALASA DELIVERY COMPANY SRL,vlad.balasa28@gmail.com,,+40733254680,
BARNA LOGISTIC INSTAL S.R.L.,barnalogistic@gmail.com,Sat Tarian, Comuna Girisu de Cris,+40742630576,
B.A.T. EUROPEAN LOGISTICS SRL,rita.bobe1956@gmail.com,,+40752222062,
BCT TRANSPORT SRL,bct.transport@yahoo.ro,Timiș > GHIRODA,0755128990,
BCVO LOGISTICS SRL,cristian.codarean@bcvologistics.eu,Bistrița-Năsăud > MUNICIPIUL BISTRITA > VIISOARA,0732146782,
BISAR LOGISTICS S.R.L.,monac@avocatmonac.ro,Municipiul București > MUNICIPIUL BUCURESTI > BUCURESTI SECTORUL 1,0763344055,
BMF FAST DELIVERY S.R.L.,victor.bohus@acc-hr.com,,+40744342512,
BOGDAN & GABRIEL EUROTRANSPORT,bogdan.gabriel.eurotransport@gmail.com,,+40767012080,
BOGLAURA TRANSPORT S.R.L.,vegas.trans@yahoo.com,Bihor > BOROD > CORNITEL,0742903860,
BRT LOGISTICS EXPRESS S.R.L.,bretancasian90@gmail.com,,+40773959265,
BSY TRANSILVANIA TRANSPORT SRL,bsytransilvaniatransport@yahoo.com,,+40749993335,
BYAN LOGISTIC CEREAL,byanlogisticcereal@yahoo.com,,+40730775307,
BYM AUTO LOGISTICS SRL,bymautologistics@gmail.com,Giurgiu > ROATA DE JOS > SADINA,0761657727,
C&A FRACHT TRANSPORT LOGISTIK SRL,cafracht@yahoo.com,Giurgiu > OINACU > BRANISTEA,0246211452,
CARBON LOGISTIC S.A.,hr@carbonlogistic.com,GIARMATA,+40738283974,
CARGO SRL,contact@consolehotel.ro,Ialomița > MUNICIPIUL SLOBOZIA > SLOBOZIA,0722453346,
CARGO TERRA S.R.L.,aurelia.mincu@cargogroup.ro,Municipiul Slobozia,+40722453410,
CARGO TRACK SOLUTIONS SRL,hr@cargotrack.ro,Bihor > MUNICIPIUL ORADEA > ORADEA,0756145228,
CARGO TRANS SRL,cargo.trans@yahoo.com,CISNADIE,,
CAT PLUS DELIVERY S.R.L.,conta.cristinasabau@gmail.com,Cluj > MUNICIPIUL CLUJ-NAPOCA > CLUJ-NAPOCA,0725926197,
CC CITY CURIER DELIVERY SRL,patrascudragos75@gmail.com,Municipiul București > MUNICIPIUL BUCURESTI > BUCURESTI SECTORUL 1,0769133698,
CITY CONSTRUCT LOGISTIC S.R.L.,office@cityconstruct.ro,Loc. Voluntari, Oras Voluntari,,
CLEANING LOGISTIC DISTRIBUTION,office@cleaninglogistic.ro,Bucuresti,0730118539,
CLEANING LOGISTIC DISTRIBUTION SRL,office@cleaninglogistic.ro,,0730118539,http://www.cleaninglogistic.ro
CLEANING LOGISTIC DISTRIBUTION S.R.L.,office@cleaninglogistic.ro,Bucuresti,0730118539,
C.N.T.E.E. TRANSELECTRICA SA - SUCURSALA TERITORIALA DE TRANSPORT SIBIU,daniela.chiuia@transelectrica.ro,,+40269207120,
COLOMBO LOGISTICS SRL,pompivoinea@gmail.com,Ilfov > DASCALU > DASCALU,07308780480,
COM DIVERS LOGISTIC SRL,simona.ciubuc@comdivers.ro,Argeș > BASCOV > BASCOV,0730255850,
COMPANIA DE LOGISTICA SI DISTRIBUTIE WIT SRL,OFFICE@CLDWIT.RO,,+40757958265,
COMPANIA DE LOGISTICĂ ŞI DISTRIBUŢIE WIT SRL,office@cldwit.ro,Bacău > MUNICIPIUL BACAU > BACAU,0757958265,
COMPANIA DE TRANSPORT PUBLIC CLUJ NAPOCA S.A.,ratuc@mail.rdscj.ro,Cluj > MUNICIPIUL CLUJ-NAPOCA > CLUJ-NAPOCA,0264430917,
COMPANIA DE TRANSPORT PUBLIC IAŞI S.A.,mru@sctpiasi.ro,Iași > MUNICIPIUL IASI > IASI,0372148608,
