sector,country,total_companies,contactable,avg_score,tier_a,tier_b,has_ted_wins,opportunity_score
other,NO,905612,253445,36,223672,134869,3264,91366
unknown,RO,170341,31508,41,76403,35250,17131,12974
retail,NO,65740,16681,38,15023,11667,780,6278
construction,NO,60449,13244,35,11832,9753,569,4574
unknown,BG,65021,30819,10,310,950,57329,3036
it,NO,24527,7191,36,6358,2043,209,2624
transport,NO,26198,5650,35,5223,5053,196,1996
other,FR,11646058,16672,7,0,385,68480,1213
hospitality,NO,16233,3077,35,2875,2105,55,1087
trades,NO,6519,1848,38,1590,1020,199,708
unknown,PL,157353,4842,12,882,6006,109105,596
transport,RO,100335,100298,0,0,0,7,446
unknown,FR,192357,2380,11,618,4374,109098,267
unknown,DK,14199,3363,8,30,131,6875,252
other,RO,33995,27115,1,0,0,266,242
unknown,NO,15168,3934,4,41,141,4071,176
agriculture,NO,1394,415,38,353,190,22,158
unknown,DE,120365,1019,11,560,2692,84454,116
unknown,SE,26152,723,10,130,541,21663,73
unknown,FI,19156,578,11,55,340,9154,65
other,CZ,2150075,100,20,0,0,10100,20
healthcare,DK,1706,481,1,0,0,119,3
other,SE,104098,22,0,0,0,1924,0
retail,DK,9086,45,0,0,0,114,0
other,DK,167430,343,0,0,0,1655,0
other,DE,4880960,49,0,0,0,33382,0
transport,DK,2504,22,0,0,0,103,0
other,BG,1791,10,3,0,0,1048,0
other,BE,60056,320,0,0,0,823,0
other,AT,41735,11,0,0,0,1168,0
manufacturing,DK,1921,29,0,0,0,67,0
it,DK,5392,44,0,0,0,147,0
hospitality,DK,4408,27,0,0,0,2,0
construction,DK,3453,32,0,0,0,214,0
other,NL,160939,52,0,0,0,1020,0
agriculture,RO,575,311,0,0,0,0,0
other,IT,217463,38,0,0,0,6702,0
other,FI,52166,24,0,0,0,1198,0
