name,phone,city,country,sector,employees_count,lead_score,ted_wins,website,call_script_hint
DIFERIT SRL,+40264452311,Municipiul Cluj-Napoca,RO,,153,105,760,https://diferit.eu,We place qualified workers across multiple sectors
CONSTRUCTII ERBASU SA,+40212323545,Bucuresti Sectorul 1,RO,,1150,105,278,https://erbasu.ro,We place qualified workers across multiple sectors
OYL COMPANY HOLDING AG SRL,+40745266400,Municipiul Slobozia,RO,,388,105,106,https://www.oylcompanyholding.ro,We place qualified workers across multiple sectors
AUTOPRIMA SERV SRL,+40241550885,Municipiul Constanta,RO,,210,105,60,https://www.autoprimaserv.ro,We place qualified workers across multiple sectors
RECON SA,+40268417196,Municipiul Brasov,RO,,154,105,57,https://www.reconbv.ro,We place qualified workers across multiple sectors
ELSACO ELECTRONIC SRL,+40231514278,Municipiul Botosani,RO,,294,105,37,https://elsaco.com,We place qualified workers across multiple sectors
ANTREPRIZA DE REPARATII SI LUCRARI A R L CLUJ SA,+40264418620,Municipiul Cluj-Napoca,RO,,281,105,29,https://www.arlcluj.ro,We place qualified workers across multiple sectors
SOCIETATEA DE CONSTRUCTII NAPOCA S.A.,+40264425861,Municipiul Cluj-Napoca,RO,,104,105,17,https://www.sccnapoca.ro,We place qualified workers across multiple sectors
ELECTROMONTAJ SA,+40213367593,Bucuresti Sectorul 4,RO,,1144,105,14,https://electromontaj.ro,We place qualified workers across multiple sectors
ENERGOMONTAJ SA,+40213189303,Bucuresti Sectorul 1,RO,,778,105,8,https://saem.ro,We place qualified workers across multiple sectors
DEME MACARALE SRL,+40259479189,Municipiul Oradea,RO,,190,105,2,https://macarale.com,We place qualified workers across multiple sectors
INSTAL GROUP SRL,+40722397414,Municipiul Arad,RO,,58,100,6,https://www.instalgroup.ro,We place qualified workers across multiple sectors
ROMELECTRO SA,+40212004300,Bucuresti Sectorul 2,RO,,33,100,5,www.romelectro.ro,We place qualified workers across multiple sectors
EDAS-EXIM SRL,+40744522903,Bucuresti Sectorul 1,RO,,88,100,3,https://edas.ro,We place qualified workers across multiple sectors
COMPLEX DELTA SRL,+40040533604,Municipiul Tulcea,RO,,209,100,3,https://hoteldelta.eu,We place qualified workers across multiple sectors
EPRS.RO SRL,+40747338783,Bucuresti Sectorul 3,RO,,38,100,2,www.netafim.com.ro,We place qualified workers across multiple sectors
LUMEA IMOBILULUI S.R.L.,+40233211320,Bucuresti Sectorul 1,RO,,1,100,0,https://lumea.md,We place qualified workers across multiple sectors
ANAMELISS SRL S.R.L.,+40761941379,Municipiul Husi,RO,,11,100,0,,We place qualified workers across multiple sectors
WINDSOLAR ENERGY S.R.L.,+40755570653,Bucuresti Sectorul 1,RO,,0,100,0,https://windsolar.ro,We place qualified workers across multiple sectors
HYATT DEVELOPMENT 2011 SRL,+40740435809,Municipiul Pitesti,RO,,48,100,0,https://www.hdev.ro,We place qualified workers across multiple sectors
MONDO COM SRL,+40744105089,Municipiul Brasov,RO,,18,100,0,https://www.servisare.ro,We place qualified workers across multiple sectors
PLASTIC TEHNIC SUCEAVA S.R.L.,+40749683581,Municipiul Suceava,RO,,1,100,0,https://www.usi-termopane.ro,We place qualified workers across multiple sectors
REDRING SRL,+40256208150,Municipiul Timisoara,RO,,4,100,0,https://www.redring.ro,We place qualified workers across multiple sectors
SILVRETA SRL,+40244515987,"Sat Valea Anei, Comuna Starchiojd",RO,,30,100,0,http://www.silvreta.ro,We place qualified workers across multiple sectors
RUBBER WORLD S.R.L.,+40766289835,Bucuresti Sectorul 1,RO,,2,100,0,,We place qualified workers across multiple sectors
TIM CONSTRUCT ALUMINIUM S.R.L.,+40737091503,Bucuresti Sectorul 3,RO,,1,100,0,https://www.tamplariedealuminiu.ro,We place qualified workers across multiple sectors
ARHIP IZOTERM S.R.L.,+40723521287,Municipiul Hunedoara,RO,,1,100,0,https://www.ahpizoterm.ro,We place qualified workers across multiple sectors
SORELI GROUP SRL,+40728285342,Municipiul Arad,RO,,7,100,0,https://www.soreli.ro,We place qualified workers across multiple sectors
MELIORA CONSTRUCT S.R.L.,+40728767977,"Sat Rahova, Comuna Podenii Noi",RO,,4,100,0,,We place qualified workers across multiple sectors
GALAXY TERMO TRADING SRL,+40727960205,Municipiul Pitesti,RO,,4,100,0,https://www.ecofose.ro,We place qualified workers across multiple sectors
OVILUC SRL,+40260633004,Municipiul Zalau,RO,,48,100,0,,We place qualified workers across multiple sectors
AX INTERNATIONAL SRL,+40264435171,Municipiul Cluj-Napoca,RO,,3,100,0,https://www.ax-int.com,We place qualified workers across multiple sectors
INVESTA CCI SRL,+40262225221,Municipiul Baia Mare,RO,,96,100,0,http://investacci.ro,We place qualified workers across multiple sectors
FIALD IMOBILIARE SRL,+40755125911,Municipiul Bacau,RO,,101,100,0,https://www.fiald.ro,We place qualified workers across multiple sectors
ALMACLIMA SRL,+40721812059,Municipiul Constanta,RO,,14,100,0,https://www.almaclima.ro,We place qualified workers across multiple sectors
ARNOLD SRL,+40267310388,Municipiul Sfantu Gheorghe,RO,,27,100,0,https://www.arnoldsrl.ro,We place qualified workers across multiple sectors
AMW IMOBILIARE SRL,+40726224112,Municipiul Suceava,RO,,1,100,0,https://www.generalconstruct.ro,We place qualified workers across multiple sectors
CASA GRUP SRL,+40743477394,Municipiul Suceava,RO,,38,100,0,https://www.casagrup.ro,We place qualified workers across multiple sectors
COMFORTEX PRODUCTION SRL,+40724444499,Bucuresti Sectorul 3,RO,,64,100,0,https://www.jaluzele-ro.ro,We place qualified workers across multiple sectors
METGLASS  DISTRIBUTION S.R.L.,+40751060200,Municipiul Bistrita,RO,,12,100,0,https://www.metglass.ro,We place qualified workers across multiple sectors
INVEST SERVICII COMERCIALE SRL,+40722751687,Municipiul Dej,RO,,101,100,0,,We place qualified workers across multiple sectors
HIENTZAN ELECTRIC S.R.L.,+40746858179,Municipiul Galati,RO,,5,100,0,,We place qualified workers across multiple sectors
EXPO TEST CONSTRUCT SRL,+40740148334,Bucuresti Sectorul 3,RO,,32,100,0,http://www.acoperisuricase.ro,We place qualified workers across multiple sectors
BAWI CONSTRUCTION S.R.L.,+40372113000,Bucuresti Sectorul 1,RO,,161,100,0,https://www.bawi.ro,We place qualified workers across multiple sectors
NUKE'S TEAM CONSTRUCT S.R.L.,+40767315159,"Sat Ghelari, Comuna Ghelari",RO,,28,100,0,,We place qualified workers across multiple sectors
ACTIA GROUP ESP SRL,+40731814938,Bucuresti Sectorul 1,RO,,2,100,0,https://www.actiabuilding.com,We place qualified workers across multiple sectors
AQUA FLOW CONSTRUCT S.R.L.,+40752053797,"Sat Tiha Bargaului, Comuna Tiha Bargaului",RO,,20,100,0,,We place qualified workers across multiple sectors
MSD INSTALCONSTRUCT S.R.L.,+40745577908,"Sat Singeorgiu de Mures, Comuna Singeorgiu de Mures",RO,,17,100,0,,We place qualified workers across multiple sectors
MASTER BUILD SRL,+40756999111,Bucuresti Sectorul 1,RO,,31,100,0,https://masterbuild.ro,We place qualified workers across multiple sectors
SKY PARK SYSTEMS SRL,+40720449007,Municipiul Cluj-Napoca,RO,,10,100,0,,We place qualified workers across multiple sectors
RADICAL INSTAL SRL,+40744385253,Municipiul Moinesti,RO,,3,100,0,www.radicalinstal.ro,We place qualified workers across multiple sectors
NOVATES SRL,+40265267997,Municipiul Targu Mures,RO,,2,100,0,https://www.novates.ro,We place qualified workers across multiple sectors
INDFLOOR GROUP SRL,+40262215334,Municipiul Baia Mare,RO,,39,100,0,https://www.indfloor.ro,We place qualified workers across multiple sectors
INFRAWEB MANAGE SERVICES PROVIDER S.R.L.,0723231937,Bucuresti Sectorul 2,RO,,15,100,0,,We place qualified workers across multiple sectors
DRUMURI-PODURI MARAMURES SA,+40262216198,Municipiul Baia Mare,RO,,191,100,0,https://www.dpmm.ro,We place qualified workers across multiple sectors
RELVO INSTAL S.R.L.,+40727212743,Municipiul Iasi,RO,,0,100,0,https://www.relvo.ro,We place qualified workers across multiple sectors
LPV PROIECT CONSULT SRL,+40213306200,Bucuresti Sectorul 4,RO,,0,100,0,http://www.lpv.ro,We place qualified workers across multiple sectors
PRO CONECT SRL,+40364147480,Municipiul Cluj-Napoca,RO,,297,100,0,https://proconect.ro,We place qualified workers across multiple sectors
TANDIL INSTAL S.R.L.,+40746082080,Municipiul Baia Mare,RO,,13,100,0,https://www.tandil.co,We place qualified workers across multiple sectors
DEA LINE TRANS COM SRL,+40723613975,Bucuresti Sectorul 4,RO,,36,100,0,,We place qualified workers across multiple sectors
MODERN BAU SRL,+40364730001,Municipiul Cluj-Napoca,RO,,0,100,0,https://www.modernbau.ro,We place qualified workers across multiple sectors
LEMLAND SRL,+40236478670,Municipiul Galati,RO,,45,100,0,https://www.lemland.ro,We place qualified workers across multiple sectors
LIATI CONSTRUCT IMPEX SRL,+40252319965,"Sat Simian, Comuna Simian",RO,,72,100,0,,We place qualified workers across multiple sectors
DESIGNLAB & CONSTRUCT AG SRL,+40724269266,Municipiul Slatina,RO,,0,100,0,http://designlab-construct.ro,We place qualified workers across multiple sectors
CIBOCO SRL,+40740794064,"Loc. Negresti, Oras Negresti",RO,,52,100,0,,We place qualified workers across multiple sectors
NATURAL HOMES SRL,+40728125045,Municipiul Arad,RO,,3,100,0,https://www.naturalhomes.ro,We place qualified workers across multiple sectors
ROMANDIOLA SRL,+40256201175,Municipiul Timisoara,RO,,0,100,0,https://www.econometrica.ro,We place qualified workers across multiple sectors
PARAPET RUTIER S.R.L.,+40721857127,Municipiul Brasov,RO,,4,100,0,https://www.rogerutilaje.ro,We place qualified workers across multiple sectors
ELMA TRADING COMP. SRL,+40241690980,Municipiul Constanta,RO,,34,100,0,https://www.elmatrd.ro,We place qualified workers across multiple sectors
INFOCOMM SYSTEMS SRL,+40756567957,"Sat Luna de Sus, Comuna Floresti",RO,,23,100,0,http://www.infocomm.ro,We place qualified workers across multiple sectors
TERMOCONTROL SRL,+40730711013,Municipiul Arad,RO,,17,100,0,https://www.termocontrol.ro,We place qualified workers across multiple sectors
GRUP ENERGOINSTAL SA,+40722430487,Municipiul Cluj-Napoca,RO,,107,100,0,https://gei.ro,We place qualified workers across multiple sectors
STRIAL SRL,+40754020338,Bucuresti Sectorul 2,RO,,1,100,0,www.strial.ro,We place qualified workers across multiple sectors
ELNICRON SRL,+40265255900,Municipiul Targu Mures,RO,,1,100,0,https://www.elnicron.ro,We place qualified workers across multiple sectors
REAL DESIGN TRUST SRL,+40216500013,Bucuresti Sectorul 1,RO,,0,100,0,www.real-design.ro,We place qualified workers across multiple sectors
INOVECO S.R.L.,+40212400844,Oras Voluntari,RO,,220,100,0,https://inovecoexpert.ro,We place qualified workers across multiple sectors
GLASS WORLD SRL,+40268320102,Municipiul Brasov,RO,,5,100,0,https://www.glassworld.ro,We place qualified workers across multiple sectors
CAPABIL SRL,+40256499644,Municipiul Timisoara,RO,,58,100,0,,We place qualified workers across multiple sectors
ROYAL CONSULTING SRL,+40734192640,Municipiul Cluj-Napoca,RO,,1,100,0,www.royalconsulting.ro,We place qualified workers across multiple sectors
HAM TEHNIC SRL,+40741683386,Bucuresti Sectorul 3,RO,,64,100,0,https://hamgroup.ro,We place qualified workers across multiple sectors
E.ON ASIST COMPLET S.A.,+40759032529,Municipiul Targu Mures,RO,,753,100,0,https://eonasistcomplet.ro,We place qualified workers across multiple sectors
SAIDEL ENGINEERING S.A.,+40730588455,Bucuresti Sectorul 1,RO,,80,100,0,https://saidel.ro,We place qualified workers across multiple sectors
ELECTROPRECIZIA A.G. SRL,+40268273333,Municipiul Sacele,RO,,153,100,0,http://electroprecizia.ro,We place qualified workers across multiple sectors
GOLDHURST SRL,+40721485245,Bucuresti Sectorul 4,RO,,1,100,0,https://atlantisromania.ro,We place qualified workers across multiple sectors
TOTAL CONSTRUCT SRL,+40744690517,Municipiul Timisoara,RO,,4,100,0,https://www.total-construct.ro,We place qualified workers across multiple sectors
CON-A OPERATIONS S.R.L.,+40269560423,"Sat Selimbar, Comuna Selimbar",RO,,541,100,0,https://cona.ro,We place qualified workers across multiple sectors
DEUS CONSTRUCT SOLUTION SRL,+40742593321,Bucuresti Sectorul 1,RO,,2,100,0,https://www.seminee-deus.ro,We place qualified workers across multiple sectors
SNG IMPERIAL GROUP SRL,+40727379688,Bucuresti Sectorul 5,RO,,5,100,0,www.hidroizol.ro,We place qualified workers across multiple sectors
FORMIN SA,511250,Municipiul Caransebes,RO,,54,100,0,https://www.formin.ro,We place qualified workers across multiple sectors
ELECTROGRUP SA,+40264415120,Municipiul Cluj-Napoca,RO,,622,100,0,https://www.electrogrup.ro,We place qualified workers across multiple sectors
NOVA AUTOMATIZARI S.R.L.,+40757399182,Municipiul Iasi,RO,,1,100,0,https://www.nova-automatizari.ro,We place qualified workers across multiple sectors
AXA TRANS CONSTRUCT SRL,+40722296929,"Sat Cornetu, Comuna Cornetu",RO,,59,100,0,https://axatc.ro,We place qualified workers across multiple sectors
M&C GRANT CONSTRUCT SRL,0799139181,Bucuresti Sectorul 3,RO,,47,100,0,,We place qualified workers across multiple sectors
VIRTUAL BUSINESS SRL,+40232252379,Municipiul Iasi,RO,,4,100,0,https://www.e-alarma.ro,We place qualified workers across multiple sectors
SERVICE OUTSOURCING SRL,+40761330954,Bucuresti Sectorul 2,RO,,1,100,0,i-service.ro,We place qualified workers across multiple sectors
POWER INSTAL SERVICE SRL,+4598121292,Oras Popesti Leordeni,RO,,5,100,0,,We place qualified workers across multiple sectors
AZIRMAR CONSTRUCT SRL,+40214111119,Bucuresti Sectorul 1,RO,,4,100,0,http://www.azirmarconstruct.ro,We place qualified workers across multiple sectors
M&S CIRO CONSTRUCT SRL,+40746166688,Bucuresti Sectorul 3,RO,,10,100,0,,We place qualified workers across multiple sectors
MACOSIN SRL,+40741278181,Municipiul Suceava,RO,,8,100,0,https://www.macosin.ro,We place qualified workers across multiple sectors
IOANNINA IMPEX SRL,+40722667238,Bucuresti Sectorul 1,RO,,12,100,0,http://www.ioannina.ro,We place qualified workers across multiple sectors
MONDO INSTAL SRL,+40068424646,Municipiul Brasov,RO,,0,100,0,https://www.mondoinstal.ro,We place qualified workers across multiple sectors
SCA.MO.TER. SRL,+40740055954,Municipiul Sibiu,RO,,0,100,0,www.scamoter.ro,We place qualified workers across multiple sectors
MONTAJ MODULAR SRL,+40742005565,Municipiul Zalau,RO,,0,100,0,,We place qualified workers across multiple sectors
LITORAL CONSTRUCT SA,+40241611204,Municipiul Constanta,RO,,28,100,0,,We place qualified workers across multiple sectors
INSTAL GRUP SRL,+40269210093,Municipiul Sibiu,RO,,30,100,0,https://www.instalgrup.ro,We place qualified workers across multiple sectors
FLOREXPERT TRADING S.R.L.,+40723240766,Municipiul Oradea,RO,,1,100,0,http://www.florexpert.ro,We place qualified workers across multiple sectors
ONEGA PERFECT SRL,+40721573207,Municipiul Campina,RO,,7,100,0,,We place qualified workers across multiple sectors
ANLI IT CONSULT SRL,+40724338311,Municipiul Iasi,RO,,4,100,0,https://www.anli.ro,We place qualified workers across multiple sectors
AMIRAS C&L IMPEX SRL,+40731831077,Municipiul Targoviste,RO,,42,100,0,https://www.amiras.ro,We place qualified workers across multiple sectors
ATLAS SPORT SRL,+40749136610,Municipiul Targu Mures,RO,,83,100,0,https://www.atlassport.ro,We place qualified workers across multiple sectors
GIRONAP PROD SA,+40234310515,Municipiul Onesti,RO,,110,100,0,https://www.gironap.ro,We place qualified workers across multiple sectors
PROSERV SA,+40722402044,Municipiul Hunedoara,RO,,66,100,0,,We place qualified workers across multiple sectors
CRICON INTEGRAL SRL,+40752299709,Municipiul Buzau,RO,,8,100,0,https://www.cricon.ro,We place qualified workers across multiple sectors
BESSER ELECTRIK SRL,+40068327786,Municipiul Brasov,RO,,3,100,0,https://www.besserelectrik.ro,We place qualified workers across multiple sectors
MARUANI COM SRL,+40262250050,Municipiul Baia Mare,RO,,1,100,0,https://www.maruani.ro,We place qualified workers across multiple sectors
MABEC TRADING SRL,+40788525299,Bucuresti Sectorul 3,RO,,25,100,0,http://www.mabec.ro,We place qualified workers across multiple sectors
DACLIM HVAC SRL,+40722806312,Bucuresti Sectorul 4,RO,,71,100,0,https://daclim.ro,We place qualified workers across multiple sectors
AXO UTIL SRL,+40741100448,Municipiul Timisoara,RO,,109,100,0,https://axoutil.ro,We place qualified workers across multiple sectors
TRIUNION SRL,+40721203545,Municipiul Constanta,RO,,7,100,0,https://www.triunion.ro,We place qualified workers across multiple sectors
BOK DESIGN & BUILD S.R.L.,+40744274445,Municipiul Radauti,RO,,3,100,0,https://www.autoboca.ro,We place qualified workers across multiple sectors
GEPROCON SA,+40232277526,Municipiul Iasi,RO,,14,100,0,https://www.geprocon.ro,We place qualified workers across multiple sectors
PROEXIB INSTAL SRL,+40742106350,"Sat Sacalaz, Comuna Sacalaz",RO,,23,100,0,,We place qualified workers across multiple sectors
ELECTROCONSTRUCTIA ELCO SA,+40231514356,Municipiul Botosani,RO,,108,100,0,https://www.elcobotosani.ro,We place qualified workers across multiple sectors
MARIVA TAG CONSTRUCT S.R.L.,+40748149449,Municipiul Sibiu,RO,,4,100,0,https://www.kulttur.ro,We place qualified workers across multiple sectors
