standard_sector,country,template_path
construction,NO,D:/MEMORY/EMAIL/CAMPAIGNS/norway_virgil.txt
construction,RO,D:/MEMORY/HARGHITA/templates/harghita_phase1_construction.txt
construction,DEFAULT,D:/MEMORY/EMAIL/CAMPAIGNS/isc_constructii.txt
manufacturing,RO,D:/MEMORY/HARGHITA/templates/manufacturing.txt
manufacturing,DEFAULT,D:/MEMORY/EMAIL/CAMPAIGNS/factoryjobs_en.txt
hospitality,RO,D:/MEMORY/HARGHITA/templates/hospitality.txt
hospitality,DEFAULT,D:/MEMORY/EMAIL/CAMPAIGNS/horecaworkers_en.txt
transport,RO,D:/MEMORY/DELIVERY/tudor_template1.txt
transport,DEFAULT,D:/MEMORY/EMAIL/CAMPAIGNS/transport_en.txt
healthcare,DEFAULT,D:/MEMORY/EMAIL/CAMPAIGNS/careworkers_en.txt
it,DEFAULT,D:/MEMORY/EMAIL/CAMPAIGNS/it_sector_en.txt
agriculture,DEFAULT,D:/MEMORY/EMAIL/CAMPAIGNS/farmworkers_en.txt
DEFAULT,DEFAULT,D:/MEMORY/EMAIL/CAMPAIGNS/generic_en.txt
