company_name,role,project,email,phone,address,key_person,notes
Engurhesi Ltd,Borrower/Operator,Enguri HPP Phase IV + V (PSD 49649 + 54948),info@engurhesi.ge,+995 32 2 18 80 11,"Tbilisi 0186 Anna Politkovskaya Street No. 8","Irakli Inashvili (Financial Dir), Paata Tsintsadze (Technical Dir), Fati Kakauridze (Org Manager), Mariam Kotua (PR)",State-owned. Operates 1300 MW Enguri HPP = 30% of Georgia electricity
Tractebel Engineering SA,Consultant/Supervisor,Enguri HPP all phases,info@tractebel-engie.com,,"Boulevard Simon Bolivar 34-36 1000 Brussels Belgium",Cornelius (via contact form),"ENGIE subsidiary. Planning/supervising all Enguri rehab works. Hydropower & dams division. Natalia Campos Delgado (Project Manager, earlier phases)"
Ardanuy Ingenieria SA,Consultant (JV Lead),Tbilisi Metro Modernisation (PSD 52586),madrid@ardanuy.com,+34 917 99 45 00,"Av. de Europa 34 Edificio B 28023 Madrid Spain",,Railway/metro consulting. 850+ railway projects. EUR 4.2M contract for conceptual design + procurement support for 12 metro stations
IRD Engineering,Consultant (JV Partner),Tbilisi Metro Modernisation (PSD 52586),info@irdeng.com,+39 06.97611271,"Lungotevere delle Navi 30 00196 Roma Italy",,Italian engineering firm. Also supervised Bakurtsikhe-Tsnori road (completed 2024) and Tbilisi-Sagarejo road. Multiple Georgia contracts
China Railway Tunnel Group (CRTG),EPC Contractor Lot 1,Kvesheti-Kobi Road Tunnel (PSD 50271),info@crtg.cn,,"Beijing China (HQ); Georgia site office",,"Built 9km tunnel with custom TBM. Lot 1 near completion. State-owned Chinese enterprise. Facebook: CRCC23GEORGIA"
China Railway 23rd Bureau Group,EPC Contractor Lot 2,Kvesheti-Kobi Road Section (PSD 50271),,,,,"22.7km road section. Access roads. Chinese state enterprise"
UBM International United Consultants,Supervision/PMCSC,Kvesheti-Kobi Road (PSD 50271),,,,"Ankara Turkey (HQ); 3 Georgia site offices incl Tbilisi","Turkey's leading infrastructure consultancy est 1950. PMCSC contract awarded June 2019 by Roads Department. Also active in Tajikistan, Kazakhstan, Afghanistan"
Roads Department of Georgia,Client/Implementation,Kvesheti-Kobi Road (PSD 50271),givi.kveladze@georoad.ge; info@georoad.ge,+995 32 237 05 08,"12 Kazbegi Ave 0160 Tbilisi",Givi Kveladze,"Under Ministry of Regional Development and Infrastructure. Manages all Georgia highway projects"
Georgian State Electrosystem (GSE),Borrower/Operator,Power Grid Enhancement (PSD 51422),info@gse.com.ge; ekaterine.verulashvili@gse.com.ge,+(99532) 2 510 202,"2 Baratashvili Street Tbilisi 0108",Ekaterine Verulashvili (Head of PR),"State-owned transmission operator. EUR 267M total project. 500kV/220kV lines across Georgia. Part of ENIP (EUR 270M)"
Voltares Power Projects,Sponsor/Developer,Marneuli SPP 73 MW (PSD 55502),office@voltares.com; ioana.popescu@voltares.com,+43 676 4094837,"Lichtenfelsgasse 5/6 1010 Vienna Austria",Cornelius Patt (Founder); Ioana Popescu (contact),"Austrian renewable energy company. Georgia's largest solar PV. Co-financed by KfW IPEX-Bank"
