project_id,project_name,sector,ebrd_amount_eur,total_cost_eur,status,phase,borrower,implementing_entity,contact_person,contact_email,contact_phone,contractor_epc,contractor_email,contractor_phone,contractor_address,co_financiers,env_category,approval_date,notes
54948,Enguri HPP - Safety Upgrade (Phase V),Energy,28000000,35000000,Disbursing,Implementing,Georgia (sovereign),Engurhesi Ltd,,info@engurhesi.ge,+995 32 2 18 80 11,Tractebel Engineering SA (supervision/design),info@tractebel-engie.com,,Boulevard Simon Bolivar 34-36 1000 Brussels Belgium,EU (EUR 7.05M grant) + Japanese Government + KfW + EIB,B,2023-12-13,"Phase V: dam structural stability works, headrace tunnel rehab, generator circuit-breakers, relay protection, emergency valve, fish passage, road rehab. Enguri HPP = 1300 MW, 30% of Georgia electricity. Tractebel supervises all phases. Engurhesi contacts: Irakli Inashvili (Financial Dir), Paata Tsintsadze (Technical Dir), Fati Kakauridze (Org Manager), Mariam Kotua (PR). Address: Tbilisi 0186 Anna Politkovskaya St 8"
49649,Enguri HPP Climate Resilience Upgrade (Phase IV),Energy,38000000,45000000,Signed,Implementing,Georgia (sovereign),Engurhesi Ltd,,info@engurhesi.ge,+995 32 2 18 80 11,Tractebel Engineering SA,info@tractebel-engie.com,,Boulevard Simon Bolivar 34-36 1000 Brussels Belgium,EU + KfW + EIB,B,2019-10-30,"Phase IV extension: headrace tunnel and penstock rehabilitation. Expected +250 GWh production increase. Total EBRD financing across all Enguri phases: USD 112M"
50271,North-South Corridor (Kvesheti-Kobi) Road,Transport,53400000,497300000,Repaying,Implementing,Georgia (sovereign),Roads Department of Georgia,Givi Kveladze,givi.kveladze@georoad.ge,+995 32 237 05 08,"Lot 1: China Railway Tunnel Group (CRTG) - 9km tunnel; Lot 2: China Railway 23rd Bureau - road section",info@crtg.cn,,CRTG: Beijing China; Roads Dept: 12 Kazbegi Ave 0160 Tbilisi,ADB (EUR 370.2M) + Georgia (EUR 73.7M),A,2019-10-02,"23km bypass road, 5 tunnels (11.6km total incl 9km main tunnel), 6 bridges (1.6km total). EBRD finances Lot 1 (tunnel) only. Supervision: UBM International United Consultants (Turkey). Near completion 2025. Travel time 1h->15min. 4 workers died Nov 2025 retaining wall collapse"
52586,GrCF2 W1 - Tbilisi Metro Modernisation,Municipal Infrastructure,50600000,55600000,Disbursing,Implementing,Georgia (Ministry of Finance),Tbilisi Transport Company Ltd + City of Tbilisi,Tamar Machavariani,tmachavariani@metro.ge,+995322357777,"JV: Ardanuy Ingenieria SA (lead) + IRD Engineering (design/procurement support, EUR 4.2M contract)",madrid@ardanuy.com; info@irdeng.com,+34 917 99 45 00; +39 06.97611271,"Ardanuy: Av de Europa 34 Ed B 28023 Madrid Spain; IRD: Lungotevere delle Navi 30 00196 Roma Italy",Green Climate Fund (EUR 5M grant) + AIIB,B,2023-01-11,"Upgrade/rehabilitation of 12 metro stations: lighting, ventilation, energy-efficient escalators, drainage overhaul. Ardanuy-IRD JV for conceptual design and procurement support. Tbilisi Transport Company: Station Square 2 Tbilisi 0112. General: info@metro.ge"
51422,Power Grid Enhancement Project,Energy,90000000,267000000,Repaying,Implementing,Georgia (sovereign),Georgian State Electrosystem (GSE),Ekaterine Verulashvili,info@gse.com.ge,+(99532) 2 510 202,,,,"GSE: 2 Baratashvili Street Tbilisi 0108. Eka Verulashvili email: ekaterine.verulashvili@gse.com.ge","KfW + German Federal Ministry (EUR 120M) + EU NIP (EUR 10M grant)",A,2020-07-23,"4 components: 500kV OHL Tskaltubo-Akhaltsikhe-Tortum, North Ring (57km 220kV Nenskra-Mestia + Jvari substation + Nenskra substation + OHL Lajanuri-Tskaltubo + OHL Tskaltubo-Namakhvani-Tvishi-Lajanuri), Guria region reinforcement, Kakheti region reinforcement. Part of ENIP programme (EUR 270M total)"
55502,DFF SME - Marneuli Solar Power Plant (SPP),Energy,22100000,34900000,Approved,Implementing,ITEC LLC (SPV),Voltares Power Projects,Ioana Popescu,ioana.popescu@voltares.com,+43 676 4094837,Voltares Power Projects (sponsor/developer),office@voltares.com,,"Voltares: Lichtenfelsgasse 5/6 1010 Vienna Austria; ITEC: Tsagareli st. Tbilisi 0186",,B,2025-12-02,"Georgia's largest solar: 73 MW utility-scale PV in Marneuli (Kvemo Kartli, 30km south of Tbilisi). Expected 91.1 GWh/year output, -21077 tCO2/year. Co-financed by KfW IPEX-Bank. Founder: Cornelius Patt (Voltares). 100% green finance attribution"
51145,Green Investments in Buildings (GRIB),Municipal Infrastructure,40000000,50000000,Disbursing,Implementing,Georgia (Ministry of Finance),Municipal Development Fund (MDF),Davit Tabidze,mdf@mdf.org.ge,+995 32 2437001,,,,MDF: 3rd Floor #150 D. Aghmashenebeli Ave 0112 Tbilisi,EU NIP (EUR 10M investment grant),B,2022-03-09,"Energy efficiency upgrade and rehabilitation of ~200 public buildings (primarily schools). Expected -13333 tCO2/year, -253631 GJ/year energy savings. MDF website: mdf.ge. NOTE: Davit Tabidze detained Oct 2025 on abuse of office charges"
50842,Georgia Urban Transport Enhancement Programme,Municipal Infrastructure,19000000,24570000,Signed,Implementing,Georgia (Ministry of Finance),Municipal Development Fund (MDF),George Shengelia,mdf@mdf.org.ge,"+995 32 2437001 / +995 32 2437077",,,,MDF: 3rd Floor #150 D. Aghmashenebeli Ave 0112 Tbilisi,,B,2020-09-02,"~175 modern diesel Euro 5 buses for 6 secondary cities: Kutaisi, Gori, Telavi, Zugdidi, Rustavi, Poti. Corporate Development Programme for all cities. EUR 2.15M TC for transport reform + gender advisory"
54125,GrCF2 W1 - Tbilisi Waste Treatment Project,Municipal Infrastructure,22000000,26000000,Disbursing,Implementing,Georgia (Ministry of Finance),Tbilservice Group Ltd + City of Tbilisi,David Bodokia,dbodokia@gmail.com,+995 32 2619050,,,,Tbilservice: Isani-Samgori District Kakheti Highway 67 Tbilisi. www.tbsg.ge,,B,2023-12-05,"First waste treatment plant in Tbilisi: Materials Recovery Facility (MRF) for dry recyclables + Mechanical Biological Treatment (MBT) plant. Diverts waste from landfill. Tbilservice info@tbsg.ge. Director: David Pachulia"
54124,GrCF2 W2 E2 - Tbilisi Landfill Gas Project,Municipal Infrastructure,16000000,20000000,Disbursing,Implementing,Georgia (Ministry of Finance),Tbilservice Group Ltd + City of Tbilisi,David Bodokia,dbodokia@gmail.com,+995 32 2619050,,,,Tbilservice: Kakheti Highway 67 Tbilisi. www.tbsg.ge,E5P Fund (EUR 4M grant),B,2024-04-23,"Closure/remediation of Didi Lilo landfill cells + landfill gas collection/flaring/energy conversion system. Georgia's first gas-to-energy facility. Expected -75% GHG emissions. Serves 1.5M citizens"
