email,company,city,county,sector,employees,contact_name,phone,matched_skills,suggested_positions,cv_available
construct@porr.ro,Porr Construct SRL,Bucuresti Sectorul 2,Bucuresti,,1684,,+40723475706,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
secretariat@erbasu.ro,CONSTRUCTII ERBASU SA,Bucuresti Sectorul 1,Bucuresti,,1150,,+40212323545,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@em.ro,ELECTROMONTAJ SA,Bucuresti Sectorul 4,Bucuresti,,1144,,+40213367593,"construction,driver","Constructii drumuri, operatori utilaje",1
office@tancrad.ro,TANCRAD SRL,Municipiul Galati,Galati,,1007,,+40236406109,"construction,driver","Constructii drumuri, operatori utilaje",1
office@concelex.ro,CONCELEX SRL,Bucuresti Sectorul 1,Bucuresti,,910,,+40213185489,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
hr@imsat.ro,IMSAT SA,Bucuresti Sectorul 6,Bucuresti,,858,,+40213166600,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
callcenter@uticfm.ro,UTI CONSTRUCTION AND FACILITY MANAGEMENT S.A.,Oras Otopeni,Ilfov,,853,,3110517,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@domeniulpublicnapoca.ro,DOMENIUL PUBLIC NAPOCA S.A.,Municipiul Cluj-Napoca,Cluj,,834,,+40264552666,"construction,driver","Constructii drumuri, operatori utilaje",1
saem@saem.ro,ENERGOMONTAJ SA,Bucuresti Sectorul 1,Bucuresti,,778,,+40213189303,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
eugenia.lacatusu@eon-asistcomplet.ro,E.ON ASIST COMPLET S.A.,Municipiul Targu Mures,Mures,,753,,+40759032529,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
office@tiab.ro,TIAB SA,Bucuresti Sectorul 1,Bucuresti,,734,,+40720222260,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
hr@nessproject.eu,NESS PROIECT EUROPE SRL,Municipiul Ploiesti,Prahova,,680,,+40741113593,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
info@company.com,ELECTROGRUP SA,Municipiul Cluj-Napoca,Cluj,,622,,+40264415120,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
resurse.umane@conextrust.ro,CONEXTRUST SA,"Sat Blagesti, Comuna Blagesti",Bacau,,611,,+40734002608,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
cristian.crimec@gmail.com,CRIOMEC SA,Municipiul Galati,Galati,,575,,+40236312437,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
contact@acvatot.ro,ACVATOT SRL,Bucuresti Sectorul 2,Bucuresti,,560,,+40212520796,"construction,driver","Constructii drumuri, operatori utilaje",1
info@iremspa.it,IREM S.P.A.SIRACUSA-SUCURSALA BUCURESTI,Bucuresti Sectorul 1,Bucuresti,,543,,,"construction,driver","Constructii drumuri, operatori utilaje",1
office@cona.ro,CON-A OPERATIONS S.R.L.,"Sat Selimbar, Comuna Selimbar",Sibiu,,541,,+40269560423,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
cariere.oradea@mail.nidec.com,NIDEC ORADEA SRL,Municipiul Oradea,Bihor,,497,,+40374814000,factory,"Operatori masini, asamblori, mecanici",8
contact@celly.ro,GENERAL TRUST ARGES SRL,Municipiul Pitesti,Arges,,497,,+40248223303,"construction,driver","Constructii drumuri, operatori utilaje",1
office@danlin.ro,DANLIN XXL SRL,"Sat Horia, Comuna Horia",Neamt,,484,,+40374004740,"construction,driver","Constructii drumuri, operatori utilaje",1
suportsecretariat@yahoo.com,EURO CONSTRUCT TRADING 98 SRL,Bucuresti Sectorul 6,Bucuresti,,474,,+40212330372,"construction,driver","Constructii drumuri, operatori utilaje",1
secretariat@electricaserv.ro,"SOCIETATEA FILIALA DE INTRETINERE SI SERVICII ENERGETICE ""ELECTRICA SERV"" S.A.",Bucuresti Sectorul 1,Bucuresti,,472,,+40213065002,"construction,driver","Constructii drumuri, operatori utilaje",1
office@activgm.ro,ACTIV GROUP MANAGEMENT SRL,Bucuresti Sectorul 1,Bucuresti,,461,,2326841,"construction,welding,electrical","Instalatori, electricieni, zugr, faiantari",4
madalina.ciocinta@rcbetonbau.com,RC BETON BAU S.R.L.,Municipiul Iasi,Iasi,,454,,+40771627238,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
alexandra.niculae@terragaz.ro,TERRA GAZ CONSTRUCT SRL,"Loc. Otopeni, Oras Otopeni",Bucuresti,,445,,+40317171711,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
autotehnorom@gmail.com,AUTOTEHNOROM SRL,"Sat Sfantu Ilie, Comuna Scheia",Suceava,,416,,+40330803716,"construction,driver","Constructii drumuri, operatori utilaje",1
ana.puscasu@novum.ro,FAPACO SRL,"Sat Homoraciu, Comuna Izvoarele",Prahova,,402,,+40244293493,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@intertradegroup.ro,INTERTRADE GROUP LTD SRL,Municipiul Bacau,Bacau,,389,,+40741092551,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
rezervari@hotel-privighetoarea.ro,OYL COMPANY HOLDING AG SRL,Municipiul Slobozia,Ialomita,,388,,+40745266400,"construction,driver","Constructii drumuri, operatori utilaje",1
edi_miloiu@yahoo.com,DIMAR SRL,Bucuresti Sectorul 2,Bucuresti,,388,,,"construction,driver","Constructii drumuri, operatori utilaje",1
resurse.umane@cnir.ro,"COMPANIA NATIONALA DE INVESTITII ""C.N.I."" SA",Bucuresti Sectorul 5,Bucuresti,,381,,+40371660680,general,Diverse pozitii,45
aprovizionare@troiaconstruct.ro,TROIA PREMIUM CONSTRUCT SRL,Bucuresti Sectorul 6,Bucuresti,,377,,+40757682661,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
comercial@citadina98.ro,CITADINA 98 SA,Municipiul Galati,Galati,,375,,+40336802232,"construction,driver","Constructii drumuri, operatori utilaje",1
cioiua@yahoo.com,LEMACONS SRL,Municipiul Galati,Galati,,371,,+40336401574,"construction,driver","Constructii drumuri, operatori utilaje",1
office@acs3.ro,ALGORITHM CONSTRUCTII S3 SRL,Bucuresti Sectorul 3,Bucuresti,,342,,+40723193292,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
larisa.cristea@desacons.eu,DESA ENGINEERING CONSTRUCTION,Bucuresti Sectorul 2,Bucuresti,,341,,+40213233050,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
office@emprimeconstruct.ro,E.M. PRIME CONSTRUCT SRL,Bucuresti Sectorul 4,Bucuresti,,329,,+40721974349,"construction,driver","Constructii drumuri, operatori utilaje",1
dpo@conforturban-ct.ro,CONFORT URBAN SRL,Municipiul Constanta,Constanta,,317,,+40241672299,"construction,driver","Constructii drumuri, operatori utilaje",1
romconstructsa@yahoo.com,DAROCONSTRUCT SRL,Municipiul Iasi,Iasi,,316,,+40371024524,"construction,welding","Muncitori constructii, zidari, fierari betonisti",4
sdm@sdm-tm.ro,DRUMURI MUNICIPALE TIMISOARA SA,Municipiul Timisoara,Timis,,313,,+40256215005,"construction,driver","Constructii drumuri, operatori utilaje",1
