company_name,cui,phone,phone_e164,sector,city,jobs,positions_total,source_date
SANTIERUL NAVAL CONSTANTA SA,1879871,0241/505174,+40241505174,Construcții / Instalații,CONSTANTA,SUDOR CU ARC ELECTRIC ACOPERIT SUB STRAT DE FLUX(39) | LACATUS CONSTRUCTII METALICE SI NAVALE(70) | TUBULATOR NAVAL(40) | LACATUS-MONTATOR AGREGATE ENERGETICE SI DE TRANSPORT(20) | LACATUS MECANIC DE ÎNTRETINERE SI REPARATII UNIVERSALE(10),16718,20260416
NEP INSTAL CONSTRUCT SRL,37865168,0786793500,+40786793500,Construcții / Instalații,HORPAZ,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(6)",462,20260416
INTERNA HAC S.R.L.,35439174,0727403730,+40727403730,Construcții / Instalații,BUCURESTI SECTORUL 3,"FIERAR BETONIST(4) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(10) | ZUGRAV(8) | DULGHER (EXCLUSIV RESTAURATOR)(4) | TÂMPLAR UNIVERSAL(10)",432,20260319
ORANJEGROEP SERVICES SRL,37445857,+40 799 834 954,+40799834954,Construcții / Instalații,BRASOV,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(2)",34,20260320
LINEAR SERV MENTENANCE S.R.L.,35935470,00749197447,+749197447,Construcții / Instalații,CASTAU,MONTATOR PLACAJE INTERIOARE SI EXTERIOARE(2),34,20260320
LVB CONSTRUCȚII CIVILE ȘI INDUSTRIALE S.R.L.,40761523,0754020338,+40754020338,Construcții / Instalații,TARGU MURES,"INGINER CONSTRUCTII CIVILE, INDUSTRIALE SI AGRICOLE(2)",36,20260321
ZITICO SRL,9451721,0256497315,+40256497315,Construcții / Instalații,TIMISOARA,"FAIANTAR(3) | INSTALATOR RETELE TERMICE SI SANITARE(5) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(5) | SUDOR(3) | ZIDAR ROSAR-TENCUITOR(5)",1808,20260416
COMINCO OLTENIA SA,11881003,0751283101,+40751283101,Construcții / Instalații,RAMNICU VALCEA,SUDOR(2) | DULGHER (EXCLUSIV RESTAURATOR)(3) | FIERAR BETONIST(3),616,20260416
LIVMAR SRL,8983127,0240571129,+40240571129,Construcții / Instalații,MACIN,"MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(15) | TÂMPLAR UNIVERSAL(5) | ZIDAR ROSAR-TENCUITOR(5) | PROIECTANT INGINER CONSTRUCTII(1) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(3)",2059,20260416
S C TRANSTRADE SRL,14565536,0266214150,+40266214150,Construcții / Instalații,LUPENI,MUNCITOR NECALIFICAT ÎN MINE SI CARIERE(4),28,20260318
NETCOM ACTIV SRL,13151595,0230521268,+40230521268,Construcții / Instalații,SCHEIA,FRIGORIFERIST (FRIGOTEHNIST)(4),308,20260416
STIALMET SRL,10349866,0757077011,+40757077011,Construcții / Instalații,GALATI,CONFECTIONER TÂMPLARIE DIN ALUMINIU SI MASE PLASTICE(4) | ASAMBLATOR-MONTATOR PROFILE ALUMINIU SI GEAM TERMOPAN(5) | OPERATOR LA MASINI-UNELTE CU COMANDA NUMERICA(3) | MANIPULANT MARFURI(7) | SOFER DE AUTOTURISME SI CAMIONETE(1),1989,20260416
PARC ENERGIE SRL,50375040,0742155337,+40742155337,Construcții / Instalații,TECUCI,UCENIC(4),556,20260416
SC BITOLEANU SI ASOCIATII SRL,42879925,0728028114,+40728028114,Construcții / Instalații,BUCURESTI SECTORUL 2,ARHITECT CLADIRI(1),77,20260416
VIADUCT SRL,6682608,0266/218311,+40266218311,Construcții / Instalații,ODORHEIU SECUIESC,"MASINIST LA INSTALATIILE DE PREPARAT SI TURNAT BETON SI MIXTURI ASFALTICE(2) | INGINER CAI FERATE, DRUMURI SI PODURI(4)",322,20260416
TODOME FERO SRL,26228399,0729219331,+40729219331,Construcții / Instalații,LEU,OPERATOR LA MASINI-UNELTE CU COMANDA NUMERICA(8) | SUDOR CU ARC ELECTRIC CU ELECTROD NEFUZIBIL ÎN MEDIU DE GAZ PROTECTOR(7) | MUNCITOR NECALIFICAT ÎN INDUSTRIA CONFECTIILOR(6),1617,20260416
IRON RECYCLE SRL,24182945,0766221458,+40766221458,Construcții / Instalații,ALMASU MIC,Conducător auto transport rutier de mărfuri(5) | MASINIST LA MASINI PENTRU TERASAMENTE (IFRONIST)(3) | EXCAVATORIST PENTRU EXCAVATOARE CU ROTOR DE MARE CAPACITATE(3) | Conducător auto transport rutier de mărfuri(4),1155,20260416
AECOM ENGINEERS & CONSTRUCTORS ROMANIA S.R.L.,15991432,0741092111,+40741092111,Construcții / Instalații,BUCURESTI SECTORUL 2,"INGINER CHIMIST(1) | INGINER CAI FERATE, DRUMURI SI PODURI(1) | PROIECTANT INGINER CONSTRUCTII(1) | PROIECTANT SISTEME INFORMATICE(1) | CARTOGRAF(1)",4257,20260416
ACTIVE AMBIENT S.R.L.,48393559,0264322447,+40264322447,Construcții / Instalații,TURDA,FAIANTAR(5) | SOFER DE AUTOTURISME SI CAMIONETE(2) | TÂMPLAR UNIVERSAL(5) | ZUGRAV(3) | FIERAR BETONIST(2),1725,20260416
CONEXTRUST SA,947730,0734002608,+40734002608,Construcții / Instalații,BLAGESTI,"FIERAR BETONIST(10) | DULGHER (EXCLUSIV RESTAURATOR)(8) | INSTALATOR INSTALATII TEHNICO-SANITARE SI DE GAZE(10) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(15) | FIERAR BETONIST(4)",3850,20260416
LINDA STAR CONSTRUCT S.R.L.,43423519,0264322447office,+40264322447,Construcții / Instalații,TURDA,"ZIDAR ROSAR-TENCUITOR(4) | FAIANTAR(4) | FIERAR BETONIST(6) | FAIANTAR(8) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(9)",2926,20260416
A.C.I. - A.G. SRL,8905099,0740070074,+40740070074,Construcții / Instalații,MUNICIPIUL SUCEAVA,"MUNCITOR NECALIFICAT LA SPARGEREA SI TAIEREA MATERIALELOR DE CONSTRUCTII(50) | MUNCITOR NECALIFICAT LA DEMOLAREA CLADIRILOR, CAPTUSELI ZIDARIE, PLACI MOZAIC, FAIANTA, GRESIE, PARCHET(50)",5800,20260416
