company_name,email,country,city,website,address,contract_value,authority,authority_country,cpv,notice_id,year
6beaufort,6beaufort@7090.be,BEL,Braine-Le-Comte,,Rue Ferrer 11,,Fonds Social du Secteur Socioculturel et Sportif des communautés francophone et germanophone (Fonds 4S),BEL,79630000,329140-2024,2024
Van Mossel DC,aabestedingen@vanmossel.be,BEL,Brugsesteenweg 30,,,,VZW Inframut,BEL,34110000,178165-2025,2025
CIRIL NV,aanbesteding.brussel@democo.be,BEL,"Herkenrodesingel 4B, 3500 Hasselt",,,,citydev,BEL,45211000,89454-2024,2024
Crabbé Dakwerken nv,aanbesteding@crabbe.be,BEL,Zoutleeuw,,Ossenwegstraat 34A,218811.84,Stad Mechelen,BEL,45261910,47472-2024,2024
Abbott nv,aanbestedingen@abbott.com,BEL,Waver,,Avenue Einstein 14,,Universitair Ziekenhuis Gent,BEL,33696500,125142-2025,2025
ABO,aanbestedingen@abo-group.eu,BEL,Sint-Denijs-Westrem,,Derbystraat 55,,Initia.Vlaanderen,BEL,71600000,531602-2025,2025
ANROB,aanbestedingen@anrob.be,BEL,Zele,,Veldeken 44-A,,Infrabel nv,BEL,77312000,542700-2025,2025
AXI,aanbestedingen@axi.be,BEL,Willebroek,,Molenweg 107,,Autorité de protection des données,BEL,72212311,406512-2024,2024
Cordeel Zetel Temse NV,aanbestedingen@cordeel.eu,BEL,Temse,,Frank van Dyckelaan 15,10885774.30,"Haven van Antwerpen-Brugge, NV van publiek recht",BEL,45210000,31687-2025,2025
De Vlieger R en Cie,aanbestedingen@de-vlieger.be,BEL,Zele,,Schrijnwerkerstraat 11,323130.00,Gemeente Sint-Gillis-Waas,BEL,77312100,310120-2025,2025
FKS - Formal and Knowledge Systems,aanbestedingen@fks.be,BEL,Hasselt-Kuringen,http://www.fks.be/,Grote Baan 79,,Westtoer apb,BEL,72000000,116494-2025,2025
FRANKI CONSTRUCT NV,aanbestedingen@franki.be,BEL,Kontich,http://www.frankiconstruct.be/,Kartuizersweg 1,10583235.28,SCK CEN Stichting van Openbaar Nut,BEL,45210000,172019-2025,2025
RCA,aanbestedingen@friendsofcartel.be,BEL,Hasselt,,Koningin Astridlaan 38,245755,VZW Vlaams Centrum voor Agro- en Visserijmarketing ,BEL,79340000,834001-2025,2025
TM Ghent Dredging - Aertssen,aanbestedingen@ghentdredging.be,BEL,Eke,,Steenweg 250,,"Haven van Antwerpen-Brugge, NV van publiek recht",BEL,45112500,449403-2025,2025
HERBOSCH - KIERE,aanbestedingen.hk@eiffage.com,BEL,Kallo,,Sint-Jansweg(KAL) 7,2402908.65,Stad Diest,BEL,45233162,534225-2025,2025
i-mens vzw,aanbestedingen@i-mens.be,BEL,Zwijnaarde,,,,Helan Onafhankelijk Ziekenfonds  ,BEL,85311300,449893-2024,2024
KBC ASSURANCES,Aanbestedingen.KBCV@verz.kbc.be,BEL,Leuven,,Professor Van Overstraetenplein 2,,Katholieke Universiteit te Leuven,BEL,66510000,145887-2025,2025
KONVERT INTERIM WALLONIE,aanbestedingenKIW@konvert.be,BEL,Tournai,,Rue du Sondart 2,,Tibi - Société coopérative - Intercommunale - Entreprise publique de Gestion intégrée des Déchets,BEL,79600000,608991-2024,2024
LAb9Pro nv,aanbestedingen@lab9pro.be,BEL,Kortrijk,,,,Infrabel nv,BEL,48000000,764982-2025,2025
LICENCE TO BUILD ARCHITECTS-ENGINEERS,aanbestedingen@licencetobuild.be,BEL,Dilbeek,,Oudesmidsestraat 27,92000.00,Stad Borgloon,BEL,71240000,661563-2024,2024
WILLEMEN INFRA,aanbestedingen.oost@willemeninfra.be,BEL,Hasselt,,Paalsteenstraat 34,6576450.37,Fluvius System Operator cv (Speciale Sectoren),BEL,45233120,679765-2024,2024
PLANTYN,aanbestedingen@plantyn.com,BEL,Berchem,,Posthofbrug 6-8-3,,Thomas More Kempen,BEL,48450000,632966-2024,2024
Prowise Belgium,aanbestedingen@prowise.com,BEL,Machelen,,Pegasuslaan 5,,i-CITY,BEL,32000000,760509-2025,2025
Universiteit Antwerpen,aanbestedingenriva@uantwerpen.be,BEL,Antwerpen,,Prinsstraat 13,491018,De Vlaamse Waterweg nv,BEL,79720000,432224-2025,2025
TM - Schoofs - Driesen,aanbestedingen@schoofsbouw.be,BEL,Borgloon,,Daalhofstraat 45,7770528.92,Gemeenschapsonderwijs,BEL,45000000,339971-2025,2025
Van Mossel VMS Antwerpen,Aanbestedingen@vanmossel.be,BEL,Antwerpen,,Noorderlaan 32,2500000,Aankoopcentrale Groep CM-MC vzw,BEL,34136100,191174-2025,2025
Willemen Infra nv,aanbestedingen.west@willemeninfra.be,BEL,Drongen,http://www.willemeninfra.be/,Booiebos 4,,North Sea Port Flanders nv van publiek recht,BEL,45000000,477574-2025,2025
WYCOR,aanbestedingen@wycor.eu,BEL,Wetteren,,Biezeweg 6,12642437.41,"VZW Raakzaam, bijgestaan door Belfius Bank nv",BEL,45000000,801084-2024,2024
TM VANDERSTRAETEN - HOUBEN,aanbesteding@houbennv.be,BEL,Hasselt,,Prins-Bisschopssingel 36-5,5155545.48,Ministère de la Défense,BEL,45000000,161275-2025,2025
AUDEBO,aankoop@audebo.be,BEL,Lochristi,,Bedrijvenlaan 4,9235492.7,Aquafin NV,BEL,45232411,784827-2025,2025
BAKKERIJ THYSSEN,aankoop@bakkerijthyssen.be,BEL,Sint-Gillis-Waas,,Kluizenhof(SGW) 15,,AZ Oostende,BEL,15810000,281745-2025,2025
