company,country,county,city,address,postal_code,category,subcategory,type,registration_id,email,email2,email3,phone,phone2,phone3,website,contact_person,contact_dept,contact_title,products,services,activity,employees,revenue,founded,vat_id,cui,status,notes,anofm_email,anofm_phone,anofm_address,web_email,web_phone,web_website,best_email,best_phone,best_address,verified,source_file,source_system,scrape_date,update_date,export_date,priority,score,tags,campaign_id,notes2
De Coltesti SRL,RO,Alba,39868/31.03.2025,Depozit alimentar,,Rulota fixa,,,10978/27.08.2024,,,,,,,,,,,,,27.inregistrate punct vanzare mobil,,,,,,,,,,,,,,,,"Sat Coltesti,Nr.77-78,Com.Rimetea",,27.inregistrate-punct-vanzare-mobil_3.xls,,,,,,,,,
SC AGROMEC SRL,RO,Alba,SEBES,"SEBES, STR. CALARASI, NR. 41",,DEPOZIT CEREALE,,,234/04.11.08,,,,,,,,,,,,,29.inregistrate depozite seminte de consum,,,,,,,,,,,,,,,,"SEBES, STR. CALARASI, NR. 41",,29.inregistrate-depozite-seminte-de-consum_1.xls,,,,,,,,,
"SOCIETATEA AGRICOLA ""AVRAM IANCU"" SEBES",RO,Alba,SEBES,"SEBES, STR. CALARASI, NR. 45",,DEPOZIT CEREALE,,,385/08.07.2010,,,,,,,,,,,,,29.inregistrate depozite seminte de consum,,,,,,,,,,,,,,,,"SEBES, STR. CALARASI, NR. 45",,29.inregistrate-depozite-seminte-de-consum_1.xls,,,,,,,,,
SOCIETATEA AGRICOLA TRITICUM SEBES,RO,Alba,SEBES,"SEBES, STR. CALARASI, NR. 45",,DEPOZIT CEREALE,,,384/08.07.2010,,,,,,,,,,,,,29.inregistrate depozite seminte de consum,,,,,,,,,,,,,,,,"SEBES, STR. CALARASI, NR. 45",,29.inregistrate-depozite-seminte-de-consum_1.xls,,,,,,,,,
SOCIETATEA AGRICOLA SEBESANA SEBES,RO,Alba,SEBES,"SEBES, STR. CALARASI,NR. 45",,DEPOZIT CEREALE,,,386/08.07.2010,,,,,,,,,,,,,29.inregistrate depozite seminte de consum,,,,,,,,,,,,,,,,"SEBES, STR. CALARASI,NR. 45",,29.inregistrate-depozite-seminte-de-consum_1.xls,,,,,,,,,
SOCIETATEA AGRICOLA VINTANA,RO,Alba,VINTU DE JOS,"VINTU DE JOS, STR. L. BLAGA, NR. 63",,DEPOZIT CEREALE,,,387/08.07.2010,,,,,,,,,,,,,29.inregistrate depozite seminte de consum,,,,,,,,,,,,,,,,"VINTU DE JOS, STR. L. BLAGA, NR. 63",,29.inregistrate-depozite-seminte-de-consum_1.xls,,,,,,,,,
SOCIETATEA AGRICOLA FRATIA-92,RO,Alba,LANCRAM,"LANCRAM, SOSEAUA E 81",,DEPOZIT CEREALE,,,389/08.07.2010,,,,,,,,,,,,,29.inregistrate depozite seminte de consum,,,,,,,,,,,,,,,,"LANCRAM, SOSEAUA E 81",,29.inregistrate-depozite-seminte-de-consum_1.xls,,,,,,,,,
SC FITOMAR SRL,RO,Alba,VINTU DE JOS,"VINTU DE JOS, STR. 1 DECEMBRIE, NR. 3",,DEPOZIT CEREALE,,,395/20.07.2010,,,,,,,,,,,,,29.inregistrate depozite seminte de consum,,,,,,,,,,,,,,,,"VINTU DE JOS, STR. 1 DECEMBRIE, NR. 3",,29.inregistrate-depozite-seminte-de-consum_1.xls,,,,,,,,,
SC COMCEREAL SRL,RO,Alba,BLAJ,"BLAJ, STR. M. KOGALNICEANU, NR. 42",,DEPOZIT CEREALE,,,211/26.08.2008,,,,,,,,,,,,,29.inregistrate depozite seminte de consum,,,,,,,,mihaela.bursuc@comcerealbt.ro,40758990515,,,,,mihaela.bursuc@comcerealbt.ro,40758990515,"BLAJ, STR. M. KOGALNICEANU, NR. 42",,29.inregistrate-depozite-seminte-de-consum_1.xls,,,,,,,,,
SOCIETATEA AGRICOLA AGROBIANA BIIA,RO,Alba,BIIA,"BIIA-SONA, NR. 454",,DEPOZIT CEREALE,,,392/12.07.2010,,,,,,,,,,,,,29.inregistrate depozite seminte de consum,,,,,,,,,,,,,,,,"BIIA-SONA, NR. 454",,29.inregistrate-depozite-seminte-de-consum_1.xls,,,,,,,,,
SC MECSOL GALDA SRL,RO,Alba,Galda de Jos,"GALDA DE JOS, STR. PRINCIPALA, NR. 573",,DEPOZIT CEREALE,,,396/29.07.2010,,,,,,,,,,,,,29.inregistrate depozite seminte de consum,,,,,,,,,,,,,,,,"GALDA DE JOS, STR. PRINCIPALA, NR. 573",,29.inregistrate-depozite-seminte-de-consum_1.xls,,,,,,,,,
