company_name,email,country,city,website,address,contract_value,authority,authority_country,cpv,notice_id,year
Chefs Culinar GmbH,18vki@chefsculinar.at,AUT,Hallein,,,2455000,Stadt Graz,AUT,15000000,48900-2025,2025
Hilfswerk Personaldienstleistungs-GmbH,24stunden@hilfswerk.at,AUT,Wien,,,280000,AGES - Österreichische Agentur für Gesundheit und Ernährungssicherheit GmbH,AUT,85121270,255872-2024,2024
Elsta Mosdorfer GmbH,aaron.marschnig@elsta.com,AUT,Kaindorf/Sulm,,Bahnstraße 29,3399236.96,"Salzburg AG für Energie, Verkehr und Telekommunikation & Salzburg Netz GmbH",AUT,31213100,15769-2025,2025
Kessler bewegt`s GmbH,abbruch@kesslerbewegts.com,AUT,Nenzing,,,264570.01,Marktgemeinde Frastanz,AUT,45111100,408393-2024,2024
Los 17 Rahmenvereinbarungspartner 4,abc@abc.com,AUT,Wien,,Stadlauerstraße 54 und 56,77567002,Magistrat der Stadt Wien - Magistratsabteilung 01,AUT,72000000,861297-2025,2025
IAT GmbH,abdichtung.wien@i-a-t.at,AUT,Wien,,7. Haidequerstraße 5B,386766.69,Bundesimmobiliengesellschaft m.b.H.,AUT,45261214,322933-2025,2025
SoftwareONE Österreich GmbH,abdulah.begovic@softwareone.com,AUT,Wien,,Obere Donaustraße 95,5303167.93,Fonds Soziales Wien,AUT,48000000,825661-2025,2025
pla.net architects ZT GmbH / Inszenierte Kommunikation Marketing GmbH,abel@planet-architects.com,AUT,Wien,,Neubaugasse 44/14,278985.0,Schlo Schonbrunn Kultur- und Betriebsges.m.b.H.,AT,79956000,230682-2022,2022
STRABAG AG (STR M30 Konzorcium),abel.santa@strabag.com,AUT,Spittal an der Drau,,Ortenburgerstrae 27.,39944503947.0,NIF Zrt.,HU,45233110,639841-2022,2022
böhler Abfall GmbH,abfall@boehler.org,AUT,Feldkirch,https://www.boehler.org/abfall/,Wässerfeld 5,2052518,Land Vorarlberg,AUT,90500000,623445-2025,2025
Grundner GmbH,abfall@grundner-transporte.at,AUT,Alland,,Feldgasse 302,7543750.00,Österreichische Bundesforste AG,AUT,77211000,832786-2025,2025
ABL&E Handelsgesellschaft m.b.H.,ablevie@ablelab.cz,AUT,Wien,http://www.ablelab.com/,Kettenbruckengasse 20,387250.0,Univerzita Palackeho v Olomouci,CZ,38433000,259304-2020,2020
Kanalservice Mayer GmbH,a.blochberger@biopower.co.at,AUT,Gromeiseldorf,,Gromeiseldorf 200,4678800.0,LINZ SERVICE GmbH,AT,90500000,167533-2021,2021
HPN High Performance Networking IT GmbH,a.braun@hpn.at,AUT,Katzelsdorf,,,280800.0,FM-Plus Facility Management GmbH fur Wissenschaft + Kultur in NOE,AT,72000000,260371-2022,2022
Base-IT GmbH,abrechnung@baseit.at,AUT,Linz,,,400000,IT-Services der Sozialversicherung GmbH,AUT,72000000,768110-2024,2024
AnneBreitner GmbH,a.breitner@annebreitner.com,AUT,Wien,,,1800000,Fonds Kuratorium Wiener Pensionisten-Wohnhäuser – Häuser zum Leben,AUT,80522000,572345-2025,2025
Tischlerei Gruber GmbH,a.brunner@tischlereigruber.at,AUT,Niederwolz,,Gruberweg 41,47820.0,Magistrat der Stadt Wien - Magistratsabteilung 34,AT,39151000,484399-2023,2023
Ingenieurbüro MMag. Albert Ernst Rechberger,abteilung15@stmk.gv.at,AUT,Graz,,Eythgasse 26,104170,"Bundesministerium für Land- und Forstwirtschaft, Regionen und Wasserwirtschaft",AUT,71610000,509203-2025,2025
Abteilung 1 Organisation und Informationstechnik,abteilung1@stmk.gv.at,AUT,Burggasse,https://www.verwaltung.steiermark.at/,Abteilung 1 - Organisation und Informationstechnik,1003440,Land Steiermark - Land Steiermark,AUT,72000000,322701-2025,2025
ABZ training&consulting gmbh,abzaustria@abz-austria.at,AUT,Wien,,Simmeringer Hauptstraße 154,51000,AUFLEB GmbH,AUT,85321000,73806-2025,2025
