company_name,email,country,city,website,address,contract_value,authority,authority_country,cpv,notice_id,year
STRABAG Építőipari Zártkörűen Működő Részvénytársaság,021_EKR@strabag.com,HUN,Budapest,https://www.strabag.hu,Gábor Dénes (Infopark D épület) Utca 2.,1990248475.00,Szegedi Hulladékgazdálkodási Nonprofit Kft.,HUN,45222110,468332-2025,2025
Elektromágus Korlátolt Felelőségű Társaság,024box@gmail.com,HUN,Budapest,,Nagytétényi út 190./b.,112500000.00,Fővárosi Állat - és Növénykert,HUN,50000000,386938-2025,2025
STRABAG Rail Korlátolt Felelősségű Társaság,025_EKR@strabag.com,HUN,Budapest,https://www.strabag.hu,Gábor Dénes (Infopark D épület) Utca 2.,116693803943.00,Építési és Közlekedési Minisztérium,HUN,45234100,456455-2025,2025
STRABAG Építő Korlátolt Felelősségű Társaság,042_EKR@strabag.com,HUN,Budapest,https://www.strabag.hu,Gábor Dénes (Infopark D épület) Utca 2.,648452318.00,Pécsi Tudományegyetem,HUN,45200000,867863-2025,2025
Züblin Építőipari Beruházási és Szolgáltató Korlátolt Felelősségű Társaság,103_EKR@strabag.com,HUN,Budapest,,Gábor Dénes (Infopark D épület) Utca 2.,,Dunamelléki Református Egyházkerület,HUN,71220000,172161-2025,2025
STRABAG-MML Magas- és Mérnöki Létesítmény Építő Korlátolt Felelősségű Társaság,107_EKR@strabag.com,HUN,Budapest,https://www.strabag.hu,Gábor Dénes (Infopark D épület) Utca 2.,2114665115.00,Kaposvári Szakképzési Centrum,HUN,45000000,295810-2025,2025
STRABAG Általános Építő Korlátolt Felelősségű Társaság,109_EKR@strabag.com,HUN,Budapest,https://www.strabag.hu,Gábor Dénes (Infopark D épület) Utca 2.,5364534718.00,Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,HUN,45233140,243298-2025,2025
STRABAG Vasútépítő Korlátolt Felelősségű Társaság,135_EKR@strabag.com,HUN,Budapest,https://www.strabag.hu,Gábor Dénes (Infopark D épület) Utca 2.,61998737054.00,Építési és Közlekedési Minisztérium,HUN,45234100,598252-2025,2025
STRABAG Vízépítő Korlátolt Felelősségű Társaság,136_ekr@strabag.com,HUN,Budapest,https://www.strabag.hu,Gábor Dénes (Infopark D épület) Utca 2.,565258890.00,TETTYE FORRÁSHÁZ Pécsi Városi Víziközmű Üzemeltetési Zártkörűen Működő Részvénytársaság,HUN,45000000,318708-2025,2025
STRABAG Generálépítő Korlátolt Felelősségű Társaság,137_EKR@strabag.com,HUN,Budapest,https://www.strabag.hu,Gábor Dénes (Infopark D épület) Utca 2.,371236697.00,BKM Budapesti Közművek Nonprofit Zártkörűen Működő Részvénytársaság,HUN,45232140,772796-2025,2025
