company,country,county,city,address,postal_code,category,subcategory,type,registration_id,email,email2,email3,phone,phone2,phone3,website,contact_person,contact_dept,contact_title,products,services,activity,employees,revenue,founded,vat_id,cui,status,notes,anofm_email,anofm_phone,anofm_address,web_email,web_phone,web_website,best_email,best_phone,best_address,verified,source_file,source_system,scrape_date,update_date,export_date,priority,score,tags,campaign_id,notes2
Caterforce,UK,,Macclesfield,"2nd Floor, Fence House, Fence Avenue",SK10 1LT,Wholesale,Foodservice Distributor,,,,,,+44 1625 440188,,,caterforce.co.uk,,,,,,,,,,,,,"ECD member, 9 wholesalers, 34000 customers, GBP 800M turnover",,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Dansk Cater,DK,,Svenstrup,Vidalsvej 6,9230,Wholesale,Foodservice Distributor,,,info@cater.dk,,,+45 96 37 20 20,,,cater.dk,,,,,,,,,,,,,"ECD member, Euro Cater Group",,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
GV Food Union / Service-Bund,DE,,Offenburg,Hanns-Martin-Schleyer-Strasse 2,77656,Wholesale,Foodservice Distributor,,,info@intergast.de,,,+49 781 616 133,,,servicebund.de,,,,,,,,,,,,,"ECD member, 160 sites in Germany",,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
INTERGAST,DE,,Offenburg,,,Wholesale,Foodservice Distributor,,,info@intergast.de,,,,,,intergast.de,,,,,,,,,,,,,"ECD member, 43 member companies, 100 locations",,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Servicegrossistene AS,NO,,Oslo,Lilleakerveien 10,0283,Wholesale,Foodservice Distributor,,,firmapost@sg.no,,,+47 32 218 000,,,sg.no,,,,,,,,,,,,,"ECD member, 2nd largest in Norway, EUR 400M turnover",,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
CVIS,NL,,Ede,Galvanistraat 12-2,6716 AZ,Wholesale,Foodservice Distributor,,,info@ecd.eu,,,+31 318 698 330,,,topclassgroup.nl,,,,,,,,,,,,,"ECD member, 22 wholesalers in 29 locations",,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Eurogast Austria,AT,,Zams,Hauptstrasse 150,6511,Wholesale,Foodservice Distributor,,,zentrale@eurogast.at,,,+43 5442 90 807,,,eurogast.at,,,,,,,,,,,,,"ECD member, 10 private wholesalers",,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Cateringross,IT,,,,,Wholesale,Foodservice Distributor,,,,,,,,,cateringross.net,,,,,,,,,,,,,ECD member Italy,,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Digit,BE,,,,,Wholesale,Foodservice Distributor,,,,,,,,,digit.be,,,,,,,,,,,,,ECD member Belgium,,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Kaupmees,EE,,,,,Wholesale,Foodservice Distributor,,,,,,,,,kaupmees.ee,,,,,,,,,,,,,ECD member Estonia,,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Wihuri Metro-tukku,FI,,,,,Wholesale,Foodservice Distributor,,,,,,,,,wihuri.fi,,,,,,,,,,,,,ECD member Finland,,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Svensk Cater,SE,,,,,Wholesale,Foodservice Distributor,,,,,,,,,cater.se,,,,,,,,,,,,,"ECD member Sweden, Euro Cater Group",,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Top Food Group,CH,,,,,Wholesale,Foodservice Distributor,,,,,,,,,topfoodgroup.ch,,,,,,,,,,,,,ECD member Switzerland,,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Garri,CZ,,,,,Wholesale,Foodservice Distributor,,,,,,,,,,,,,,,,,,,,,,ECD member Czech Republic,,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Marathon,GR,,,,,Wholesale,Foodservice Distributor,,,,,,,,,,,,,,,,,,,,,,ECD member Greece,,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Mirbest,HU,,,,,Wholesale,Foodservice Distributor,,,,,,,,,,,,,,,,,,,,,,ECD member Hungary,,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Atlanta,PL,,,,,Wholesale,Foodservice Distributor,,,,,,,,,,,,,,,,,,,,,,ECD member Poland,,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Bidfood Netherlands,NL,,,,,Wholesale,Foodservice Distributor,,,,,,,,,bidfood.nl,,,,,,,,,,,,,Bidcorp subsidiary,,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Bidfood Belgium,BE,,,,,Wholesale,Foodservice Distributor,,,,,,,,,bidfood.be,,,,,,,,,,,,,Bidcorp subsidiary,,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Bidfood Baltics,LT,,,,,Wholesale,Foodservice Distributor,,,,,,,,,bidfood.lt,,,,,,,,,,,,,Bidcorp subsidiary,,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Bidfood Czech,CZ,,,,,Wholesale,Foodservice Distributor,,,,,,,,,bidfood.cz,,,,,,,,,,,,,Bidcorp subsidiary,,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
Bidfood Slovakia,SK,,,,,Wholesale,Foodservice Distributor,,,,,,,,,bidfood.sk,,,,,,,,,,,,,Bidcorp subsidiary,,,,,,,,,,,,wholesale_europe,2025-12-31,,,,,,,
