email,company,country,city,website,contract_value_eur,commodity,commodity_short,trade_agreement,tariff_benefit,supplier_count,supplier_provinces,top_suppliers
00470780107.genova@pec.ance.it,RTI ILSET SRL / ESO STRADE SRL,ITA,Genova,,16500000,Wood & Lumber Products,lumber,CETA,+45%,4,"QC, BC","West Fraser Timber, Canfor Corporation, Resolute Forest Products"
00809020159.genova@pec.ance.it,SIRCE S.P.A.,ITA,Genova,,8353012,Wood & Lumber Products,lumber,CETA,+45%,4,"QC, BC","West Fraser Timber, Canfor Corporation, Resolute Forest Products"
02035550280.padova@pec.ance.it,Mengato s.n.c. di Mengato Enzo & C.,ITA,Camposampiero,,6866701,Wood & Lumber Products,lumber,CETA,+45%,4,"QC, BC","West Fraser Timber, Canfor Corporation, Resolute Forest Products"
021_ekr@strabag.com,STRABAG Epitoipari Zartkoruen Mukodo Reszvenytarsasag,HU,Budapest,http://www.strabag.hu,14322392216,Wood & Lumber Products,lumber,CETA,+45%,4,"QC, BC","West Fraser Timber, Canfor Corporation, Resolute Forest Products"
025_ekr@strabag.com,STRABAG Rail Korlatolt Felelossegu Tarsasag,HU,Budapest,http://www.strabag.hu,126792232044,Wood & Lumber Products,lumber,CETA,+45%,4,"QC, BC","West Fraser Timber, Canfor Corporation, Resolute Forest Products"
042_ekr@strabag.com,STRABAG Epito Korlatolt Felelossegu Tarsasag,HU,Budapest,,90456480133,Wood & Lumber Products,lumber,CETA,+45%,4,"QC, BC","West Fraser Timber, Canfor Corporation, Resolute Forest Products"
04stic@groupe-mels.com,STIC,FR,Ittenheim,https://www.societe.com/societe/stic-494067200.html,0,Wood & Lumber Products,lumber,CETA,+45%,4,"QC, BC","West Fraser Timber, Canfor Corporation, Resolute Forest Products"
06122.lars@gmx.de,ZeKo Bau GmbH,DEU,Halle Salle,,62093,Wood & Lumber Products,lumber,CETA,+45%,4,"QC, BC","West Fraser Timber, Canfor Corporation, Resolute Forest Products"
107_EKR@strabag.com,STRABAG-MML Magas- és Mérnöki Létesítmény Építő Korlátolt Felelősségű Társaság,HUN,Budapest,https://www.strabag.hu,0,Wood & Lumber Products,lumber,CETA,+45%,4,"QC, BC","West Fraser Timber, Canfor Corporation, Resolute Forest Products"
109_ekr@strabag.com,STRABAG Altalanos Epito Korlatolt Felelossegu Tarsasag,HU,Budapest,,47513549782,Wood & Lumber Products,lumber,CETA,+45%,4,"QC, BC","West Fraser Timber, Canfor Corporation, Resolute Forest Products"
11535.tersystemsrl.TN00@infopec.cassaedile.it,TER SYSTEM SRL,ITA,CAVEDAGO (TN),,9200140,Wood & Lumber Products,lumber,CETA,+45%,4,"QC, BC","West Fraser Timber, Canfor Corporation, Resolute Forest Products"
1163.zonaeste@acciona.com,"ACCIONA CONSTRUCCION, S.A.",ESP,València,,0,Wood & Lumber Products,lumber,CETA,+45%,4,"QC, BC","West Fraser Timber, Canfor Corporation, Resolute Forest Products"
135_EKR@strabag.com,STRABAG Vasútépítő Korlátolt Felelősségű Társaság,HUN,Budapest,https://www.strabag.hu,144203203592,Wood & Lumber Products,lumber,CETA,+45%,4,"QC, BC","West Fraser Timber, Canfor Corporation, Resolute Forest Products"
136_ekr@strabag.com,STRABAG Vízépítő Korlátolt Felelősségű Társaság,HUN,Budapest,https://www.strabag.hu,23200327400,Wood & Lumber Products,lumber,CETA,+45%,4,"QC, BC","West Fraser Timber, Canfor Corporation, Resolute Forest Products"
137_ekr@strabag.com,STRABAG Generalepito Korlatolt Felelossegu Tarsasag,HU,Budapest,http://www.strabag.hu,741093183,Wood & Lumber Products,lumber,CETA,+45%,4,"QC, BC","West Fraser Timber, Canfor Corporation, Resolute Forest Products"
138_ekr@strabag.com,STRABAG Aszfalt Korlatolt Felelossegu Tarsasag,HU,Budapest,http://www.strabag.hu,7282000000,Wood & Lumber Products,lumber,CETA,+45%,4,"QC, BC","West Fraser Timber, Canfor Corporation, Resolute Forest Products"
